 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A02O-01A-21D-A080-01	1	1737357	56987165	31890	-0.1437
1	TCGA-AA-A02O-01A-21D-A080-01	1	56988949	241995903	107436	-0.1042
2	TCGA-AA-A02O-01A-21D-A080-01	1	241997045	249201800	4736	-0.1372
3	TCGA-AA-A02O-01A-21D-A080-01	2	12784	150810775	94083	-0.1119
4	TCGA-AA-A02O-01A-21D-A080-01	2	150812757	214554587	39234	-0.0872
5	TCGA-AA-A02O-01A-21D-A080-01	2	214560233	242719805	18261	-0.1172
6	TCGA-AA-A02O-01A-21D-A080-01	3	242241	60253587	41316	-0.1135
7	TCGA-AA-A02O-01A-21D-A080-01	3	60262617	60400721	143	-0.5031
8	TCGA-AA-A02O-01A-21D-A080-01	3	60403658	60441487	45	-1.3868
9	TCGA-AA-A02O-01A-21D-A080-01	3	60441771	60686084	278	-0.5286
10	TCGA-AA-A02O-01A-21D-A080-01	3	60686099	197764233	84142	-0.1031
11	TCGA-AA-A02O-01A-21D-A080-01	4	193054	10244613	5829	-0.1436
12	TCGA-AA-A02O-01A-21D-A080-01	4	10244955	85438562	46926	-0.1013
13	TCGA-AA-A02O-01A-21D-A080-01	4	85438599	85659145	125	-0.1924
14	TCGA-AA-A02O-01A-21D-A080-01	4	85661615	85688577	19	-1.0021
15	TCGA-AA-A02O-01A-21D-A080-01	4	85689149	190451589	65521	-0.0952
16	TCGA-AA-A02O-01A-21D-A080-01	5	304462	6750419	5316	-0.1509
17	TCGA-AA-A02O-01A-21D-A080-01	5	6752385	167508955	99912	-0.1021
18	TCGA-AA-A02O-01A-21D-A080-01	5	167512002	180694888	8813	-0.1437
19	TCGA-AA-A02O-01A-21D-A080-01	6	421317	6771800	5383	-0.1104
20	TCGA-AA-A02O-01A-21D-A080-01	6	6773069	11629164	3680	-0.2467
21	TCGA-AA-A02O-01A-21D-A080-01	6	11634722	11640535	5	-1.464
22	TCGA-AA-A02O-01A-21D-A080-01	6	11641048	19207447	5808	-0.2569
23	TCGA-AA-A02O-01A-21D-A080-01	6	19208477	25953793	4954	-0.103
24	TCGA-AA-A02O-01A-21D-A080-01	6	25954771	29274613	1579	-0.1544
25	TCGA-AA-A02O-01A-21D-A080-01	6	29282351	31533606	1289	-0.2529
26	TCGA-AA-A02O-01A-21D-A080-01	6	31536224	33109658	752	-0.0679
27	TCGA-AA-A02O-01A-21D-A080-01	6	33114171	33135962	12	0.4644
28	TCGA-AA-A02O-01A-21D-A080-01	6	33143136	44489807	7221	-0.1457
29	TCGA-AA-A02O-01A-21D-A080-01	6	44490114	147551381	63522	-0.096
30	TCGA-AA-A02O-01A-21D-A080-01	6	147552476	147811809	137	0.4171
31	TCGA-AA-A02O-01A-21D-A080-01	6	147815274	170903916	16694	-0.1109
32	TCGA-AA-A02O-01A-21D-A080-01	7	704573	6155873	3067	0.3369
33	TCGA-AA-A02O-01A-21D-A080-01	7	6157052	34472645	21792	0.4195
34	TCGA-AA-A02O-01A-21D-A080-01	7	34476770	54944081	14429	0.3929
