 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A00U-01A-01D-A003-01	1	1737357	5585859	2187	-0.0555
1	TCGA-AA-A00U-01A-01D-A003-01	1	5585903	13986537	4399	0.1008
2	TCGA-AA-A00U-01A-01D-A003-01	1	13986970	23234946	6193	0.0516
3	TCGA-AA-A00U-01A-01D-A003-01	1	23235090	29797975	3138	0.1203
4	TCGA-AA-A00U-01A-01D-A003-01	1	29799253	31403726	1167	-0.0352
5	TCGA-AA-A00U-01A-01D-A003-01	1	31406136	33709608	1038	0.1238
6	TCGA-AA-A00U-01A-01D-A003-01	1	33710429	35391577	1223	0.0014
7	TCGA-AA-A00U-01A-01D-A003-01	1	35394279	36555758	489	0.1556
8	TCGA-AA-A00U-01A-01D-A003-01	1	36556867	37203702	365	0.0363
9	TCGA-AA-A00U-01A-01D-A003-01	1	37207102	37782874	426	-0.0584
10	TCGA-AA-A00U-01A-01D-A003-01	1	37782902	48921454	6441	0.0813
11	TCGA-AA-A00U-01A-01D-A003-01	1	48922882	50586514	879	-0.033
12	TCGA-AA-A00U-01A-01D-A003-01	1	50588665	51233372	337	0.0445
13	TCGA-AA-A00U-01A-01D-A003-01	1	51238182	53677309	1181	0.1352
14	TCGA-AA-A00U-01A-01D-A003-01	1	53678554	55939605	1583	0.0436
15	TCGA-AA-A00U-01A-01D-A003-01	1	55939814	58671029	2306	0.0013
16	TCGA-AA-A00U-01A-01D-A003-01	1	58671217	59137273	402	0.0487
17	TCGA-AA-A00U-01A-01D-A003-01	1	59137653	63805764	3305	0.1104
18	TCGA-AA-A00U-01A-01D-A003-01	1	63807348	69118238	4019	0.0543
19	TCGA-AA-A00U-01A-01D-A003-01	1	69118752	71266281	1245	-0.0021
20	TCGA-AA-A00U-01A-01D-A003-01	1	71266522	75748315	2748	-0.0834
21	TCGA-AA-A00U-01A-01D-A003-01	1	75748932	76603266	597	0.0339
22	TCGA-AA-A00U-01A-01D-A003-01	1	76603509	77729805	805	-0.0483
23	TCGA-AA-A00U-01A-01D-A003-01	1	77731287	79263951	914	0.0496
24	TCGA-AA-A00U-01A-01D-A003-01	1	79264301	84348447	3477	-0.0873
25	TCGA-AA-A00U-01A-01D-A003-01	1	84349689	95877746	7675	0.0565
26	TCGA-AA-A00U-01A-01D-A003-01	1	95877971	99584707	2190	-0.0624
27	TCGA-AA-A00U-01A-01D-A003-01	1	99585796	102074475	1674	0.0599
28	TCGA-AA-A00U-01A-01D-A003-01	1	102075303	107817587	3370	-0.0609
30	TCGA-AA-A00U-01A-01D-A003-01	1	150019542	151669997	804	0.1828
31	TCGA-AA-A00U-01A-01D-A003-01	1	151670333	157058424	3041	0.0745
32	TCGA-AA-A00U-01A-01D-A003-01	1	157059893	166740787	7340	0.0316
33	TCGA-AA-A00U-01A-01D-A003-01	1	166741289	174929862	5543	0.0765
34	TCGA-AA-A00U-01A-01D-A003-01	1	174934857	177817424	1945	-0.0272
35	TCGA-AA-A00U-01A-01D-A003-01	1	177820037	179161751	943	0.0932
36	TCGA-AA-A00U-01A-01D-A003-01	1	179166557	179170072	7	0.7993
37	TCGA-AA-A00U-01A-01D-A003-01	1	179170148	180940912	1153	0.0882
38	TCGA-AA-A00U-01A-01D-A003-01	1	180946533	181936146	768	-0.0156
39	TCGA-AA-A00U-01A-01D-A003-01	1	181936523	186814701	3206	0.0841
40	TCGA-AA-A00U-01A-01D-A003-01	1	186815127	199777220	8623	-0.0396
41	TCGA-AA-A00U-01A-01D-A003-01	1	199777749	200955443	816	0.0901
42	TCGA-AA-A00U-01A-01D-A003-01	1	200960538	201379148	377	-0.087
43	TCGA-AA-A00U-01A-01D-A003-01	1	201380241	208198995	4279	0.065
44	TCGA-AA-A00U-01A-01D-A003-01	1	208199100	210964062	2321	-0.0095
45	TCGA-AA-A00U-01A-01D-A003-01	1	210965121	215083768	2762	0.103
46	TCGA-AA-A00U-01A-01D-A003-01	1	215084615	223475742	5864	0.0009
47	TCGA-AA-A00U-01A-01D-A003-01	1	223478532	236840721	9162	0.082
48	TCGA-AA-A00U-01A-01D-A003-01	1	236841120	244475829	5980	0.0171
49	TCGA-AA-A00U-01A-01D-A003-01	1	244476134	247462701	2027	0.0821
50	TCGA-AA-A00U-01A-01D-A003-01	1	247463553	249201800	966	-0.0195
51	TCGA-AA-A00U-01A-01D-A003-01	2	12784	7711843	6056	-0.0564
52	TCGA-AA-A00U-01A-01D-A003-01	2	7714913	8814686	896	0.0208
53	TCGA-AA-A00U-01A-01D-A003-01	2	8815015	11843336	2068	0.0822
54	TCGA-AA-A00U-01A-01D-A003-01	2	11843707	14063359	1648	-0.0417
55	TCGA-AA-A00U-01A-01D-A003-01	2	14063774	21793966	5719	0.0277
56	TCGA-AA-A00U-01A-01D-A003-01	2	21794756	23957317	1457	-0.0412
57	TCGA-AA-A00U-01A-01D-A003-01	2	23958164	29208656	2638	0.1079
58	TCGA-AA-A00U-01A-01D-A003-01	2	29208816	31792910	2039	0.0025
59	TCGA-AA-A00U-01A-01D-A003-01	2	31794439	33050816	537	0.1361
60	TCGA-AA-A00U-01A-01D-A003-01	2	33051529	33053688	5	-0.6276
61	TCGA-AA-A00U-01A-01D-A003-01	2	33057305	33678497	484	0.0868
62	TCGA-AA-A00U-01A-01D-A003-01	2	33678762	36487293	2174	-0.0426
63	TCGA-AA-A00U-01A-01D-A003-01	2	36488317	37119507	616	0.0814
64	TCGA-AA-A00U-01A-01D-A003-01	2	37121068	37284017	84	-0.6626
65	TCGA-AA-A00U-01A-01D-A003-01	2	37292890	40051216	1871	0.1005
66	TCGA-AA-A00U-01A-01D-A003-01	2	40052551	41749918	1408	-0.033
67	TCGA-AA-A00U-01A-01D-A003-01	2	41749964	44606700	2066	0.0914
68	TCGA-AA-A00U-01A-01D-A003-01	2	44620810	44702785	62	-0.7293
69	TCGA-AA-A00U-01A-01D-A003-01	2	44702978	49500895	3446	0.0684
70	TCGA-AA-A00U-01A-01D-A003-01	2	49500998	53541547	3017	-0.0862
71	TCGA-AA-A00U-01A-01D-A003-01	2	53541633	56258695	1929	0.0712
72	TCGA-AA-A00U-01A-01D-A003-01	2	56258784	59524395	2185	-0.0582
73	TCGA-AA-A00U-01A-01D-A003-01	2	59529086	66417784	4200	0.0777
74	TCGA-AA-A00U-01A-01D-A003-01	2	66418459	68085300	1235	-0.0336
75	TCGA-AA-A00U-01A-01D-A003-01	2	68086034	71018984	2009	0.0752
