 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-CM-4746-01A-01D-1406-01	1	1737357	58676375	33361	-0.0843
1	TCGA-CM-4746-01A-01D-1406-01	1	58676997	116844631	38637	-0.049
2	TCGA-CM-4746-01A-01D-1406-01	1	116845152	120378702	2318	0.0361
3	TCGA-CM-4746-01A-01D-1406-01	1	120379043	121343796	226	-0.0971
4	TCGA-CM-4746-01A-01D-1406-01	1	145390170	145416115	13	0.4683
5	TCGA-CM-4746-01A-01D-1406-01	1	145416584	146101240	162	0.7681
6	TCGA-CM-4746-01A-01D-1406-01	1	146112108	184751035	24607	0.4208
7	TCGA-CM-4746-01A-01D-1406-01	1	184755181	199203834	9497	0.4606
8	TCGA-CM-4746-01A-01D-1406-01	1	199203902	249201800	34918	0.4246
9	TCGA-CM-4746-01A-01D-1406-01	2	12784	41399905	29432	-0.0553
10	TCGA-CM-4746-01A-01D-1406-01	2	41400746	51323895	7184	-0.8443
11	TCGA-CM-4746-01A-01D-1406-01	2	51324337	102421978	27951	-0.0588
12	TCGA-CM-4746-01A-01D-1406-01	2	102422280	214457908	68696	-0.0437
13	TCGA-CM-4746-01A-01D-1406-01	2	214461866	242719805	18315	-0.0668
14	TCGA-CM-4746-01A-01D-1406-01	3	242241	158021094	101013	-0.0523
15	TCGA-CM-4746-01A-01D-1406-01	3	158030097	158030660	5	-3
16	TCGA-CM-4746-01A-01D-1406-01	3	158032850	197764233	24906	-0.0473
17	TCGA-CM-4746-01A-01D-1406-01	4	193054	190451589	118420	-0.0477
18	TCGA-CM-4746-01A-01D-1406-01	5	304462	12605958	10112	-0.8651
19	TCGA-CM-4746-01A-01D-1406-01	5	12608335	180694888	103929	-0.0576
20	TCGA-CM-4746-01A-01D-1406-01	6	421317	13048734	10220	-0.0658
21	TCGA-CM-4746-01A-01D-1406-01	6	13051240	13065911	11	-0.7971
22	TCGA-CM-4746-01A-01D-1406-01	6	13066297	24827655	8759	-0.0753
23	TCGA-CM-4746-01A-01D-1406-01	6	24827691	25982457	858	-0.6947
24	TCGA-CM-4746-01A-01D-1406-01	6	25986467	45697540	11585	-0.078
25	TCGA-CM-4746-01A-01D-1406-01	6	45697975	151535760	65642	-0.0449
26	TCGA-CM-4746-01A-01D-1406-01	6	151536150	170903916	13961	-0.0642
27	TCGA-CM-4746-01A-01D-1406-01	7	704573	158927795	99463	-0.0523
28	TCGA-CM-4746-01A-01D-1406-01	8	562629	47204002	33779	0.4158
29	TCGA-CM-4746-01A-01D-1406-01	8	47222806	47743262	211	-0.7927
30	TCGA-CM-4746-01A-01D-1406-01	8	47747292	146288316	62582	0.4374
31	TCGA-CM-4746-01A-01D-1406-01	9	334524	89619991	45734	-0.0484
32	TCGA-CM-4746-01A-01D-1406-01	9	89620681	90040819	331	0.3399
33	TCGA-CM-4746-01A-01D-1406-01	9	90045909	91961271	1351	0.8839
34	TCGA-CM-4746-01A-01D-1406-01	9	92445054	95073090	1949	1.5393
35	TCGA-CM-4746-01A-01D-1406-01	9	95075559	95079122	5	0.7292
36	TCGA-CM-4746-01A-01D-1406-01	9	95082286	101638952	4231	-0.0748
37	TCGA-CM-4746-01A-01D-1406-01	9	101642076	121484108	15138	-0.0488
38	TCGA-CM-4746-01A-01D-1406-01	9	121484173	140952916	11574	-0.0819
39	TCGA-CM-4746-01A-01D-1406-01	10	111148	135206873	92066	-0.0649
40	TCGA-CM-4746-01A-01D-1406-01	11	198510	96970997	60481	-0.054
41	TCGA-CM-4746-01A-01D-1406-01	11	96974220	97047950	72	-0.7961
42	TCGA-CM-4746-01A-01D-1406-01	11	97049564	134809090	27564	-0.0525
43	TCGA-CM-4746-01A-01D-1406-01	12	362522	922392	363	-0.0867
44	TCGA-CM-4746-01A-01D-1406-01	12	924374	936468	5	-1.3062
45	TCGA-CM-4746-01A-01D-1406-01	12	937799	9231638	5591	-0.0738
46	TCGA-CM-4746-01A-01D-1406-01	12	9234273	107475163	62159	-0.0505
47	TCGA-CM-4746-01A-01D-1406-01	12	107478722	133625276	17776	-0.0829
48	TCGA-CM-4746-01A-01D-1406-01	13	19418531	114945972	65030	0.0046
49	TCGA-CM-4746-01A-01D-1406-01	14	20516291	103979543	54686	-0.0586
50	TCGA-CM-4746-01A-01D-1406-01	15	23222284	101935302	51640	-0.0735
51	TCGA-CM-4746-01A-01D-1406-01	16	2315245	90158838	52479	-0.0774
52	TCGA-CM-4746-01A-01D-1406-01	17	193188	22201452	13139	-0.1383
53	TCGA-CM-4746-01A-01D-1406-01	17	25301016	27095485	899	0.7744
54	TCGA-CM-4746-01A-01D-1406-01	17	27104160	51989666	14185	-0.0971
55	TCGA-CM-4746-01A-01D-1406-01	17	51989908	52037511	30	0.3888
56	TCGA-CM-4746-01A-01D-1406-01	17	52037933	55319637	2462	-0.0625
57	TCGA-CM-4746-01A-01D-1406-01	17	55322597	55621597	257	-0.7353
58	TCGA-CM-4746-01A-01D-1406-01	17	55633468	68612388	7434	-0.0941
59	TCGA-CM-4746-01A-01D-1406-01	17	68613494	68743652	114	0.4089
60	TCGA-CM-4746-01A-01D-1406-01	17	68755732	81027417	7318	-0.09
61	TCGA-CM-4746-01A-01D-1406-01	18	234058	9981278	7309	0.4257
62	TCGA-CM-4746-01A-01D-1406-01	18	9988533	47865209	22334	-0.0524
63	TCGA-CM-4746-01A-01D-1406-01	18	47865987	47886228	11	-0.8592
64	TCGA-CM-4746-01A-01D-1406-01	18	47886612	77859855	21604	-0.0528
65	TCGA-CM-4746-01A-01D-1406-01	19	3123738	23964444	10285	-0.1013
66	TCGA-CM-4746-01A-01D-1406-01	19	23966552	24027115	49	-0.867
68	TCGA-CM-4746-01A-01D-1406-01	19	27777386	58866674	18281	0.3278
69	TCGA-CM-4746-01A-01D-1406-01	20	69283	26073580	20163	-0.063
70	TCGA-CM-4746-01A-01D-1406-01	20	29838618	62912463	22631	0.699
71	TCGA-CM-4746-01A-01D-1406-01	21	15425304	40060766	18365	-0.0667
72	TCGA-CM-4746-01A-01D-1406-01	21	40062770	40443616	369	-0.6529
73	TCGA-CM-4746-01A-01D-1406-01	21	40444820	47970581	5331	-0.0699
74	TCGA-CM-4746-01A-01D-1406-01	22	17305614	24241766	4367	-0.0835
75	TCGA-CM-4746-01A-01D-1406-01	22	24241984	24244558	5	-1.6524
76	TCGA-CM-4746-01A-01D-1406-01	22	24245030	47060625	16023	-0.0925
