 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A01Z-01A-11D-A080-01	1	1737357	5585215	2186	0.0244
1	TCGA-AA-A01Z-01A-11D-A080-01	1	5585859	48419646	24554	0.0595
2	TCGA-AA-A01Z-01A-11D-A080-01	1	48420681	50415126	1132	-0.0036
3	TCGA-AA-A01Z-01A-11D-A080-01	1	50417958	56072386	3317	0.0553
4	TCGA-AA-A01Z-01A-11D-A080-01	1	56072554	58704644	2195	-0.0024
5	TCGA-AA-A01Z-01A-11D-A080-01	1	58705312	69054410	7652	0.048
6	TCGA-AA-A01Z-01A-11D-A080-01	1	69054529	76962163	4906	-0.0057
7	TCGA-AA-A01Z-01A-11D-A080-01	1	76965394	79521232	1590	0.0441
8	TCGA-AA-A01Z-01A-11D-A080-01	1	79521532	84616073	3495	-0.0174
9	TCGA-AA-A01Z-01A-11D-A080-01	1	84617150	95947234	7551	0.0506
10	TCGA-AA-A01Z-01A-11D-A080-01	1	95947337	99611359	2174	-0.0186
11	TCGA-AA-A01Z-01A-11D-A080-01	1	99614315	102791843	2170	0.0354
12	TCGA-AA-A01Z-01A-11D-A080-01	1	102791988	107548759	2657	-0.0263
13	TCGA-AA-A01Z-01A-11D-A080-01	1	107549344	186340005	35056	0.0411
14	TCGA-AA-A01Z-01A-11D-A080-01	1	186341080	192259752	3853	-0.0341
15	TCGA-AA-A01Z-01A-11D-A080-01	1	192262230	194354385	1559	0.0328
16	TCGA-AA-A01Z-01A-11D-A080-01	1	194363264	199655106	3417	0.0015
17	TCGA-AA-A01Z-01A-11D-A080-01	1	199655202	216035570	11215	0.0493
18	TCGA-AA-A01Z-01A-11D-A080-01	1	216039790	221808834	4174	-0.0093
19	TCGA-AA-A01Z-01A-11D-A080-01	1	221809272	236817622	10208	0.0477
20	TCGA-AA-A01Z-01A-11D-A080-01	1	236822322	238902409	1805	0.0045
21	TCGA-AA-A01Z-01A-11D-A080-01	1	238902677	239902925	726	0.0629
22	TCGA-AA-A01Z-01A-11D-A080-01	1	239905189	244495156	3503	-0.0054
