 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A00A-01A-01D-A003-01	1	1737357	1957913	77	0.0887
1	TCGA-AA-A00A-01A-01D-A003-01	1	1969749	7757246	3503	-0.0772
2	TCGA-AA-A00A-01A-01D-A003-01	1	7757886	11278602	1880	0.0739
3	TCGA-AA-A00A-01A-01D-A003-01	1	11278813	15718470	2557	-0.0149
4	TCGA-AA-A00A-01A-01D-A003-01	1	15723843	17937997	1194	0.0712
5	TCGA-AA-A00A-01A-01D-A003-01	1	17940434	19456792	1150	-0.0839
6	TCGA-AA-A00A-01A-01D-A003-01	1	19457257	20480840	691	0.0607
7	TCGA-AA-A00A-01A-01D-A003-01	1	20483050	20769184	204	-0.1265
8	TCGA-AA-A00A-01A-01D-A003-01	1	20769398	22831147	1237	0.0666
9	TCGA-AA-A00A-01A-01D-A003-01	1	22831961	23199949	254	-0.1313
10	TCGA-AA-A00A-01A-01D-A003-01	1	23200129	29632600	3059	0.0745
11	TCGA-AA-A00A-01A-01D-A003-01	1	29633441	31024967	996	-0.0937
12	TCGA-AA-A00A-01A-01D-A003-01	1	31025391	34072831	1553	0.0273
13	TCGA-AA-A00A-01A-01D-A003-01	1	34073153	34838033	631	-0.1387
14	TCGA-AA-A00A-01A-01D-A003-01	1	34838373	47917788	7345	0.0023
15	TCGA-AA-A00A-01A-01D-A003-01	1	47918821	49525465	1189	-0.081
16	TCGA-AA-A00A-01A-01D-A003-01	1	49527928	53516383	1796	0.055
17	TCGA-AA-A00A-01A-01D-A003-01	1	53517813	58943123	4287	-0.0269
18	TCGA-AA-A00A-01A-01D-A003-01	1	58943175	97479005	25897	0.0169
19	TCGA-AA-A00A-01A-01D-A003-01	1	97484877	110424529	7893	-0.8164
20	TCGA-AA-A00A-01A-01D-A003-01	1	110426252	111175987	554	-1.0145
21	TCGA-AA-A00A-01A-01D-A003-01	1	111176277	111758030	460	-0.7872
22	TCGA-AA-A00A-01A-01D-A003-01	1	111758446	111759631	5	-4.2072
23	TCGA-AA-A00A-01A-01D-A003-01	1	111759687	112388926	551	-0.8986
24	TCGA-AA-A00A-01A-01D-A003-01	1	112389307	112440057	52	-1.8435
25	TCGA-AA-A00A-01A-01D-A003-01	1	112440173	117443368	3367	-0.9054
26	TCGA-AA-A00A-01A-01D-A003-01	1	117445243	117453755	5	-4.261
27	TCGA-AA-A00A-01A-01D-A003-01	1	117456936	117950716	349	-0.9571
29	TCGA-AA-A00A-01A-01D-A003-01	1	146101240	149850889	1020	-0.8693
30	TCGA-AA-A00A-01A-01D-A003-01	1	149852728	152328546	1252	0.0793
31	TCGA-AA-A00A-01A-01D-A003-01	1	152329294	153247756	812	-0.0696
32	TCGA-AA-A00A-01A-01D-A003-01	1	153253707	181062531	18870	0.0098
33	TCGA-AA-A00A-01A-01D-A003-01	1	181064369	181828097	618	-0.0921
34	TCGA-AA-A00A-01A-01D-A003-01	1	181828800	200981071	12731	0.0414
35	TCGA-AA-A00A-01A-01D-A003-01	1	200983248	220047550	13349	-0.0066
36	TCGA-AA-A00A-01A-01D-A003-01	1	220054399	220498207	269	0.1796
37	TCGA-AA-A00A-01A-01D-A003-01	1	220498636	222831372	1597	-0.0301
38	TCGA-AA-A00A-01A-01D-A003-01	1	222833973	249201800	18505	0.0296
39	TCGA-AA-A00A-01A-01D-A003-01	2	12784	23863557	17787	-0.0379
40	TCGA-AA-A00A-01A-01D-A003-01	2	23927705	29357360	2771	0.0356
41	TCGA-AA-A00A-01A-01D-A003-01	2	29357481	31650345	1865	-0.0603
42	TCGA-AA-A00A-01A-01D-A003-01	2	31652374	55904278	17544	0.009
43	TCGA-AA-A00A-01A-01D-A003-01	2	55905181	56774435	620	-0.0639
44	TCGA-AA-A00A-01A-01D-A003-01	2	56778009	56823553	33	-1.2868
45	TCGA-AA-A00A-01A-01D-A003-01	2	56827693	120975496	35104	-0.0079
