 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A02N-01A-11D-A080-01	1	1737357	49477360	27494	-0.0352
1	TCGA-AG-A02N-01A-11D-A080-01	1	49478129	49557750	41	-0.7037
2	TCGA-AG-A02N-01A-11D-A080-01	1	49562279	249201800	116527	-0.035
3	TCGA-AG-A02N-01A-11D-A080-01	2	12784	228754129	142707	-0.0412
4	TCGA-AG-A02N-01A-11D-A080-01	2	228754349	228907948	109	-0.7086
5	TCGA-AG-A02N-01A-11D-A080-01	2	228914358	233618493	2805	-0.0221
6	TCGA-AG-A02N-01A-11D-A080-01	2	233630787	233686176	20	-0.599
7	TCGA-AG-A02N-01A-11D-A080-01	2	233688425	242719805	5914	-0.0413
8	TCGA-AG-A02N-01A-11D-A080-01	3	242241	955813	580	-0.0838
9	TCGA-AG-A02N-01A-11D-A080-01	3	956839	959651	6	-1.0253
10	TCGA-AG-A02N-01A-11D-A080-01	3	963365	1632567	670	-0.0688
11	TCGA-AG-A02N-01A-11D-A080-01	3	1633542	2665743	886	-0.7767
12	TCGA-AG-A02N-01A-11D-A080-01	3	2675155	60326808	39245	-0.0582
13	TCGA-AG-A02N-01A-11D-A080-01	3	60331641	60433224	109	-0.8501
14	TCGA-AG-A02N-01A-11D-A080-01	3	60433315	88541731	18955	-0.0696
15	TCGA-AG-A02N-01A-11D-A080-01	3	88541776	197764233	65473	-0.0401
16	TCGA-AG-A02N-01A-11D-A080-01	4	193054	107853996	66206	-0.0409
17	TCGA-AG-A02N-01A-11D-A080-01	4	107862723	108612261	527	-0.6746
18	TCGA-AG-A02N-01A-11D-A080-01	4	108614626	177002511	41942	-0.0402
19	TCGA-AG-A02N-01A-11D-A080-01	4	177003039	182192995	3727	-0.0868
20	TCGA-AG-A02N-01A-11D-A080-01	4	182193654	190451589	6018	-0.0383
21	TCGA-AG-A02N-01A-11D-A080-01	5	304462	27730640	19521	-0.0657
22	TCGA-AG-A02N-01A-11D-A080-01	5	27734974	43910748	10530	0.4774
23	TCGA-AG-A02N-01A-11D-A080-01	5	43916607	115732896	41453	-0.0387
24	TCGA-AG-A02N-01A-11D-A080-01	5	115733327	115918646	161	-0.7928
