 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A00W-01A-01D-A003-01	1	1737357	2904726	332	0.0733
1	TCGA-AA-A00W-01A-01D-A003-01	1	2905177	5334936	1677	-0.0636
2	TCGA-AA-A00W-01A-01D-A003-01	1	5336628	17884357	7171	0.0584
3	TCGA-AA-A00W-01A-01D-A003-01	1	17884598	19258375	1055	-0.0314
4	TCGA-AA-A00W-01A-01D-A003-01	1	19258723	30061852	5744	0.0879
5	TCGA-AA-A00W-01A-01D-A003-01	1	30062245	30980496	773	-0.0854
6	TCGA-AA-A00W-01A-01D-A003-01	1	30981125	33716547	1373	0.0842
7	TCGA-AA-A00W-01A-01D-A003-01	1	33717367	34844836	867	-0.0254
8	TCGA-AA-A00W-01A-01D-A003-01	1	34847033	48156726	7527	0.077
9	TCGA-AA-A00W-01A-01D-A003-01	1	48157052	50816576	1579	-0.0122
10	TCGA-AA-A00W-01A-01D-A003-01	1	50817553	51449575	280	0.0765
11	TCGA-AA-A00W-01A-01D-A003-01	1	51453879	53416172	866	0.1613
12	TCGA-AA-A00W-01A-01D-A003-01	1	53420416	55963519	1821	0.0494
13	TCGA-AA-A00W-01A-01D-A003-01	1	55963649	58938112	2528	-0.0039
14	TCGA-AA-A00W-01A-01D-A003-01	1	58938752	71572800	8936	0.0709
15	TCGA-AA-A00W-01A-01D-A003-01	1	71578426	77707310	3935	-0.0171
16	TCGA-AA-A00W-01A-01D-A003-01	1	77707391	78692013	567	0.1268
17	TCGA-AA-A00W-01A-01D-A003-01	1	78696522	84325476	3819	-0.0203
18	TCGA-AA-A00W-01A-01D-A003-01	1	84325805	95877124	7687	0.0797
19	TCGA-AA-A00W-01A-01D-A003-01	1	95877238	99654057	2243	-0.0064
20	TCGA-AA-A00W-01A-01D-A003-01	1	99654168	101976328	1532	0.0927
21	TCGA-AA-A00W-01A-01D-A003-01	1	101976553	108006288	3621	-0.0022
22	TCGA-AA-A00W-01A-01D-A003-01	1	108006358	157106148	14080	0.0763
23	TCGA-AA-A00W-01A-01D-A003-01	1	157106370	166662059	7230	0.0425
24	TCGA-AA-A00W-01A-01D-A003-01	1	166662191	175263917	5829	0.0915
25	TCGA-AA-A00W-01A-01D-A003-01	1	175264265	175877195	522	-0.0317
26	TCGA-AA-A00W-01A-01D-A003-01	1	175877732	176239709	174	0.1421
27	TCGA-AA-A00W-01A-01D-A003-01	1	176240412	177986602	1173	-0.0195
28	TCGA-AA-A00W-01A-01D-A003-01	1	177986954	187406049	6356	0.0744
29	TCGA-AA-A00W-01A-01D-A003-01	1	187406532	191400566	2677	-0.0298
30	TCGA-AA-A00W-01A-01D-A003-01	1	191401347	211067685	13399	0.0354
31	TCGA-AA-A00W-01A-01D-A003-01	1	211068951	215102784	2711	0.0828
32	TCGA-AA-A00W-01A-01D-A003-01	1	215105201	222434691	5273	0.0119
33	TCGA-AA-A00W-01A-01D-A003-01	1	222436875	237042224	9898	0.0694
34	TCGA-AA-A00W-01A-01D-A003-01	1	237048500	249201800	8807	0.035
35	TCGA-AA-A00W-01A-01D-A003-01	2	12784	7774203	6087	-0.0527
36	TCGA-AA-A00W-01A-01D-A003-01	2	7775304	23945058	11749	0.0093
37	TCGA-AA-A00W-01A-01D-A003-01	2	23945355	29196131	2633	0.0921
38	TCGA-AA-A00W-01A-01D-A003-01	2	29196690	31650345	1988	0.0105
39	TCGA-AA-A00W-01A-01D-A003-01	2	31652374	34106691	1436	0.0952
40	TCGA-AA-A00W-01A-01D-A003-01	2	34109664	36077961	1487	-0.0303
41	TCGA-AA-A00W-01A-01D-A003-01	2	36078198	40050016	2910	0.0747
42	TCGA-AA-A00W-01A-01D-A003-01	2	40051012	41728467	1396	-0.0093
43	TCGA-AA-A00W-01A-01D-A003-01	2	41730127	49007165	5204	0.0712
44	TCGA-AA-A00W-01A-01D-A003-01	2	49013152	53536010	3393	-0.0451
45	TCGA-AA-A00W-01A-01D-A003-01	2	53538638	56131224	1848	0.0824
46	TCGA-AA-A00W-01A-01D-A003-01	2	56131616	60872333	3296	-0.0059
47	TCGA-AA-A00W-01A-01D-A003-01	2	60872851	66130873	2909	0.0842
48	TCGA-AA-A00W-01A-01D-A003-01	2	66130907	69050858	2164	0.0018
49	TCGA-AA-A00W-01A-01D-A003-01	2	69051320	71679750	1772	0.0763
50	TCGA-AA-A00W-01A-01D-A003-01	2	71680632	72188364	326	-0.101
51	TCGA-AA-A00W-01A-01D-A003-01	2	72189280	75772671	2010	0.0629
52	TCGA-AA-A00W-01A-01D-A003-01	2	75775779	83956966	5442	-0.016
53	TCGA-AA-A00W-01A-01D-A003-01	2	83957210	115275531	14097	0.0463
54	TCGA-AA-A00W-01A-01D-A003-01	2	115276623	156258670	25519	0.0001
55	TCGA-AA-A00W-01A-01D-A003-01	2	156259189	163491296	4309	0.0711
56	TCGA-AA-A00W-01A-01D-A003-01	2	163494650	164969649	854	-0.0435
57	TCGA-AA-A00W-01A-01D-A003-01	2	164972311	199633768	21189	0.0522
58	TCGA-AA-A00W-01A-01D-A003-01	2	199633787	199653885	21	0.7546
59	TCGA-AA-A00W-01A-01D-A003-01	2	199656912	209487949	6033	0.0662
60	TCGA-AA-A00W-01A-01D-A003-01	2	209488111	223432097	9089	-0.0117
61	TCGA-AA-A00W-01A-01D-A003-01	2	223434725	235709267	8007	0.0567
62	TCGA-AA-A00W-01A-01D-A003-01	2	235710513	239322485	2441	0.0077
63	TCGA-AA-A00W-01A-01D-A003-01	2	239323764	242719805	1969	-0.0664
64	TCGA-AA-A00W-01A-01D-A003-01	3	242241	3889749	3369	-0.024
65	TCGA-AA-A00W-01A-01D-A003-01	3	4110325	4149176	40	-1.2
66	TCGA-AA-A00W-01A-01D-A003-01	3	4152010	12955246	7054	0.0409
67	TCGA-AA-A00W-01A-01D-A003-01	3	12960721	13357293	325	-0.1112
68	TCGA-AA-A00W-01A-01D-A003-01	3	13358437	21221349	4918	0.0284
69	TCGA-AA-A00W-01A-01D-A003-01	3	21221369	22576404	1211	-0.059
70	TCGA-AA-A00W-01A-01D-A003-01	3	22576545	30020329	5372	0.0262
71	TCGA-AA-A00W-01A-01D-A003-01	3	30020794	54004468	14157	0.0747
72	TCGA-AA-A00W-01A-01D-A003-01	3	54004736	56095565	1726	-0.023
73	TCGA-AA-A00W-01A-01D-A003-01	3	56095974	64055569	6184	0.0753
74	TCGA-AA-A00W-01A-01D-A003-01	3	64061773	74213903	7861	0.0352
75	TCGA-AA-A00W-01A-01D-A003-01	3	74217164	97945280	11345	-0.0082
76	TCGA-AA-A00W-01A-01D-A003-01	3	97951490	102333031	2509	0.0539
77	TCGA-AA-A00W-01A-01D-A003-01	3	102333067	105737878	2150	-0.0262
78	TCGA-AA-A00W-01A-01D-A003-01	3	105739257	125983133	12715	0.0494
