	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A01P-01A-21D-A079-02	1	10001	565137	0	-0.0426
1	TCGA-AA-A01P-01A-21D-A079-02	1	565138	570137	0	-1.6215
2	TCGA-AA-A01P-01A-21D-A079-02	1	570138	3464140	0	0.1551
3	TCGA-AA-A01P-01A-21D-A079-02	1	3464141	249233096	0	0.0088
4	TCGA-AA-A01P-01A-21D-A079-02	2	10001	48010496	0	0.0114
5	TCGA-AA-A01P-01A-21D-A079-02	2	48010497	48089496	0	0.2972
6	TCGA-AA-A01P-01A-21D-A079-02	2	48089497	90318695	0	-0.0112
8	TCGA-AA-A01P-01A-21D-A079-02	2	91617274	243102327	0	-0.0025
9	TCGA-AA-A01P-01A-21D-A079-02	3	60001	51966960	0	0.0023
10	TCGA-AA-A01P-01A-21D-A079-02	3	51966961	52608960	0	0.152
11	TCGA-AA-A01P-01A-21D-A079-02	3	52608961	59454960	0	0.0079
12	TCGA-AA-A01P-01A-21D-A079-02	3	59454961	60014960	0	0.2411
13	TCGA-AA-A01P-01A-21D-A079-02	3	60014961	60255960	0	-0.0514
14	TCGA-AA-A01P-01A-21D-A079-02	3	60255961	60429960	0	-0.4502
15	TCGA-AA-A01P-01A-21D-A079-02	3	60429961	60520960	0	-0.8143
16	TCGA-AA-A01P-01A-21D-A079-02	3	60520961	60602960	0	-0.385
17	TCGA-AA-A01P-01A-21D-A079-02	3	60602961	60892960	0	-0.053
18	TCGA-AA-A01P-01A-21D-A079-02	3	60892961	61059960	0	-0.2285
19	TCGA-AA-A01P-01A-21D-A079-02	3	61059961	65678960	0	-0.0297
20	TCGA-AA-A01P-01A-21D-A079-02	3	65678961	65887960	0	-0.2483
21	TCGA-AA-A01P-01A-21D-A079-02	3	65887961	197960603	0	-0.0112
22	TCGA-AA-A01P-01A-21D-A079-02	4	10001	49092243	0	-0.0074
23	TCGA-AA-A01P-01A-21D-A079-02	4	49092244	49170243	0	-0.223
24	TCGA-AA-A01P-01A-21D-A079-02	4	49170244	49629243	0	-0.0093
26	TCGA-AA-A01P-01A-21D-A079-02	4	52701244	191029082	0	-0.0205
27	TCGA-AA-A01P-01A-21D-A079-02	5	10000	134259101	0	-0.0132
28	TCGA-AA-A01P-01A-21D-A079-02	5	134259102	134264101	0	-0.7824
29	TCGA-AA-A01P-01A-21D-A079-02	5	134264102	180905260	0	0.01
30	TCGA-AA-A01P-01A-21D-A079-02	6	61001	1701001	0	0.0481
31	TCGA-AA-A01P-01A-21D-A079-02	6	1701002	2125001	0	-0.3435
32	TCGA-AA-A01P-01A-21D-A079-02	6	2125002	58463041	0	0.0178
34	TCGA-AA-A01P-01A-21D-A079-02	6	62094042	171054075	0	-0.0097
35	TCGA-AA-A01P-01A-21D-A079-02	7	10238	159128663	0	0.0015
36	TCGA-AA-A01P-01A-21D-A079-02	8	10001	103425824	0	-0.0053
37	TCGA-AA-A01P-01A-21D-A079-02	8	103425825	103942824	0	0.1062
38	TCGA-AA-A01P-01A-21D-A079-02	8	103942825	142003818	0	-0.017
39	TCGA-AA-A01P-01A-21D-A079-02	8	142003819	146304022	0	0.1046
40	TCGA-AA-A01P-01A-21D-A079-02	9	10001	130391179	0	-0.0024
41	TCGA-AA-A01P-01A-21D-A079-02	9	130391180	141152179	0	0.1041
42	TCGA-AA-A01P-01A-21D-A079-02	10	60001	38742994	0	0.0086
44	TCGA-AA-A01P-01A-21D-A079-02	10	42397995	42537994	0	-0.052
45	TCGA-AA-A01P-01A-21D-A079-02	10	42537995	42878994	0	-0.1534
46	TCGA-AA-A01P-01A-21D-A079-02	10	42878995	86331020	0	-0.0047
47	TCGA-AA-A01P-01A-21D-A079-02	10	86331021	86368020	0	0.3474
48	TCGA-AA-A01P-01A-21D-A079-02	10	86368021	135524747	0	0.0123
49	TCGA-AA-A01P-01A-21D-A079-02	11	61001	3394424	0	0.1272
50	TCGA-AA-A01P-01A-21D-A079-02	11	3394425	134946516	0	0.0028
51	TCGA-AA-A01P-01A-21D-A079-02	12	145739	6069739	0	0.0249
52	TCGA-AA-A01P-01A-21D-A079-02	12	6069740	6692739	0	0.1253
53	TCGA-AA-A01P-01A-21D-A079-02	12	6692740	53542733	0	-0.0019
54	TCGA-AA-A01P-01A-21D-A079-02	12	53542734	54446733	0	0.1133
55	TCGA-AA-A01P-01A-21D-A079-02	12	54446734	133779461	0	0.0066
56	TCGA-AA-A01P-01A-21D-A079-02	13	19020001	115109878	0	-0.0143
57	TCGA-AA-A01P-01A-21D-A079-02	14	19000001	105124955	0	-7e-04
58	TCGA-AA-A01P-01A-21D-A079-02	14	105124956	106370955	0	0.1369
59	TCGA-AA-A01P-01A-21D-A079-02	14	106370956	107289540	0	-0.0015
60	TCGA-AA-A01P-01A-21D-A079-02	15	20000000	102521392	0	0.0153
61	TCGA-AA-A01P-01A-21D-A079-02	16	60001	5033999	0	0.128
62	TCGA-AA-A01P-01A-21D-A079-02	16	5034000	6302999	0	0.0082
63	TCGA-AA-A01P-01A-21D-A079-02	16	6303000	6335999	0	-0.3665
64	TCGA-AA-A01P-01A-21D-A079-02	16	6336000	6769999	0	-0.777
65	TCGA-AA-A01P-01A-21D-A079-02	16	6770000	6914999	0	-0.3073
66	TCGA-AA-A01P-01A-21D-A079-02	16	6915000	7011999	0	-0.789
67	TCGA-AA-A01P-01A-21D-A079-02	16	7012000	7117999	0	-0.3351
68	TCGA-AA-A01P-01A-21D-A079-02	16	7118000	7513999	0	-0.0359
69	TCGA-AA-A01P-01A-21D-A079-02	16	7514000	7662999	0	0.2555
70	TCGA-AA-A01P-01A-21D-A079-02	16	7663000	28213499	0	0.029
71	TCGA-AA-A01P-01A-21D-A079-02	16	28213500	31396499	0	0.1257
72	TCGA-AA-A01P-01A-21D-A079-02	16	31396500	35278499	0	-0.0326
74	TCGA-AA-A01P-01A-21D-A079-02	16	46471500	78452499	0	0.0107
75	TCGA-AA-A01P-01A-21D-A079-02	16	78452500	78691499	0	-0.3493
76	TCGA-AA-A01P-01A-21D-A079-02	16	78691500	84858499	0	0.0166
77	TCGA-AA-A01P-01A-21D-A079-02	16	84858500	90294753	0	0.1122
78	TCGA-AA-A01P-01A-21D-A079-02	17	1001	36586474	0	0.0361
79	TCGA-AA-A01P-01A-21D-A079-02	17	36586475	36834474	0	0.2173
80	TCGA-AA-A01P-01A-21D-A079-02	17	36834475	81060000	0	0.0465
81	TCGA-AA-A01P-01A-21D-A079-02	18	10001	78016181	0	-0.0119
82	TCGA-AA-A01P-01A-21D-A079-02	19	62001	3527000	0	0.1729
