 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A01C-01A-01D-A008-01	1	1737357	6751893	2894	-0.4212
1	TCGA-AA-A01C-01A-01D-A008-01	1	6756434	58224212	30043	-0.3628
2	TCGA-AA-A01C-01A-01D-A008-01	1	58224332	240518645	105240	-0.3266
3	TCGA-AA-A01C-01A-01D-A008-01	1	240519156	249201800	5885	-0.362
4	TCGA-AA-A01C-01A-01D-A008-01	2	12784	557590	358	0.0762
5	TCGA-AA-A01C-01A-01D-A008-01	2	559913	7521526	5541	-0.02
6	TCGA-AA-A01C-01A-01D-A008-01	2	7524467	35095395	18777	0.0506
7	TCGA-AA-A01C-01A-01D-A008-01	2	35095679	46902686	8975	0.0849
8	TCGA-AA-A01C-01A-01D-A008-01	2	46905289	53555011	4654	0.0389
9	TCGA-AA-A01C-01A-01D-A008-01	2	53555118	55136011	1204	0.1232
10	TCGA-AA-A01C-01A-01D-A008-01	2	55137932	132250966	43179	0.0518
11	TCGA-AA-A01C-01A-01D-A008-01	2	133051972	133117260	28	0.6329
12	TCGA-AA-A01C-01A-01D-A008-01	2	133121946	135118055	1588	0.048
13	TCGA-AA-A01C-01A-01D-A008-01	2	135120630	139935435	3021	0.0077
14	TCGA-AA-A01C-01A-01D-A008-01	2	139935772	148474612	5224	-0.0506
15	TCGA-AA-A01C-01A-01D-A008-01	2	148476118	154040234	3543	0.005
16	TCGA-AA-A01C-01A-01D-A008-01	2	154042553	185013409	19275	0.0858
17	TCGA-AA-A01C-01A-01D-A008-01	2	185014650	185064842	31	-1.2455
18	TCGA-AA-A01C-01A-01D-A008-01	2	185072376	186579180	894	0.0525
19	TCGA-AA-A01C-01A-01D-A008-01	2	186583853	210468640	14103	0.0866
20	TCGA-AA-A01C-01A-01D-A008-01	2	210469207	223571392	8572	0.04
21	TCGA-AA-A01C-01A-01D-A008-01	2	223571445	229736200	4094	0.0775
22	TCGA-AA-A01C-01A-01D-A008-01	2	229738477	242719805	8238	0.021
23	TCGA-AA-A01C-01A-01D-A008-01	3	242241	30010716	22504	0.0161
24	TCGA-AA-A01C-01A-01D-A008-01	3	30018113	45617189	10111	0.0562
25	TCGA-AA-A01C-01A-01D-A008-01	3	45617491	60276722	8712	0.0277
26	TCGA-AA-A01C-01A-01D-A008-01	3	60277140	60472107	216	-0.381
27	TCGA-AA-A01C-01A-01D-A008-01	3	60472209	68870215	6777	0.0493
28	TCGA-AA-A01C-01A-01D-A008-01	3	68872978	96538553	14711	0.0197
29	TCGA-AA-A01C-01A-01D-A008-01	3	96543692	167931933	43849	0.0459
30	TCGA-AA-A01C-01A-01D-A008-01	3	167937519	173441129	3568	0.0913
31	TCGA-AA-A01C-01A-01D-A008-01	3	173441524	197764233	15476	0.0358
32	TCGA-AA-A01C-01A-01D-A008-01	4	193054	7817650	4616	-0.4311
33	TCGA-AA-A01C-01A-01D-A008-01	4	7817885	68191194	37454	-0.3754
34	TCGA-AA-A01C-01A-01D-A008-01	4	68193149	68281440	54	-0.5277
35	TCGA-AA-A01C-01A-01D-A008-01	4	68281861	156160473	53341	-0.3494
36	TCGA-AA-A01C-01A-01D-A008-01	4	156162680	190451589	22955	-0.3824
37	TCGA-AA-A01C-01A-01D-A008-01	5	304462	6896037	5458	-0.0557
38	TCGA-AA-A01C-01A-01D-A008-01	5	6896257	16877367	7585	0.0332
39	TCGA-AA-A01C-01A-01D-A008-01	5	16880423	32332180	9555	-0.0037
40	TCGA-AA-A01C-01A-01D-A008-01	5	32336523	96086334	36110	0.043
41	TCGA-AA-A01C-01A-01D-A008-01	5	96086385	137826925	26967	-0.3766
42	TCGA-AA-A01C-01A-01D-A008-01	5	137829714	150369938	7771	0.0518
43	TCGA-AA-A01C-01A-01D-A008-01	5	150371230	180694888	20595	0.003
44	TCGA-AA-A01C-01A-01D-A008-01	6	421317	51140997	34923	0.0357
45	TCGA-AA-A01C-01A-01D-A008-01	6	51142109	65335709	6500	0.0803
46	TCGA-AA-A01C-01A-01D-A008-01	6	65336231	79414728	9429	0.0243
47	TCGA-AA-A01C-01A-01D-A008-01	6	79414873	82787023	2266	0.0942
48	TCGA-AA-A01C-01A-01D-A008-01	6	82787851	124749399	26224	0.0333
49	TCGA-AA-A01C-01A-01D-A008-01	6	124749725	138601400	9314	0.0757
50	TCGA-AA-A01C-01A-01D-A008-01	6	138601695	142247054	2102	0.0189
51	TCGA-AA-A01C-01A-01D-A008-01	6	142247473	145162404	1929	0.0846
52	TCGA-AA-A01C-01A-01D-A008-01	6	145162512	162612119	12298	0.023
53	TCGA-AA-A01C-01A-01D-A008-01	6	162612253	162702832	57	-0.3784
54	TCGA-AA-A01C-01A-01D-A008-01	6	162705860	162771929	65	-0.921
55	TCGA-AA-A01C-01A-01D-A008-01	6	162772362	162870947	83	-0.4476
56	TCGA-AA-A01C-01A-01D-A008-01	6	162875334	163232332	250	-0.0244
57	TCGA-AA-A01C-01A-01D-A008-01	6	163232345	165600056	1826	-0.0801
58	TCGA-AA-A01C-01A-01D-A008-01	6	165600720	169382085	2692	0.0054
