 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A01J-01A-01D-A008-01	1	1737357	249201800	144062	-0.0323
1	TCGA-AG-A01J-01A-01D-A008-01	2	12784	242719805	151578	-0.0428
2	TCGA-AG-A01J-01A-01D-A008-01	3	242241	197764233	125924	-0.0294
3	TCGA-AG-A01J-01A-01D-A008-01	4	193054	187367817	116219	-0.0311
4	TCGA-AG-A01J-01A-01D-A008-01	4	187368374	187430426	48	0.6031
5	TCGA-AG-A01J-01A-01D-A008-01	4	187433705	187527924	53	0.0609
6	TCGA-AG-A01J-01A-01D-A008-01	4	187528055	187834397	221	0.7075
7	TCGA-AG-A01J-01A-01D-A008-01	4	187907174	188314776	281	0.0065
8	TCGA-AG-A01J-01A-01D-A008-01	4	188319839	188841772	300	0.6811
9	TCGA-AG-A01J-01A-01D-A008-01	4	188842028	190451589	1209	-0.0392
10	TCGA-AG-A01J-01A-01D-A008-01	5	304462	6754667	5323	-0.0715
11	TCGA-AG-A01J-01A-01D-A008-01	5	6758971	6762770	5	-1.4398
12	TCGA-AG-A01J-01A-01D-A008-01	5	6763575	12379566	4665	-0.0498
13	TCGA-AG-A01J-01A-01D-A008-01	5	12381864	160625518	90660	-0.0301
14	TCGA-AG-A01J-01A-01D-A008-01	5	160626657	180694888	13388	-0.0497
15	TCGA-AG-A01J-01A-01D-A008-01	6	421317	170903916	111036	-0.0304
16	TCGA-AG-A01J-01A-01D-A008-01	7	704573	158927795	99463	0.3126
17	TCGA-AG-A01J-01A-01D-A008-01	8	562629	41074906	32349	-0.462
18	TCGA-AG-A01J-01A-01D-A008-01	8	41075752	146288316	64223	1.0119
19	TCGA-AG-A01J-01A-01D-A008-01	9	334524	75156057	35358	-0.0262
20	TCGA-AG-A01J-01A-01D-A008-01	9	75156115	75431732	168	0.3298
21	TCGA-AG-A01J-01A-01D-A008-01	9	75432151	75470303	21	-0.2427
22	TCGA-AG-A01J-01A-01D-A008-01	9	75472016	136265294	42936	-0.0251
23	TCGA-AG-A01J-01A-01D-A008-01	9	136267869	140952916	2161	-0.0939
24	TCGA-AG-A01J-01A-01D-A008-01	10	111148	135206873	92066	-0.0323
25	TCGA-AG-A01J-01A-01D-A008-01	11	198510	119927888	76729	-0.0334
26	TCGA-AG-A01J-01A-01D-A008-01	11	119929415	120414925	320	0.2683
27	TCGA-AG-A01J-01A-01D-A008-01	11	120417190	134809090	11068	-0.049
28	TCGA-AG-A01J-01A-01D-A008-01	12	362522	133625276	85894	-0.0275
29	TCGA-AG-A01J-01A-01D-A008-01	13	19418531	114945972	65030	-0.0318
30	TCGA-AG-A01J-01A-01D-A008-01	14	20516291	103979543	54686	-0.0329
31	TCGA-AG-A01J-01A-01D-A008-01	15	23222284	101935302	51640	-0.4491
32	TCGA-AG-A01J-01A-01D-A008-01	16	2315245	90158838	52479	-0.0321
33	TCGA-AG-A01J-01A-01D-A008-01	17	193188	18876996	11722	-0.4592
34	TCGA-AG-A01J-01A-01D-A008-01	17	19152102	21707731	1165	0.3052
35	TCGA-AG-A01J-01A-01D-A008-01	17	21708202	22201452	214	0.9536
36	TCGA-AG-A01J-01A-01D-A008-01	17	25301016	81027417	32699	-0.0289
37	TCGA-AG-A01J-01A-01D-A008-01	18	234058	77859855	51258	-0.4565
38	TCGA-AG-A01J-01A-01D-A008-01	19	3123738	21387808	8755	-0.0348
39	TCGA-AG-A01J-01A-01D-A008-01	19	21388921	21402762	18	-0.9593
40	TCGA-AG-A01J-01A-01D-A008-01	19	21406019	58866674	20138	-0.03
41	TCGA-AG-A01J-01A-01D-A008-01	20	69283	14265117	10935	-0.4548
42	TCGA-AG-A01J-01A-01D-A008-01	20	14270069	14551755	161	-0.9787
43	TCGA-AG-A01J-01A-01D-A008-01	20	14556195	17686769	2932	-0.4419
44	TCGA-AG-A01J-01A-01D-A008-01	20	17686945	17755106	71	0.0605
45	TCGA-AG-A01J-01A-01D-A008-01	20	17760632	26073580	6064	-0.4596
46	TCGA-AG-A01J-01A-01D-A008-01	20	29838618	62912463	22631	0.8128
47	TCGA-AG-A01J-01A-01D-A008-01	21	15425304	46174999	23060	-0.0231
48	TCGA-AG-A01J-01A-01D-A008-01	21	46175278	46409765	131	0.2356
49	TCGA-AG-A01J-01A-01D-A008-01	21	46410660	47970581	874	-0.0559
50	TCGA-AG-A01J-01A-01D-A008-01	22	17305614	47060625	20395	-0.0375
