 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A02R-01A-01D-A008-01	1	1737357	49355640	27417	-0.0324
1	TCGA-AA-A02R-01A-01D-A008-01	1	49357901	49826393	233	-0.6936
2	TCGA-AA-A02R-01A-01D-A008-01	1	49831125	249201800	116412	-0.0216
3	TCGA-AA-A02R-01A-01D-A008-01	2	12784	7076412	5477	-0.0949
4	TCGA-AA-A02R-01A-01D-A008-01	2	7076422	7104166	33	-1.0924
5	TCGA-AA-A02R-01A-01D-A008-01	2	7105156	124597577	72634	-0.0302
6	TCGA-AA-A02R-01A-01D-A008-01	2	124598410	125922083	860	-0.1505
7	TCGA-AA-A02R-01A-01D-A008-01	2	125925252	156272035	18671	-0.0435
8	TCGA-AA-A02R-01A-01D-A008-01	2	156273162	211169186	33360	-0.0144
9	TCGA-AA-A02R-01A-01D-A008-01	2	211170972	236377559	16627	-0.043
10	TCGA-AA-A02R-01A-01D-A008-01	2	236378828	236407963	25	-0.929
11	TCGA-AA-A02R-01A-01D-A008-01	2	236416658	242719805	3891	-0.0567
12	TCGA-AA-A02R-01A-01D-A008-01	3	242241	4134998	3614	-0.0865
13	TCGA-AA-A02R-01A-01D-A008-01	3	4136544	59515662	36822	-0.0165
14	TCGA-AA-A02R-01A-01D-A008-01	3	59515819	59804978	312	0.4814
15	TCGA-AA-A02R-01A-01D-A008-01	3	59811605	59891227	75	-0.71
16	TCGA-AA-A02R-01A-01D-A008-01	3	59891420	60202955	438	-0.0612
17	TCGA-AA-A02R-01A-01D-A008-01	3	60204763	60382828	179	-0.8722
18	TCGA-AA-A02R-01A-01D-A008-01	3	60386782	60509645	156	-2.312
19	TCGA-AA-A02R-01A-01D-A008-01	3	60569048	61149079	596	-0.0499
20	TCGA-AA-A02R-01A-01D-A008-01	3	61149967	61190394	47	-0.8012
21	TCGA-AA-A02R-01A-01D-A008-01	3	61205838	174586517	68911	-0.0248
22	TCGA-AA-A02R-01A-01D-A008-01	3	174587072	174638752	28	-0.923
23	TCGA-AA-A02R-01A-01D-A008-01	3	174640268	174804968	110	-0.026
24	TCGA-AA-A02R-01A-01D-A008-01	3	174807929	174836737	29	-1.8666
25	TCGA-AA-A02R-01A-01D-A008-01	3	174859754	174893775	24	-0.7342
26	TCGA-AA-A02R-01A-01D-A008-01	3	174893983	197764233	14513	-0.0118
27	TCGA-AA-A02R-01A-01D-A008-01	4	193054	2619331	892	-0.0235
28	TCGA-AA-A02R-01A-01D-A008-01	4	2624103	2908955	140	-0.912
29	TCGA-AA-A02R-01A-01D-A008-01	4	2910618	25008213	15708	-0.0337
30	TCGA-AA-A02R-01A-01D-A008-01	4	25009679	25012126	5	-1.8646
31	TCGA-AA-A02R-01A-01D-A008-01	4	25014127	32537063	4972	-0.0296
32	TCGA-AA-A02R-01A-01D-A008-01	4	32539177	32546421	6	-1.5965
33	TCGA-AA-A02R-01A-01D-A008-01	4	32547679	57680396	13711	-0.0137
34	TCGA-AA-A02R-01A-01D-A008-01	4	57684511	67471855	6169	-0.0633
35	TCGA-AA-A02R-01A-01D-A008-01	4	67472370	92322807	15486	-0.0042
36	TCGA-AA-A02R-01A-01D-A008-01	4	92328304	92426319	55	-0.7145
37	TCGA-AA-A02R-01A-01D-A008-01	4	92428380	130043321	22529	-0.0208
38	TCGA-AA-A02R-01A-01D-A008-01	4	130048826	130052752	5	-1.865
39	TCGA-AA-A02R-01A-01D-A008-01	4	130053012	133822430	2217	-0.0444
40	TCGA-AA-A02R-01A-01D-A008-01	4	133822807	133826267	6	-1.4455
41	TCGA-AA-A02R-01A-01D-A008-01	4	133826485	135780220	1050	-0.0494
42	TCGA-AA-A02R-01A-01D-A008-01	4	135780372	135785349	5	-2.1184
43	TCGA-AA-A02R-01A-01D-A008-01	4	135786753	190451589	35464	-0.0322
