	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AY-4071-01A-01D-1109-02	1	10001	560137	0	0.0416
1	TCGA-AY-4071-01A-01D-1109-02	1	561138	570137	0	2.3785
2	TCGA-AY-4071-01A-01D-1109-02	1	570138	50284413	0	-0.0659
3	TCGA-AY-4071-01A-01D-1109-02	1	50284414	50475413	0	-0.5121
4	TCGA-AY-4071-01A-01D-1109-02	1	50475414	249233096	0	-0.0612
5	TCGA-AY-4071-01A-01D-1109-02	2	10001	89925958	0	-0.0635
7	TCGA-AY-4071-01A-01D-1109-02	2	91660274	92280273	0	-0.0607
8	TCGA-AY-4071-01A-01D-1109-02	2	92280274	92301273	0	0.5681
9	TCGA-AY-4071-01A-01D-1109-02	2	92301274	92306273	0	-0.244
10	TCGA-AY-4071-01A-01D-1109-02	2	92306274	92315273	0	0.5682
11	TCGA-AY-4071-01A-01D-1109-02	2	92315274	92319273	0	-0.1678
12	TCGA-AY-4071-01A-01D-1109-02	2	92319274	92323273	0	0.6849
13	TCGA-AY-4071-01A-01D-1109-02	2	92323274	133010530	0	-0.0641
14	TCGA-AY-4071-01A-01D-1109-02	2	133010531	133035530	0	-0.4063
15	TCGA-AY-4071-01A-01D-1109-02	2	133035531	133124530	0	0.5053
16	TCGA-AY-4071-01A-01D-1109-02	2	133124531	243102327	0	-0.0574
17	TCGA-AY-4071-01A-01D-1109-02	3	60001	75770310	0	0.1677
18	TCGA-AY-4071-01A-01D-1109-02	3	75770311	75793310	0	-0.2933
19	TCGA-AY-4071-01A-01D-1109-02	3	75793311	97584310	0	0.1323
20	TCGA-AY-4071-01A-01D-1109-02	3	97584311	97749310	0	-0.1775
21	TCGA-AY-4071-01A-01D-1109-02	3	97749311	116087310	0	0.1688
22	TCGA-AY-4071-01A-01D-1109-02	3	116087311	116540310	0	-1.0428
23	TCGA-AY-4071-01A-01D-1109-02	3	116540311	197959603	0	0.1785
24	TCGA-AY-4071-01A-01D-1109-02	4	10001	109000	0	-0.2542
25	TCGA-AY-4071-01A-01D-1109-02	4	109001	49072243	0	-0.4405
27	TCGA-AY-4071-01A-01D-1109-02	4	52689244	68261405	0	-0.4513
28	TCGA-AY-4071-01A-01D-1109-02	4	68261406	68281405	0	-0.0436
29	TCGA-AY-4071-01A-01D-1109-02	4	68281406	190523006	0	-0.4323
30	TCGA-AY-4071-01A-01D-1109-02	4	190523007	190713006	0	-0.0351
31	TCGA-AY-4071-01A-01D-1109-02	4	190713007	191029082	0	-0.2604
32	TCGA-AY-4071-01A-01D-1109-02	5	10000	134257101	0	-0.0719
33	TCGA-AY-4071-01A-01D-1109-02	5	134257102	134264101	0	1.4636
34	TCGA-AY-4071-01A-01D-1109-02	5	134264102	180905260	0	-0.0652
35	TCGA-AY-4071-01A-01D-1109-02	6	62001	49556041	0	0.0542
36	TCGA-AY-4071-01A-01D-1109-02	6	49556042	49935041	0	-0.3029
37	TCGA-AY-4071-01A-01D-1109-02	6	49935042	57623041	0	0.06
38	TCGA-AY-4071-01A-01D-1109-02	6	57623042	57942041	0	-0.2437
39	TCGA-AY-4071-01A-01D-1109-02	6	57942042	162602010	0	0.0515
40	TCGA-AY-4071-01A-01D-1109-02	6	162602011	163146010	0	-0.1369
41	TCGA-AY-4071-01A-01D-1109-02	6	163146011	171055000	0	0.0499
42	TCGA-AY-4071-01A-01D-1109-02	7	10238	57297058	0	0.4928
44	TCGA-AY-4071-01A-01D-1109-02	7	61083059	61084058	0	-0.7069
45	TCGA-AY-4071-01A-01D-1109-02	7	61084059	61970565	0	0.4485
46	TCGA-AY-4071-01A-01D-1109-02	7	61970566	61988565	0	0.1896
47	TCGA-AY-4071-01A-01D-1109-02	7	61988566	61992565	0	-0.5881
48	TCGA-AY-4071-01A-01D-1109-02	7	61992566	62404565	0	0.4182
49	TCGA-AY-4071-01A-01D-1109-02	7	62404566	64096565	0	0.1984
50	TCGA-AY-4071-01A-01D-1109-02	7	64096566	65610565	0	0.4582
51	TCGA-AY-4071-01A-01D-1109-02	7	65610566	66462565	0	0.7081
52	TCGA-AY-4071-01A-01D-1109-02	7	66462566	77260064	0	0.4858
53	TCGA-AY-4071-01A-01D-1109-02	7	77260065	97755064	0	0.6972
54	TCGA-AY-4071-01A-01D-1109-02	7	97755065	97932064	0	0.4801
55	TCGA-AY-4071-01A-01D-1109-02	7	97932065	159128663	0	0.2422
56	TCGA-AY-4071-01A-01D-1109-02	8	10001	43790843	0	-0.067
57	TCGA-AY-4071-01A-01D-1109-02	8	43790844	43798843	0	0.5795
59	TCGA-AY-4071-01A-01D-1109-02	8	46851836	46856835	0	0.7327
60	TCGA-AY-4071-01A-01D-1109-02	8	46856836	137690818	0	-0.057
61	TCGA-AY-4071-01A-01D-1109-02	8	137690819	137873818	0	0.3939
62	TCGA-AY-4071-01A-01D-1109-02	8	137873819	146302196	0	-0.0615
63	TCGA-AY-4071-01A-01D-1109-02	9	10001	44070004	0	-0.0608
64	TCGA-AY-4071-01A-01D-1109-02	9	44070005	44071004	0	-1.4512
66	TCGA-AY-4071-01A-01D-1109-02	9	66833181	71174180	0	-0.2083
67	TCGA-AY-4071-01A-01D-1109-02	9	71174181	113623179	0	-0.4349
68	TCGA-AY-4071-01A-01D-1109-02	9	113623180	113797179	0	-0.919
69	TCGA-AY-4071-01A-01D-1109-02	9	113797180	141148179	0	-0.4411
70	TCGA-AY-4071-01A-01D-1109-02	10	60001	39075994	0	-0.0629
71	TCGA-AY-4071-01A-01D-1109-02	10	39075995	39149994	0	-0.4331
73	TCGA-AY-4071-01A-01D-1109-02	10	42378995	42380994	0	-0.3615
74	TCGA-AY-4071-01A-01D-1109-02	10	42380995	97025010	0	-0.0602
