	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A03J-01A-21D-A079-02	1	10001	544137	0	-0.1967
1	TCGA-AA-A03J-01A-21D-A079-02	1	544138	571137	0	-1.3609
2	TCGA-AA-A03J-01A-21D-A079-02	1	571138	36427413	0	-0.3232
3	TCGA-AA-A03J-01A-21D-A079-02	1	36427414	62536412	0	-0.0342
4	TCGA-AA-A03J-01A-21D-A079-02	1	62536413	64946412	0	-0.3418
5	TCGA-AA-A03J-01A-21D-A079-02	1	64946413	70342412	0	-0.0468
6	TCGA-AA-A03J-01A-21D-A079-02	1	70342413	77976412	0	-0.3727
7	TCGA-AA-A03J-01A-21D-A079-02	1	77976413	79313412	0	-0.053
8	TCGA-AA-A03J-01A-21D-A079-02	1	79313413	84397412	0	-0.3824
9	TCGA-AA-A03J-01A-21D-A079-02	1	84397413	86553412	0	-0.0497
10	TCGA-AA-A03J-01A-21D-A079-02	1	86553413	88374412	0	-0.3418
11	TCGA-AA-A03J-01A-21D-A079-02	1	88374413	89891412	0	-0.0516
12	TCGA-AA-A03J-01A-21D-A079-02	1	89891413	91362412	0	-0.3172
13	TCGA-AA-A03J-01A-21D-A079-02	1	91362413	91565412	0	-0.045
14	TCGA-AA-A03J-01A-21D-A079-02	1	91565413	92978412	0	-0.3151
15	TCGA-AA-A03J-01A-21D-A079-02	1	92978413	93218412	0	-0.0463
16	TCGA-AA-A03J-01A-21D-A079-02	1	93218413	93667412	0	-0.306
17	TCGA-AA-A03J-01A-21D-A079-02	1	93667413	96484412	0	-0.0318
18	TCGA-AA-A03J-01A-21D-A079-02	1	96484413	97614412	0	-0.371
19	TCGA-AA-A03J-01A-21D-A079-02	1	97614413	97972412	0	-0.0761
20	TCGA-AA-A03J-01A-21D-A079-02	1	97972413	102074412	0	-0.351
21	TCGA-AA-A03J-01A-21D-A079-02	1	102074413	102360412	0	-0.0511
22	TCGA-AA-A03J-01A-21D-A079-02	1	102360413	116649477	0	-0.3502
23	TCGA-AA-A03J-01A-21D-A079-02	1	116649478	117027477	0	-0.0444
24	TCGA-AA-A03J-01A-21D-A079-02	1	117027478	121351477	0	-0.3439
25	TCGA-AA-A03J-01A-21D-A079-02	1	121351478	121352477	0	1.2396
26	TCGA-AA-A03J-01A-21D-A079-02	1	121352478	121484477	0	-0.1053
28	TCGA-AA-A03J-01A-21D-A079-02	1	143355478	145099643	0	-0.1913
29	TCGA-AA-A03J-01A-21D-A079-02	1	145099644	146473376	0	-0.0568
30	TCGA-AA-A03J-01A-21D-A079-02	1	146473377	146788376	0	-0.3439
31	TCGA-AA-A03J-01A-21D-A079-02	1	146788377	249233096	0	-0.0454
32	TCGA-AA-A03J-01A-21D-A079-02	2	10001	92279273	0	-0.0494
33	TCGA-AA-A03J-01A-21D-A079-02	2	92279274	92282273	0	0.7144
34	TCGA-AA-A03J-01A-21D-A079-02	2	92282274	92289273	0	-0.1595
35	TCGA-AA-A03J-01A-21D-A079-02	2	92289274	92291273	0	0.941
36	TCGA-AA-A03J-01A-21D-A079-02	2	92291274	92296273	0	-0.0717
37	TCGA-AA-A03J-01A-21D-A079-02	2	92296274	92301273	0	0.7387
38	TCGA-AA-A03J-01A-21D-A079-02	2	92301274	92307273	0	0.1592
39	TCGA-AA-A03J-01A-21D-A079-02	2	92307274	92310273	0	0.8872
40	TCGA-AA-A03J-01A-21D-A079-02	2	92311274	92319273	0	-0.0713
41	TCGA-AA-A03J-01A-21D-A079-02	2	92319274	92320273	0	0.9716
42	TCGA-AA-A03J-01A-21D-A079-02	2	92320274	92322273	0	0.6172
43	TCGA-AA-A03J-01A-21D-A079-02	2	92322274	132997530	0	-0.0472
44	TCGA-AA-A03J-01A-21D-A079-02	2	132997531	133039530	0	0.1327
45	TCGA-AA-A03J-01A-21D-A079-02	2	133039531	133119530	0	0.545
46	TCGA-AA-A03J-01A-21D-A079-02	2	133119531	149638530	0	-0.0679
47	TCGA-AA-A03J-01A-21D-A079-02	2	149638531	149639530	0	-1.287
48	TCGA-AA-A03J-01A-21D-A079-02	2	149639531	243102327	0	-0.0508
49	TCGA-AA-A03J-01A-21D-A079-02	3	60001	75689310	0	-0.0497
50	TCGA-AA-A03J-01A-21D-A079-02	3	75689311	75756310	0	0.1541
51	TCGA-AA-A03J-01A-21D-A079-02	3	75756311	170913306	0	-0.0633
52	TCGA-AA-A03J-01A-21D-A079-02	3	170913307	173640306	0	-0.3362
53	TCGA-AA-A03J-01A-21D-A079-02	3	173640307	197959603	0	-0.0513
54	TCGA-AA-A03J-01A-21D-A079-02	4	10001	68264405	0	-0.0606
55	TCGA-AA-A03J-01A-21D-A079-02	4	68264406	68265405	0	-0.7487
56	TCGA-AA-A03J-01A-21D-A079-02	4	68265406	91107977	0	-0.0468
57	TCGA-AA-A03J-01A-21D-A079-02	4	91107978	91359977	0	-0.3703
58	TCGA-AA-A03J-01A-21D-A079-02	4	91359978	191029082	0	-0.0669
59	TCGA-AA-A03J-01A-21D-A079-02	5	10000	18253243	0	0.187
60	TCGA-AA-A03J-01A-21D-A079-02	5	18253244	30865243	0	0.1464
61	TCGA-AA-A03J-01A-21D-A079-02	5	30865244	82485244	0	0.1948
62	TCGA-AA-A03J-01A-21D-A079-02	5	82485245	131730101	0	0.1781
63	TCGA-AA-A03J-01A-21D-A079-02	5	131730102	134259101	0	-0.0276
64	TCGA-AA-A03J-01A-21D-A079-02	5	134259102	134261101	0	-1.0228
65	TCGA-AA-A03J-01A-21D-A079-02	5	134261102	149519807	0	-0.0406
66	TCGA-AA-A03J-01A-21D-A079-02	5	149519808	180905260	0	0.1934
67	TCGA-AA-A03J-01A-21D-A079-02	6	63001	29843021	0	0.1961
68	TCGA-AA-A03J-01A-21D-A079-02	6	29843022	45156022	0	0.2206
69	TCGA-AA-A03J-01A-21D-A079-02	6	45156023	125931301	0	0.1771
70	TCGA-AA-A03J-01A-21D-A079-02	6	125931302	162390010	0	0.1967
71	TCGA-AA-A03J-01A-21D-A079-02	6	162390011	163004010	0	-0.0378
72	TCGA-AA-A03J-01A-21D-A079-02	6	163004011	171054075	0	0.1924
73	TCGA-AA-A03J-01A-21D-A079-02	7	10238	61916565	0	0.1752
75	TCGA-AA-A03J-01A-21D-A079-02	7	61979566	141765531	0	0.1758
76	TCGA-AA-A03J-01A-21D-A079-02	7	141765532	141794531	0	-1.4468
77	TCGA-AA-A03J-01A-21D-A079-02	7	141794532	159128663	0	0.1786
78	TCGA-AA-A03J-01A-21D-A079-02	8	10001	20593720	0	-0.3478
79	TCGA-AA-A03J-01A-21D-A079-02	8	20593721	21460720	0	-0.0831
80	TCGA-AA-A03J-01A-21D-A079-02	8	21460721	34640458	0	-0.3376
81	TCGA-AA-A03J-01A-21D-A079-02	8	34640459	43792843	0	-0.0488
82	TCGA-AA-A03J-01A-21D-A079-02	8	43792844	43794843	0	0.8715
84	TCGA-AA-A03J-01A-21D-A079-02	8	46849836	46854835	0	0.7964
85	TCGA-AA-A03J-01A-21D-A079-02	8	46854836	146304022	0	-0.0565
86	TCGA-AA-A03J-01A-21D-A079-02	9	10001	44070004	0	-0.3491
87	TCGA-AA-A03J-01A-21D-A079-02	9	44070005	44072004	0	0.2921
88	TCGA-AA-A03J-01A-21D-A079-02	9	44072005	44823004	0	-0.507
90	TCGA-AA-A03J-01A-21D-A079-02	9	66832181	66833180	0	0.8404
91	TCGA-AA-A03J-01A-21D-A079-02	9	66833181	68492180	0	-0.0909
92	TCGA-AA-A03J-01A-21D-A079-02	9	68492181	122332179	0	-0.3464
93	TCGA-AA-A03J-01A-21D-A079-02	9	122332180	141149179	0	-0.3228
94	TCGA-AA-A03J-01A-21D-A079-02	10	60001	135524747	0	-0.0457
95	TCGA-AA-A03J-01A-21D-A079-02	11	72001	15081424	0	-0.3288
96	TCGA-AA-A03J-01A-21D-A079-02	11	15081425	15695424	0	-0.7423
97	TCGA-AA-A03J-01A-21D-A079-02	11	15695425	48815424	0	-0.3522
98	TCGA-AA-A03J-01A-21D-A079-02	11	48815425	48970424	0	-0.1433
99	TCGA-AA-A03J-01A-21D-A079-02	11	48970425	50688424	0	-0.3752
101	TCGA-AA-A03J-01A-21D-A079-02	11	51159425	51571424	0	-0.3354
102	TCGA-AA-A03J-01A-21D-A079-02	11	51571425	51572424	0	0.7383
103	TCGA-AA-A03J-01A-21D-A079-02	11	51572425	51573424	0	-0.1875
104	TCGA-AA-A03J-01A-21D-A079-02	11	51573425	51576424	0	0.7377
105	TCGA-AA-A03J-01A-21D-A079-02	11	51576425	78612352	0	-0.3279
106	TCGA-AA-A03J-01A-21D-A079-02	11	78612353	134946516	0	-0.3532
107	TCGA-AA-A03J-01A-21D-A079-02	12	145739	3077739	0	0.2219
108	TCGA-AA-A03J-01A-21D-A079-02	12	3077740	9520733	0	-0.0362
109	TCGA-AA-A03J-01A-21D-A079-02	12	9520734	9829733	0	0.1988
110	TCGA-AA-A03J-01A-21D-A079-02	12	9829734	11663733	0	-0.0405
111	TCGA-AA-A03J-01A-21D-A079-02	12	11663734	21492733	0	0.1918
112	TCGA-AA-A03J-01A-21D-A079-02	12	21492734	27846733	0	-0.0561
113	TCGA-AA-A03J-01A-21D-A079-02	12	27846734	29619733	0	0.1963
114	TCGA-AA-A03J-01A-21D-A079-02	12	29619734	32836733	0	-0.0494
115	TCGA-AA-A03J-01A-21D-A079-02	12	32836734	41624733	0	0.1618
116	TCGA-AA-A03J-01A-21D-A079-02	12	41624734	44322733	0	-0.05
117	TCGA-AA-A03J-01A-21D-A079-02	12	44322734	52008733	0	0.2077
118	TCGA-AA-A03J-01A-21D-A079-02	12	52008734	53691733	0	-0.0366
119	TCGA-AA-A03J-01A-21D-A079-02	12	53691734	59796733	0	0.2208
120	TCGA-AA-A03J-01A-21D-A079-02	12	59796734	62412733	0	0.1413
121	TCGA-AA-A03J-01A-21D-A079-02	12	62412734	67485733	0	-0.0448
122	TCGA-AA-A03J-01A-21D-A079-02	12	67485734	72928733	0	0.2059
123	TCGA-AA-A03J-01A-21D-A079-02	12	72928734	84722869	0	-0.0629
124	TCGA-AA-A03J-01A-21D-A079-02	12	84722870	84909869	0	0.1852
125	TCGA-AA-A03J-01A-21D-A079-02	12	84909870	91341869	0	-0.0673
126	TCGA-AA-A03J-01A-21D-A079-02	12	91341870	94006869	0	0.1977
127	TCGA-AA-A03J-01A-21D-A079-02	12	94006870	94561869	0	-0.0477
128	TCGA-AA-A03J-01A-21D-A079-02	12	94561870	94943869	0	0.2087
129	TCGA-AA-A03J-01A-21D-A079-02	12	94943870	95145869	0	-0.077
130	TCGA-AA-A03J-01A-21D-A079-02	12	95145870	96736869	0	0.2048
131	TCGA-AA-A03J-01A-21D-A079-02	12	96736870	103646870	0	-0.0545
132	TCGA-AA-A03J-01A-21D-A079-02	12	103646871	112415617	0	0.2147
133	TCGA-AA-A03J-01A-21D-A079-02	12	112415618	120414617	0	-0.0301
134	TCGA-AA-A03J-01A-21D-A079-02	12	120414618	126581047	0	0.2333
135	TCGA-AA-A03J-01A-21D-A079-02	12	126581048	133779461	0	-0.0527
136	TCGA-AA-A03J-01A-21D-A079-02	13	19020001	53054999	0	0.3154
137	TCGA-AA-A03J-01A-21D-A079-02	13	53055000	69292999	0	0.2617
138	TCGA-AA-A03J-01A-21D-A079-02	13	69293000	109805999	0	0.2902
139	TCGA-AA-A03J-01A-21D-A079-02	13	109806000	115109878	0	0.3433
140	TCGA-AA-A03J-01A-21D-A079-02	14	19000001	19026000	0	-0.0159
141	TCGA-AA-A03J-01A-21D-A079-02	14	19026001	43298250	0	-0.3539
142	TCGA-AA-A03J-01A-21D-A079-02	14	43298251	43374250	0	0.2318
143	TCGA-AA-A03J-01A-21D-A079-02	14	43374251	106783955	0	-0.3426
144	TCGA-AA-A03J-01A-21D-A079-02	14	106783956	107289540	0	-0.0339
145	TCGA-AA-A03J-01A-21D-A079-02	15	20000000	102521392	0	-0.039
146	TCGA-AA-A03J-01A-21D-A079-02	16	60001	5746999	0	0.239
147	TCGA-AA-A03J-01A-21D-A079-02	16	5747000	6094999	0	-0.0451
148	TCGA-AA-A03J-01A-21D-A079-02	16	6095000	7703999	0	0.1471
149	TCGA-AA-A03J-01A-21D-A079-02	16	7704000	33973499	0	0.212
150	TCGA-AA-A03J-01A-21D-A079-02	16	33973500	33975499	0	-0.1863
151	TCGA-AA-A03J-01A-21D-A079-02	16	33975500	35265499	0	0.1548
153	TCGA-AA-A03J-01A-21D-A079-02	16	46613500	70847499	0	0.2019
154	TCGA-AA-A03J-01A-21D-A079-02	16	70847500	71223499	0	0.0628
155	TCGA-AA-A03J-01A-21D-A079-02	16	71223500	82873499	0	0.2004
156	TCGA-AA-A03J-01A-21D-A079-02	16	82873500	83552499	0	-0.0673
