 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AZ-4681-01A-01D-1406-01	1	1737357	3003306	391	0.0429
1	TCGA-AZ-4681-01A-01D-1406-01	1	3003488	5293304	1565	-0.0375
2	TCGA-AZ-4681-01A-01D-1406-01	1	5293365	47051923	23907	0.0274
3	TCGA-AZ-4681-01A-01D-1406-01	1	47053199	58916818	7701	0.0513
4	TCGA-AZ-4681-01A-01D-1406-01	1	58917270	61041875	1479	0.1261
5	TCGA-AZ-4681-01A-01D-1406-01	1	61042381	235601305	99207	0.0675
6	TCGA-AZ-4681-01A-01D-1406-01	1	235604635	249201800	9812	0.0408
7	TCGA-AZ-4681-01A-01D-1406-01	2	12784	6785790	5233	-0.0692
8	TCGA-AZ-4681-01A-01D-1406-01	2	6785957	155979569	92297	0.0421
9	TCGA-AZ-4681-01A-01D-1406-01	2	155980418	210063900	32898	0.074
10	TCGA-AZ-4681-01A-01D-1406-01	2	210065783	222847844	8330	0.0336
11	TCGA-AZ-4681-01A-01D-1406-01	2	222856726	229417433	4421	0.0655
12	TCGA-AZ-4681-01A-01D-1406-01	2	229422800	242428513	8316	0.0156
13	TCGA-AZ-4681-01A-01D-1406-01	2	242428809	242719805	83	-0.0734
14	TCGA-AZ-4681-01A-01D-1406-01	3	242241	29817658	22390	0.0331
15	TCGA-AZ-4681-01A-01D-1406-01	3	29817878	31569962	1353	0.1174
16	TCGA-AZ-4681-01A-01D-1406-01	3	31571055	60004908	17258	0.0385
17	TCGA-AZ-4681-01A-01D-1406-01	3	60005597	60464180	534	-0.1169
18	TCGA-AZ-4681-01A-01D-1406-01	3	60464275	197764233	84389	0.0477
19	TCGA-AZ-4681-01A-01D-1406-01	4	193054	9903760	5437	0.0466
20	TCGA-AZ-4681-01A-01D-1406-01	4	9909248	18770292	6975	0.0906
21	TCGA-AZ-4681-01A-01D-1406-01	4	18776362	19639580	577	-0.0292
22	TCGA-AZ-4681-01A-01D-1406-01	4	19643551	28099285	5821	0.091
23	TCGA-AZ-4681-01A-01D-1406-01	4	28099361	45794357	11355	-0.0972
24	TCGA-AZ-4681-01A-01D-1406-01	4	45795589	58392468	5855	0.0402
25	TCGA-AZ-4681-01A-01D-1406-01	4	58393880	63164435	2907	-0.0625
26	TCGA-AZ-4681-01A-01D-1406-01	4	63164972	64978079	1009	0.0544
27	TCGA-AZ-4681-01A-01D-1406-01	4	64979728	66976624	1386	-0.0637
28	TCGA-AZ-4681-01A-01D-1406-01	4	66980896	67437656	261	0.0142
29	TCGA-AZ-4681-01A-01D-1406-01	4	67437716	69112715	1044	0.1132
30	TCGA-AZ-4681-01A-01D-1406-01	4	69116025	71281566	1281	0.1928
31	TCGA-AZ-4681-01A-01D-1406-01	4	71287652	74479181	1820	0.1281
32	TCGA-AZ-4681-01A-01D-1406-01	4	74479397	75507711	629	0.2352
33	TCGA-AZ-4681-01A-01D-1406-01	4	75510283	86208684	6819	0.1508
34	TCGA-AZ-4681-01A-01D-1406-01	4	86215090	86651080	337	-0.0164
35	TCGA-AZ-4681-01A-01D-1406-01	4	86652563	88402489	1027	0.1629
36	TCGA-AZ-4681-01A-01D-1406-01	4	88408167	88412849	5	-0.5452
37	TCGA-AZ-4681-01A-01D-1406-01	4	88415677	91271082	1897	0.1586
38	TCGA-AZ-4681-01A-01D-1406-01	4	91271176	91668739	208	0.0318
39	TCGA-AZ-4681-01A-01D-1406-01	4	91669119	91751806	56	-0.3866
40	TCGA-AZ-4681-01A-01D-1406-01	4	91760187	91817134	33	0.0548
41	TCGA-AZ-4681-01A-01D-1406-01	4	91822311	91911185	58	-0.6318
42	TCGA-AZ-4681-01A-01D-1406-01	4	91915401	93598409	942	0.1019
43	TCGA-AZ-4681-01A-01D-1406-01	4	93598486	98639271	3071	-0.0004
44	TCGA-AZ-4681-01A-01D-1406-01	4	98649755	101527307	1659	0.0742
45	TCGA-AZ-4681-01A-01D-1406-01	4	101534643	116713294	9314	0.1463
46	TCGA-AZ-4681-01A-01D-1406-01	4	116713454	118381291	998	0.0657
47	TCGA-AZ-4681-01A-01D-1406-01	4	118384733	120907798	1514	0.1438
48	TCGA-AZ-4681-01A-01D-1406-01	4	120907804	120923932	5	-0.5978
49	TCGA-AZ-4681-01A-01D-1406-01	4	120968893	121750787	537	0.1198
50	TCGA-AZ-4681-01A-01D-1406-01	4	121751185	126892154	3029	0.0229
51	TCGA-AZ-4681-01A-01D-1406-01	4	126895184	128167123	834	-0.0668
52	TCGA-AZ-4681-01A-01D-1406-01	4	128169494	130099986	935	0.0492
53	TCGA-AZ-4681-01A-01D-1406-01	4	130100615	138006851	4493	-0.0415
54	TCGA-AZ-4681-01A-01D-1406-01	4	138007202	149292464	7149	0.1327
55	TCGA-AZ-4681-01A-01D-1406-01	4	149293317	176804052	17202	-0.0468
56	TCGA-AZ-4681-01A-01D-1406-01	4	176804351	184697238	5728	-0.0935
57	TCGA-AZ-4681-01A-01D-1406-01	4	184697378	190451589	4145	-0.0627
58	TCGA-AZ-4681-01A-01D-1406-01	5	304462	1212357	377	0.0261
59	TCGA-AZ-4681-01A-01D-1406-01	5	1212553	5400619	3723	-0.0494
60	TCGA-AZ-4681-01A-01D-1406-01	5	5404366	5415877	15	0.4002
61	TCGA-AZ-4681-01A-01D-1406-01	5	5416240	6707639	1162	-0.0444
62	TCGA-AZ-4681-01A-01D-1406-01	5	6707717	12577635	4816	0.0105
63	TCGA-AZ-4681-01A-01D-1406-01	5	12577738	16550476	2706	0.0638
64	TCGA-AZ-4681-01A-01D-1406-01	5	16550579	32265890	9764	0.0002
65	TCGA-AZ-4681-01A-01D-1406-01	5	32265908	86979456	31149	0.0304
66	TCGA-AZ-4681-01A-01D-1406-01	5	86980782	136158627	30941	-0.8003
67	TCGA-AZ-4681-01A-01D-1406-01	5	136172769	143453937	4179	-0.0014
68	TCGA-AZ-4681-01A-01D-1406-01	5	143456380	149450694	4053	0.0492
69	TCGA-AZ-4681-01A-01D-1406-01	5	149453450	159846255	7153	0.0118
70	TCGA-AZ-4681-01A-01D-1406-01	5	159846410	161438241	1097	0.0612
71	TCGA-AZ-4681-01A-01D-1406-01	5	161440049	180694888	12906	-0.0083
72	TCGA-AZ-4681-01A-01D-1406-01	6	421317	43691958	30193	0.029
73	TCGA-AZ-4681-01A-01D-1406-01	6	43692194	87890370	25969	0.0555
74	TCGA-AZ-4681-01A-01D-1406-01	6	87891752	95416678	5067	0.02
75	TCGA-AZ-4681-01A-01D-1406-01	6	95417348	95509468	63	-0.8438
76	TCGA-AZ-4681-01A-01D-1406-01	6	95566986	125384586	18450	0.0425
77	TCGA-AZ-4681-01A-01D-1406-01	6	125384588	132644412	4631	0.0836
78	TCGA-AZ-4681-01A-01D-1406-01	6	132649194	134873987	1605	0.0111
79	TCGA-AZ-4681-01A-01D-1406-01	6	134876141	147764753	8301	0.0725
80	TCGA-AZ-4681-01A-01D-1406-01	6	147768259	161751279	9859	0.0317
81	TCGA-AZ-4681-01A-01D-1406-01	6	161753326	162269608	464	-0.0249
82	TCGA-AZ-4681-01A-01D-1406-01	6	162269694	162994193	642	-0.1696
83	TCGA-AZ-4681-01A-01D-1406-01	6	162994215	164650423	1319	-0.032
84	TCGA-AZ-4681-01A-01D-1406-01	6	164650914	170903916	4430	0.0181
85	TCGA-AZ-4681-01A-01D-1406-01	7	704573	7169596	3516	0.4545
86	TCGA-AZ-4681-01A-01D-1406-01	7	7171262	22661949	12805	0.5633
87	TCGA-AZ-4681-01A-01D-1406-01	7	22664190	24456228	1393	0.4796
88	TCGA-AZ-4681-01A-01D-1406-01	7	24458847	40663416	11521	0.5401
89	TCGA-AZ-4681-01A-01D-1406-01	7	40666687	66468309	13529	0.5018
90	TCGA-AZ-4681-01A-01D-1406-01	7	66468681	76014438	4688	0.4401
91	TCGA-AZ-4681-01A-01D-1406-01	7	76016222	97369496	13797	0.5451
92	TCGA-AZ-4681-01A-01D-1406-01	7	97369501	102567397	2263	0.4698
93	TCGA-AZ-4681-01A-01D-1406-01	7	102567590	127824039	15822	0.5534
94	TCGA-AZ-4681-01A-01D-1406-01	7	127826302	132290051	2611	0.4827
95	TCGA-AZ-4681-01A-01D-1406-01	7	132294099	150892599	12125	0.5185
96	TCGA-AZ-4681-01A-01D-1406-01	7	150893167	158927795	5393	0.4789
97	TCGA-AZ-4681-01A-01D-1406-01	8	562629	38134155	30421	-0.8204
98	TCGA-AZ-4681-01A-01D-1406-01	8	38139663	38491800	244	1.9135
99	TCGA-AZ-4681-01A-01D-1406-01	8	38491949	38701409	95	2.4089
100	TCGA-AZ-4681-01A-01D-1406-01	8	38703105	39745159	521	1.756
101	TCGA-AZ-4681-01A-01D-1406-01	8	39745624	39948320	169	1.5535
102	TCGA-AZ-4681-01A-01D-1406-01	8	39948961	59820604	10167	0.5362
103	TCGA-AZ-4681-01A-01D-1406-01	8	59821773	130209344	43858	0.5783
104	TCGA-AZ-4681-01A-01D-1406-01	8	130209731	146288316	11097	0.54
105	TCGA-AZ-4681-01A-01D-1406-01	9	334524	8348984	7962	0.0706
106	TCGA-AZ-4681-01A-01D-1406-01	9	8350753	10132607	1724	0.1594
107	TCGA-AZ-4681-01A-01D-1406-01	9	10132696	74487245	25233	0.0721
