 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-3543-01A-01D-0824-01	1	1737357	7753132	3579	-0.1257
1	TCGA-AA-3543-01A-01D-0824-01	1	7757246	13966808	2996	-0.0028
2	TCGA-AA-3543-01A-01D-0824-01	1	13967844	15119708	944	-0.1283
3	TCGA-AA-3543-01A-01D-0824-01	1	15119831	18209809	1857	-0.0008
4	TCGA-AA-3543-01A-01D-0824-01	1	18210028	19430590	968	-0.1093
5	TCGA-AA-3543-01A-01D-0824-01	1	19431880	29726672	5513	-0.0055
6	TCGA-AA-3543-01A-01D-0824-01	1	29726875	30893590	829	-0.1759
7	TCGA-AA-3543-01A-01D-0824-01	1	30893720	33546171	1350	0.0116
8	TCGA-AA-3543-01A-01D-0824-01	1	33546321	38031972	2730	-0.0948
9	TCGA-AA-3543-01A-01D-0824-01	1	38035286	44881804	3995	-0.0412
10	TCGA-AA-3543-01A-01D-0824-01	1	44882495	48643336	2156	0.0261
11	TCGA-AA-3543-01A-01D-0824-01	1	48643788	49581527	630	-0.0754
12	TCGA-AA-3543-01A-01D-0824-01	1	49582318	49640365	26	-0.7802
13	TCGA-AA-3543-01A-01D-0824-01	1	49642698	49843593	84	-0.1678
14	TCGA-AA-3543-01A-01D-0824-01	1	49847231	50086218	92	-0.5936
15	TCGA-AA-3543-01A-01D-0824-01	1	50086359	187286134	73465	-0.0129
16	TCGA-AA-3543-01A-01D-0824-01	1	187290151	191899843	3068	-0.0732
17	TCGA-AA-3543-01A-01D-0824-01	1	191902295	211246653	13210	-0.0124
18	TCGA-AA-3543-01A-01D-0824-01	1	211246741	213064209	1137	0.0749
19	TCGA-AA-3543-01A-01D-0824-01	1	213067847	247749404	24657	-0.0093
20	TCGA-AA-3543-01A-01D-0824-01	1	247749572	249201800	776	-0.0927
21	TCGA-AA-3543-01A-01D-0824-01	2	12784	6429691	4928	-0.0906
22	TCGA-AA-3543-01A-01D-0824-01	2	6433173	6435188	5	-2.6298
23	TCGA-AA-3543-01A-01D-0824-01	2	6441231	10764429	3348	-0.0357
24	TCGA-AA-3543-01A-01D-0824-01	2	10764955	11988837	829	-0.4059
25	TCGA-AA-3543-01A-01D-0824-01	2	11991593	23984747	8747	-0.0483
26	TCGA-AA-3543-01A-01D-0824-01	2	23984992	65651356	28089	-0.0232
27	TCGA-AA-3543-01A-01D-0824-01	2	65656366	143387612	43990	-0.0483
28	TCGA-AA-3543-01A-01D-0824-01	2	143388795	143624950	135	-0.8582
29	TCGA-AA-3543-01A-01D-0824-01	2	143627097	147333667	2141	-0.0732
30	TCGA-AA-3543-01A-01D-0824-01	2	147334851	203215853	33888	-0.0212
31	TCGA-AA-3543-01A-01D-0824-01	2	203219578	203418042	109	-0.538
32	TCGA-AA-3543-01A-01D-0824-01	2	203419284	234695009	20086	-0.0284
33	TCGA-AA-3543-01A-01D-0824-01	2	234699598	238547518	2873	-0.0941
34	TCGA-AA-3543-01A-01D-0824-01	2	238547979	238670792	104	-1.2865
35	TCGA-AA-3543-01A-01D-0824-01	2	238671170	242719805	2306	-0.1358
36	TCGA-AA-3543-01A-01D-0824-01	3	242241	3198513	2667	-0.0719
37	TCGA-AA-3543-01A-01D-0824-01	3	3199278	4695370	1430	-0.0068
38	TCGA-AA-3543-01A-01D-0824-01	3	4695995	5232489	414	0.1149
39	TCGA-AA-3543-01A-01D-0824-01	3	5233351	53524051	31797	-0.0133
40	TCGA-AA-3543-01A-01D-0824-01	3	53524234	56141021	2112	-0.0708
41	TCGA-AA-3543-01A-01D-0824-01	3	56141556	59655660	2139	0.0136
42	TCGA-AA-3543-01A-01D-0824-01	3	59655767	60073652	557	-0.0811
43	TCGA-AA-3543-01A-01D-0824-01	3	60076365	60412561	358	-2.4
44	TCGA-AA-3543-01A-01D-0824-01	3	60414407	60581806	205	-0.0048
45	TCGA-AA-3543-01A-01D-0824-01	3	60586322	60666496	81	-0.8611
46	TCGA-AA-3543-01A-01D-0824-01	3	60666612	60808879	163	-0.052
47	TCGA-AA-3543-01A-01D-0824-01	3	60812574	60963081	154	-0.9645
48	TCGA-AA-3543-01A-01D-0824-01	3	60970808	174932204	69368	-0.0245
49	TCGA-AA-3543-01A-01D-0824-01	3	174932703	174946993	42	-0.7136
50	TCGA-AA-3543-01A-01D-0824-01	3	174952260	189799704	9592	-0.0071
51	TCGA-AA-3543-01A-01D-0824-01	3	189801557	189807676	8	-1.6846
52	TCGA-AA-3543-01A-01D-0824-01	3	189814339	197764233	4837	-0.0064
53	TCGA-AA-3543-01A-01D-0824-01	4	193054	27249199	18227	-0.0141
54	TCGA-AA-3543-01A-01D-0824-01	4	27250047	35594320	5304	-0.0674
55	TCGA-AA-3543-01A-01D-0824-01	4	35594434	42884388	4897	0.0205
56	TCGA-AA-3543-01A-01D-0824-01	4	42889865	46606722	2163	-0.0466
57	TCGA-AA-3543-01A-01D-0824-01	4	46608485	58499246	5503	0.0127
58	TCGA-AA-3543-01A-01D-0824-01	4	58499573	67593806	5570	-0.071
59	TCGA-AA-3543-01A-01D-0824-01	4	67595024	91497789	14876	0.0046
60	TCGA-AA-3543-01A-01D-0824-01	4	91497793	92033517	372	-0.2251
61	TCGA-AA-3543-01A-01D-0824-01	4	92034047	96076813	2228	-0.0173
62	TCGA-AA-3543-01A-01D-0824-01	4	96076855	98464520	1597	-0.0644
63	TCGA-AA-3543-01A-01D-0824-01	4	98465062	110955011	7339	0.0075
64	TCGA-AA-3543-01A-01D-0824-01	4	110955493	111135203	154	-0.7889
65	TCGA-AA-3543-01A-01D-0824-01	4	111136159	130974862	12091	-0.0116
66	TCGA-AA-3543-01A-01D-0824-01	4	130975098	137894726	3775	-0.0755
67	TCGA-AA-3543-01A-01D-0824-01	4	137897906	151786610	8596	-0.0068
68	TCGA-AA-3543-01A-01D-0824-01	4	151795520	151890651	91	-0.5172
69	TCGA-AA-3543-01A-01D-0824-01	4	151890981	181525131	19135	-0.0243
70	TCGA-AA-3543-01A-01D-0824-01	4	181525582	181806841	209	-0.2534
71	TCGA-AA-3543-01A-01D-0824-01	4	181808235	190451589	6293	-0.0248
72	TCGA-AA-3543-01A-01D-0824-01	5	304462	1739325	731	-0.0217
73	TCGA-AA-3543-01A-01D-0824-01	5	1739647	4268276	2336	-0.1165
74	TCGA-AA-3543-01A-01D-0824-01	5	4276946	13769974	7699	-0.0479
75	TCGA-AA-3543-01A-01D-0824-01	5	13770000	18306239	3125	0.015
76	TCGA-AA-3543-01A-01D-0824-01	5	18306281	31428125	8048	-0.0679
77	TCGA-AA-3543-01A-01D-0824-01	5	31429424	172734145	87191	-0.0119
78	TCGA-AA-3543-01A-01D-0824-01	5	172737014	180694888	4911	-0.0498
