 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A01L-01A-01D-A003-01	1	1737357	1957324	75	0.0513
1	TCGA-AG-A01L-01A-01D-A003-01	1	1957875	5708019	2245	-0.23
2	TCGA-AG-A01L-01A-01D-A003-01	1	6688858	6853853	113	0.0339
3	TCGA-AG-A01L-01A-01D-A003-01	1	6854446	7758065	621	-0.2203
4	TCGA-AG-A01L-01A-01D-A003-01	1	7758798	11151314	1818	-0.0578
5	TCGA-AG-A01L-01A-01D-A003-01	1	11157499	23192562	7338	-0.1496
6	TCGA-AG-A01L-01A-01D-A003-01	1	23193508	30119369	3275	-0.0751
7	TCGA-AG-A01L-01A-01D-A003-01	1	30119570	31024967	788	-0.2638
8	TCGA-AG-A01L-01A-01D-A003-01	1	31025391	33700650	1315	-0.0953
9	TCGA-AG-A01L-01A-01D-A003-01	1	33702965	35255586	1154	-0.2311
10	TCGA-AG-A01L-01A-01D-A003-01	1	35255680	37050527	820	-0.0798
11	TCGA-AG-A01L-01A-01D-A003-01	1	37054821	37770977	516	-0.2829
12	TCGA-AG-A01L-01A-01D-A003-01	1	37771295	48062278	5847	-0.1231
13	TCGA-AG-A01L-01A-01D-A003-01	1	48063502	50816390	1643	-0.2265
14	TCGA-AG-A01L-01A-01D-A003-01	1	50816576	55994904	3013	-0.1248
15	TCGA-AG-A01L-01A-01D-A003-01	1	55995298	59482948	2882	-0.2295
16	TCGA-AG-A01L-01A-01D-A003-01	1	59483091	63868850	3107	-0.1286
17	TCGA-AG-A01L-01A-01D-A003-01	1	63868986	69520596	4181	-0.1844
18	TCGA-AG-A01L-01A-01D-A003-01	1	69520898	72528878	1812	-0.2501
19	TCGA-AG-A01L-01A-01D-A003-01	1	72529866	72533927	6	-1.7293
20	TCGA-AG-A01L-01A-01D-A003-01	1	72534112	78085417	3664	-0.2595
21	TCGA-AG-A01L-01A-01D-A003-01	1	78085706	78380261	112	0.0549
22	TCGA-AG-A01L-01A-01D-A003-01	1	78387766	84207208	3858	-0.269
23	TCGA-AG-A01L-01A-01D-A003-01	1	84208598	95773106	7702	-0.171
24	TCGA-AG-A01L-01A-01D-A003-01	1	95773942	99760666	2438	-0.2461
25	TCGA-AG-A01L-01A-01D-A003-01	1	99760773	101757838	1275	-0.1577
26	TCGA-AG-A01L-01A-01D-A003-01	1	101757864	108222466	3980	-0.2658
27	TCGA-AG-A01L-01A-01D-A003-01	1	108222750	120354019	8174	-0.1706
29	TCGA-AG-A01L-01A-01D-A003-01	1	156496188	162827942	4424	-0.1636
30	TCGA-AG-A01L-01A-01D-A003-01	1	162828209	165542842	2301	-0.232
31	TCGA-AG-A01L-01A-01D-A003-01	1	165544701	174916163	6453	-0.1524
32	TCGA-AG-A01L-01A-01D-A003-01	1	174926955	178004328	2099	-0.2404
33	TCGA-AG-A01L-01A-01D-A003-01	1	178004884	186101539	5519	-0.1529
34	TCGA-AG-A01L-01A-01D-A003-01	1	186101697	199869396	9107	-0.2424
35	TCGA-AG-A01L-01A-01D-A003-01	1	199875828	205884274	4175	-0.122
36	TCGA-AG-A01L-01A-01D-A003-01	1	205884720	211013698	3580	-0.2173
37	TCGA-AG-A01L-01A-01D-A003-01	1	211014671	212761527	1056	-0.103
38	TCGA-AG-A01L-01A-01D-A003-01	1	212761779	214518638	1219	-0.2105
39	TCGA-AG-A01L-01A-01D-A003-01	1	214522149	215130073	491	-0.1333
40	TCGA-AG-A01L-01A-01D-A003-01	1	215130661	222395997	5228	-0.2375
41	TCGA-AG-A01L-01A-01D-A003-01	1	222396017	236700982	9607	-0.1488
