 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A01V-01A-23D-A080-01	1	1737357	249201800	144062	0.0057
1	TCGA-AA-A01V-01A-23D-A080-01	2	12784	242719805	151578	-0.0004
2	TCGA-AA-A01V-01A-23D-A080-01	3	242241	5564805	4786	-0.0144
3	TCGA-AA-A01V-01A-23D-A080-01	3	5566184	5599045	19	-0.7896
4	TCGA-AA-A01V-01A-23D-A080-01	3	5602037	59795925	35933	0.004
5	TCGA-AA-A01V-01A-23D-A080-01	3	59796541	60227883	556	-0.7517
6	TCGA-AA-A01V-01A-23D-A080-01	3	60235088	192236557	81504	0.0012
7	TCGA-AA-A01V-01A-23D-A080-01	3	192244004	192274078	17	-0.9918
8	TCGA-AA-A01V-01A-23D-A080-01	3	192277264	197764233	3109	0.0007
9	TCGA-AA-A01V-01A-23D-A080-01	4	193054	190451589	118420	-0.0021
10	TCGA-AA-A01V-01A-23D-A080-01	5	304462	75827734	47046	-0.0027
11	TCGA-AA-A01V-01A-23D-A080-01	5	75831037	75914003	82	-0.9472
12	TCGA-AA-A01V-01A-23D-A080-01	5	75915905	180694888	66913	0.0031
13	TCGA-AA-A01V-01A-23D-A080-01	6	421317	170903916	111036	-0.0015
14	TCGA-AA-A01V-01A-23D-A080-01	7	704573	137515613	85525	-0.0009
15	TCGA-AA-A01V-01A-23D-A080-01	7	137516179	137590864	53	-0.858
16	TCGA-AA-A01V-01A-23D-A080-01	7	137591312	158927795	13885	-0.0025
17	TCGA-AA-A01V-01A-23D-A080-01	8	562629	146288316	96572	-0.0033
18	TCGA-AA-A01V-01A-23D-A080-01	9	334524	140952916	80644	0.0046
19	TCGA-AA-A01V-01A-23D-A080-01	10	111148	65289834	43965	-0.0003
20	TCGA-AA-A01V-01A-23D-A080-01	10	65295625	65348252	28	-0.82
21	TCGA-AA-A01V-01A-23D-A080-01	10	65351534	135206873	48073	0.0052
22	TCGA-AA-A01V-01A-23D-A080-01	11	198510	1702103	547	0.0184
23	TCGA-AA-A01V-01A-23D-A080-01	11	2152220	2270241	44	0.4749
24	TCGA-AA-A01V-01A-23D-A080-01	11	2275441	134809090	87361	0.0036
25	TCGA-AA-A01V-01A-23D-A080-01	12	362522	133625276	85894	0.0024
26	TCGA-AA-A01V-01A-23D-A080-01	13	19418531	114945972	65030	-0.0039
27	TCGA-AA-A01V-01A-23D-A080-01	14	20516291	103979543	54686	0.0009
28	TCGA-AA-A01V-01A-23D-A080-01	15	23222284	101935302	51640	0.0053
29	TCGA-AA-A01V-01A-23D-A080-01	16	2315245	6505468	2957	-0.0147
30	TCGA-AA-A01V-01A-23D-A080-01	16	6508155	6873788	506	-0.8024
31	TCGA-AA-A01V-01A-23D-A080-01	16	6874659	90158838	49016	-0.0044
32	TCGA-AA-A01V-01A-23D-A080-01	17	193188	81027417	45867	0.002
33	TCGA-AA-A01V-01A-23D-A080-01	18	234058	77859855	51258	-0.0021
34	TCGA-AA-A01V-01A-23D-A080-01	19	3123738	58866674	28911	-0.0116
35	TCGA-AA-A01V-01A-23D-A080-01	20	69283	62912463	42978	0.0036
36	TCGA-AA-A01V-01A-23D-A080-01	21	15425304	47970581	24065	-0.0012
37	TCGA-AA-A01V-01A-23D-A080-01	22	17305614	47060625	20395	0.0037
