 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-CK-4951-01A-01D-1406-01	1	1737357	13793392	6441	0.0107
1	TCGA-CK-4951-01A-01D-1406-01	1	13794825	13862647	55	-0.6785
2	TCGA-CK-4951-01A-01D-1406-01	1	13862750	16539577	1931	0.01
3	TCGA-CK-4951-01A-01D-1406-01	1	16539813	16806925	125	-0.5442
4	TCGA-CK-4951-01A-01D-1406-01	1	17366399	249201800	135278	0.007
5	TCGA-CK-4951-01A-01D-1406-01	2	12784	23738646	17690	-0.0001
6	TCGA-CK-4951-01A-01D-1406-01	2	23741410	23829804	82	-0.5907
7	TCGA-CK-4951-01A-01D-1406-01	2	23832208	186433043	98745	-0.0018
8	TCGA-CK-4951-01A-01D-1406-01	2	186433783	186945624	266	-0.4977
9	TCGA-CK-4951-01A-01D-1406-01	2	186947475	236568023	31014	0.0021
10	TCGA-CK-4951-01A-01D-1406-01	2	236571505	236761652	115	-0.5868
11	TCGA-CK-4951-01A-01D-1406-01	2	236765716	236824699	48	0.0209
12	TCGA-CK-4951-01A-01D-1406-01	2	236825067	236841041	14	-0.5886
13	TCGA-CK-4951-01A-01D-1406-01	2	236844080	242719805	3604	0.0109
14	TCGA-CK-4951-01A-01D-1406-01	3	242241	1816699	1436	-0.0445
15	TCGA-CK-4951-01A-01D-1406-01	3	1820234	1982655	171	-0.9393
16	TCGA-CK-4951-01A-01D-1406-01	3	1988020	60359241	39804	0.0045
17	TCGA-CK-4951-01A-01D-1406-01	3	60359318	60388322	35	-0.5284
18	TCGA-CK-4951-01A-01D-1406-01	3	60391557	113215832	31689	-0.003
19	TCGA-CK-4951-01A-01D-1406-01	3	113218206	141530810	17585	0.0194
20	TCGA-CK-4951-01A-01D-1406-01	3	141531879	157959530	10259	-0.0023
21	TCGA-CK-4951-01A-01D-1406-01	3	157960300	158123617	89	-0.5822
22	TCGA-CK-4951-01A-01D-1406-01	3	158123904	197764233	24856	0.0011
23	TCGA-CK-4951-01A-01D-1406-01	4	193054	95883651	59025	0.0023
24	TCGA-CK-4951-01A-01D-1406-01	4	95890890	96447992	489	-0.5701
25	TCGA-CK-4951-01A-01D-1406-01	4	96456550	97103656	450	-0.002
26	TCGA-CK-4951-01A-01D-1406-01	4	97104126	98968228	971	-0.5347
27	TCGA-CK-4951-01A-01D-1406-01	4	98970481	111403840	7461	0.0048
28	TCGA-CK-4951-01A-01D-1406-01	4	111404497	113256962	1134	-0.5509
29	TCGA-CK-4951-01A-01D-1406-01	4	113261668	141233332	16928	-0.0017
30	TCGA-CK-4951-01A-01D-1406-01	4	141237092	142044576	563	-0.5676
31	TCGA-CK-4951-01A-01D-1406-01	4	142045162	190451589	31399	-0.0022
32	TCGA-CK-4951-01A-01D-1406-01	5	304462	36912521	25731	-0.0094
33	TCGA-CK-4951-01A-01D-1406-01	5	36914078	37073170	71	-0.6213
34	TCGA-CK-4951-01A-01D-1406-01	5	37075878	180694888	88239	0.0029
35	TCGA-CK-4951-01A-01D-1406-01	6	421317	170903916	111036	-0.0005
36	TCGA-CK-4951-01A-01D-1406-01	7	704573	142005088	88372	0.0033
38	TCGA-CK-4951-01A-01D-1406-01	7	142503071	158927795	10569	0.0121
39	TCGA-CK-4951-01A-01D-1406-01	8	562629	146288316	96572	-0.0036
40	TCGA-CK-4951-01A-01D-1406-01	9	334524	140952916	80644	0.0029
41	TCGA-CK-4951-01A-01D-1406-01	10	111148	6496436	5604	0.0067
