 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A02J-01A-01D-A008-01	1	1737357	2914712	341	-0.0145
1	TCGA-AA-A02J-01A-01D-A008-01	1	2919942	5530815	1796	-0.1348
2	TCGA-AA-A02J-01A-01D-A008-01	1	5531039	15435257	5647	-0.0458
3	TCGA-AA-A02J-01A-01D-A008-01	1	15438990	29507647	7953	-0.7761
4	TCGA-AA-A02J-01A-01D-A008-01	1	29512327	31080835	1119	-0.1197
5	TCGA-AA-A02J-01A-01D-A008-01	1	31080962	58764178	16571	-0.0365
6	TCGA-AA-A02J-01A-01D-A008-01	1	58764638	66170394	5419	0.0057
7	TCGA-AA-A02J-01A-01D-A008-01	1	66170527	66773026	496	-0.0494
8	TCGA-AA-A02J-01A-01D-A008-01	1	66773046	66774364	5	-0.935
9	TCGA-AA-A02J-01A-01D-A008-01	1	66776954	71038608	2821	-0.0216
10	TCGA-AA-A02J-01A-01D-A008-01	1	71038867	83980082	8383	-0.0667
11	TCGA-AA-A02J-01A-01D-A008-01	1	83982104	96003264	8062	-0.0025
12	TCGA-AA-A02J-01A-01D-A008-01	1	96013073	99971142	2410	-0.0656
13	TCGA-AA-A02J-01A-01D-A008-01	1	99971430	101417114	905	0.0085
14	TCGA-AA-A02J-01A-01D-A008-01	1	101417971	107800807	3828	-0.0736
15	TCGA-AA-A02J-01A-01D-A008-01	1	107801327	152324637	11551	-0.0012
16	TCGA-AA-A02J-01A-01D-A008-01	1	152325877	247806068	66020	-0.0368
17	TCGA-AA-A02J-01A-01D-A008-01	1	247806930	249201800	735	-0.1116
18	TCGA-AA-A02J-01A-01D-A008-01	2	12784	7940593	6209	-0.1372
19	TCGA-AA-A02J-01A-01D-A008-01	2	7941832	36438302	19475	-0.0633
20	TCGA-AA-A02J-01A-01D-A008-01	2	36440254	39685940	2357	-0.0048
21	TCGA-AA-A02J-01A-01D-A008-01	2	39686155	41623121	1568	-0.0741
22	TCGA-AA-A02J-01A-01D-A008-01	2	41628623	48196989	4824	-0.0095
23	TCGA-AA-A02J-01A-01D-A008-01	2	48197968	48206526	5	-0.9028
24	TCGA-AA-A02J-01A-01D-A008-01	2	48211188	48554191	176	0.0065
25	TCGA-AA-A02J-01A-01D-A008-01	2	48556482	53090704	3309	-0.0997
26	TCGA-AA-A02J-01A-01D-A008-01	2	53091408	116023110	34698	-0.0537
27	TCGA-AA-A02J-01A-01D-A008-01	2	116025245	127973321	7745	-0.0896
28	TCGA-AA-A02J-01A-01D-A008-01	2	127981662	128979158	501	0.0407
29	TCGA-AA-A02J-01A-01D-A008-01	2	128986759	138249151	5704	-0.0796
30	TCGA-AA-A02J-01A-01D-A008-01	2	138255659	139819971	950	0.007
31	TCGA-AA-A02J-01A-01D-A008-01	2	139820383	149888267	5924	-0.1009
32	TCGA-AA-A02J-01A-01D-A008-01	2	149888841	153393766	2509	-0.0267
33	TCGA-AA-A02J-01A-01D-A008-01	2	153393947	156735048	2015	-0.0891
