 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AF-2692-01A-01D-0819-01	1	1737357	2027901	90	-0.2426
1	TCGA-AF-2692-01A-01D-0819-01	1	2028737	5573811	2090	-0.4439
2	TCGA-AF-2692-01A-01D-0819-01	1	5579917	29703085	13669	-0.3297
3	TCGA-AF-2692-01A-01D-0819-01	1	29706023	31098423	1027	-0.4453
4	TCGA-AF-2692-01A-01D-0819-01	1	31100668	34001438	1406	-0.2832
5	TCGA-AF-2692-01A-01D-0819-01	1	34001461	35015963	830	-0.4384
6	TCGA-AF-2692-01A-01D-0819-01	1	35017985	36873318	868	-0.3543
7	TCGA-AF-2692-01A-01D-0819-01	1	36874242	37774292	634	-0.4488
8	TCGA-AF-2692-01A-01D-0819-01	1	37776298	55836170	10346	-0.3175
9	TCGA-AF-2692-01A-01D-0819-01	1	55837470	58802194	2497	-0.3847
10	TCGA-AF-2692-01A-01D-0819-01	1	58802487	71858457	9225	-0.305
11	TCGA-AF-2692-01A-01D-0819-01	1	71861108	75157324	2036	-0.3906
12	TCGA-AF-2692-01A-01D-0819-01	1	75159239	79197767	2628	-0.2982
13	TCGA-AF-2692-01A-01D-0819-01	1	79198506	84116976	3317	-0.3627
14	TCGA-AF-2692-01A-01D-0819-01	1	84119882	102990202	12401	-0.2963
15	TCGA-AF-2692-01A-01D-0819-01	1	102990968	106934339	2106	-0.3919
16	TCGA-AF-2692-01A-01D-0819-01	1	106934665	119836835	8657	-0.3003
17	TCGA-AF-2692-01A-01D-0819-01	1	119840645	187134938	27307	0.4795
18	TCGA-AF-2692-01A-01D-0819-01	1	187138863	191461176	2881	0.3831
19	TCGA-AF-2692-01A-01D-0819-01	1	191464429	194054409	1854	0.4976
20	TCGA-AF-2692-01A-01D-0819-01	1	194055013	196128035	1362	0.4195
21	TCGA-AF-2692-01A-01D-0819-01	1	196128526	208515438	8071	0.4917
22	TCGA-AF-2692-01A-01D-0819-01	1	208516560	209684122	933	0.4286
23	TCGA-AF-2692-01A-01D-0819-01	1	209684948	215853900	4301	0.5027
24	TCGA-AF-2692-01A-01D-0819-01	1	215855883	220019319	3144	0.4223
25	TCGA-AF-2692-01A-01D-0819-01	1	220025399	227129720	4533	0.5015
26	TCGA-AF-2692-01A-01D-0819-01	1	227133371	234478405	5328	0.4375
27	TCGA-AF-2692-01A-01D-0819-01	1	234479675	236509341	1262	0.5451
28	TCGA-AF-2692-01A-01D-0819-01	1	236510995	249201800	9258	0.4606
29	TCGA-AF-2692-01A-01D-0819-01	2	12784	7920525	6200	0.0751
30	TCGA-AF-2692-01A-01D-0819-01	2	7923727	8216735	257	0.1323
31	TCGA-AF-2692-01A-01D-0819-01	2	8219204	12055060	2703	0.2108
32	TCGA-AF-2692-01A-01D-0819-01	2	12063077	49265249	25944	0.1449
33	TCGA-AF-2692-01A-01D-0819-01	2	49265832	53033546	2770	0.0801
34	TCGA-AF-2692-01A-01D-0819-01	2	53038466	56491699	2534	0.1649
35	TCGA-AF-2692-01A-01D-0819-01	2	56491779	60115069	2461	0.0871
36	TCGA-AF-2692-01A-01D-0819-01	2	60115816	66439235	3756	0.1599
37	TCGA-AF-2692-01A-01D-0819-01	2	66439666	69378656	2145	0.0533
38	TCGA-AF-2692-01A-01D-0819-01	2	69380274	70891779	968	0.181
39	TCGA-AF-2692-01A-01D-0819-01	2	70892087	73090692	1275	0.0763
40	TCGA-AF-2692-01A-01D-0819-01	2	73091156	76007097	1795	0.1867
41	TCGA-AF-2692-01A-01D-0819-01	2	76008480	83929118	5217	0.0912
42	TCGA-AF-2692-01A-01D-0819-01	2	83929193	86672427	1668	0.2007
43	TCGA-AF-2692-01A-01D-0819-01	2	86674971	120665537	15940	0.1316
44	TCGA-AF-2692-01A-01D-0819-01	2	120666237	123544297	1792	0.1747
45	TCGA-AF-2692-01A-01D-0819-01	2	123544364	126455853	1919	0.0751
46	TCGA-AF-2692-01A-01D-0819-01	2	126456344	138453808	7351	0.141
47	TCGA-AF-2692-01A-01D-0819-01	2	138453860	138459444	10	-0.6417
48	TCGA-AF-2692-01A-01D-0819-01	2	138461173	140666795	1361	0.1342
49	TCGA-AF-2692-01A-01D-0819-01	2	140666955	147342819	4153	0.0751
50	TCGA-AF-2692-01A-01D-0819-01	2	147344514	150040224	1355	0.1494
51	TCGA-AF-2692-01A-01D-0819-01	2	150040282	150049790	6	-1.038
52	TCGA-AF-2692-01A-01D-0819-01	2	150050074	156945308	4515	0.1279
53	TCGA-AF-2692-01A-01D-0819-01	2	156945794	190194419	20440	0.142
54	TCGA-AF-2692-01A-01D-0819-01	2	190195695	192558764	1498	0.2275
55	TCGA-AF-2692-01A-01D-0819-01	2	192560825	211149926	10981	0.1466
56	TCGA-AF-2692-01A-01D-0819-01	2	211150002	215595645	2969	0.0993
57	TCGA-AF-2692-01A-01D-0819-01	2	215596137	221119410	3558	0.1729
58	TCGA-AF-2692-01A-01D-0819-01	2	221122623	222815031	1196	0.0746
59	TCGA-AF-2692-01A-01D-0819-01	2	222820596	235945879	8583	0.1533
60	TCGA-AF-2692-01A-01D-0819-01	2	235946746	242719805	4258	0.0688
