 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A01X-01A-21D-A080-01	1	1737357	121343796	74542	-0.329
1	TCGA-AA-A01X-01A-21D-A080-01	1	145390170	249201800	69197	0.8002
2	TCGA-AA-A01X-01A-21D-A080-01	2	12784	67611823	47424	0.2892
3	TCGA-AA-A01X-01A-21D-A080-01	2	67613884	67620055	5	-1.1458
4	TCGA-AA-A01X-01A-21D-A080-01	2	67621427	242719805	104149	0.2917
5	TCGA-AA-A01X-01A-21D-A080-01	3	242241	197764233	125924	0.0558
6	TCGA-AA-A01X-01A-21D-A080-01	4	193054	190451589	118420	-0.3326
7	TCGA-AA-A01X-01A-21D-A080-01	5	304462	159960058	100127	0.0566
8	TCGA-AA-A01X-01A-21D-A080-01	5	159963672	159968630	7	-1.2449
9	TCGA-AA-A01X-01A-21D-A080-01	5	159969382	180694888	13907	0.055
10	TCGA-AA-A01X-01A-21D-A080-01	6	421317	170903916	111036	-0.3372
11	TCGA-AA-A01X-01A-21D-A080-01	7	704573	158927795	99463	0.3676
12	TCGA-AA-A01X-01A-21D-A080-01	8	562629	146288316	96572	0.0568
13	TCGA-AA-A01X-01A-21D-A080-01	9	334524	28593615	24529	0.0444
14	TCGA-AA-A01X-01A-21D-A080-01	9	28593790	28738615	107	-0.4335
15	TCGA-AA-A01X-01A-21D-A080-01	9	28769188	33724811	3553	0.0401
16	TCGA-AA-A01X-01A-21D-A080-01	9	33728497	33735044	5	-1.5194
17	TCGA-AA-A01X-01A-21D-A080-01	9	33741592	140952916	52423	0.0449
18	TCGA-AA-A01X-01A-21D-A080-01	10	111148	84534939	56895	-0.326
19	TCGA-AA-A01X-01A-21D-A080-01	10	84535130	84564127	17	-1.0801
20	TCGA-AA-A01X-01A-21D-A080-01	10	84566402	135206873	35154	-0.3316
21	TCGA-AA-A01X-01A-21D-A080-01	11	198510	134809090	88117	0.0615
22	TCGA-AA-A01X-01A-21D-A080-01	12	362522	133625276	85894	0.0569
23	TCGA-AA-A01X-01A-21D-A080-01	13	19418531	114945972	65030	0.0554
24	TCGA-AA-A01X-01A-21D-A080-01	14	20516291	103979543	54686	-0.3308
25	TCGA-AA-A01X-01A-21D-A080-01	15	23222284	101935302	51640	-0.3311
26	TCGA-AA-A01X-01A-21D-A080-01	16	2315245	90158838	52479	0.0617
27	TCGA-AA-A01X-01A-21D-A080-01	17	193188	81027417	45867	0.0577
28	TCGA-AA-A01X-01A-21D-A080-01	18	234058	77859855	51258	-0.3349
29	TCGA-AA-A01X-01A-21D-A080-01	19	3123738	58866674	28911	-0.3104
30	TCGA-AA-A01X-01A-21D-A080-01	20	69283	62912463	42978	0.3611
31	TCGA-AA-A01X-01A-21D-A080-01	21	15425304	47970581	24065	0.0586
32	TCGA-AA-A01X-01A-21D-A080-01	22	17305614	47060625	20395	-0.3233
