 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A00D-01A-01D-A003-01	1	1737357	5599894	2198	-0.1287
1	TCGA-AA-A00D-01A-01D-A003-01	1	5601059	7684275	1348	-0.0638
2	TCGA-AA-A00D-01A-01D-A003-01	1	7684399	11336874	1950	0.0516
3	TCGA-AA-A00D-01A-01D-A003-01	1	11337636	23002095	7092	-0.0245
4	TCGA-AA-A00D-01A-01D-A003-01	1	23002459	23229640	184	-0.158
5	TCGA-AA-A00D-01A-01D-A003-01	1	23230100	29575605	2998	0.066
6	TCGA-AA-A00D-01A-01D-A003-01	1	29579157	31408109	1318	-0.1196
7	TCGA-AA-A00D-01A-01D-A003-01	1	31411078	33645971	1005	0.0432
8	TCGA-AA-A00D-01A-01D-A003-01	1	33654003	35525020	1303	-0.0668
9	TCGA-AA-A00D-01A-01D-A003-01	1	35525345	36443349	396	0.0763
10	TCGA-AA-A00D-01A-01D-A003-01	1	36443569	36529133	31	0.372
11	TCGA-AA-A00D-01A-01D-A003-01	1	36530365	39229313	1664	-0.0547
12	TCGA-AA-A00D-01A-01D-A003-01	1	39229639	41650930	1274	0.0372
13	TCGA-AA-A00D-01A-01D-A003-01	1	41654339	42132479	321	-0.0939
14	TCGA-AA-A00D-01A-01D-A003-01	1	42133927	42176088	29	-0.4895
15	TCGA-AA-A00D-01A-01D-A003-01	1	42177674	44888990	1654	-0.0384
16	TCGA-AA-A00D-01A-01D-A003-01	1	44889165	47919008	1567	0.0326
17	TCGA-AA-A00D-01A-01D-A003-01	1	47919765	51319883	1991	-0.0813
18	TCGA-AA-A00D-01A-01D-A003-01	1	51323829	53723190	1165	0.0741
19	TCGA-AA-A00D-01A-01D-A003-01	1	53723349	71299622	12860	-0.0396
20	TCGA-AA-A00D-01A-01D-A003-01	1	71315832	77562861	4045	-0.1183
21	TCGA-AA-A00D-01A-01D-A003-01	1	77563042	78914488	767	0.009
22	TCGA-AA-A00D-01A-01D-A003-01	1	78917816	84252344	3604	-0.1114
23	TCGA-AA-A00D-01A-01D-A003-01	1	84252434	95800622	7695	-0.0334
24	TCGA-AA-A00D-01A-01D-A003-01	1	95804067	100267478	2760	-0.0893
25	TCGA-AA-A00D-01A-01D-A003-01	1	100267854	100603313	203	0.1032
26	TCGA-AA-A00D-01A-01D-A003-01	1	100603706	108021758	4512	-0.0808
28	TCGA-AA-A00D-01A-01D-A003-01	1	150280590	151322090	461	0.1209
29	TCGA-AA-A00D-01A-01D-A003-01	1	151322108	174953539	16169	-0.0287
30	TCGA-AA-A00D-01A-01D-A003-01	1	174953569	177842947	1960	-0.1009
31	TCGA-AA-A00D-01A-01D-A003-01	1	177843620	186998685	6202	-0.0092
32	TCGA-AA-A00D-01A-01D-A003-01	1	186998843	191944865	3267	-0.1139
33	TCGA-AA-A00D-01A-01D-A003-01	1	191947774	199761166	5196	-0.0621
34	TCGA-AA-A00D-01A-01D-A003-01	1	199761928	208129415	5439	-0.0149
35	TCGA-AA-A00D-01A-01D-A003-01	1	208129688	211317932	2585	-0.0839
36	TCGA-AA-A00D-01A-01D-A003-01	1	211318296	213106178	1131	0.0244
37	TCGA-AA-A00D-01A-01D-A003-01	1	213107683	221986172	6372	-0.0615
38	TCGA-AA-A00D-01A-01D-A003-01	1	221986488	222072819	97	-0.6362
39	TCGA-AA-A00D-01A-01D-A003-01	1	222072849	235125866	8953	-0.0348
40	TCGA-AA-A00D-01A-01D-A003-01	1	235127802	236924474	1102	0.0483
41	TCGA-AA-A00D-01A-01D-A003-01	1	236924904	249201800	8885	-0.0439
42	TCGA-AA-A00D-01A-01D-A003-01	2	12784	7237504	5642	-0.1406
43	TCGA-AA-A00D-01A-01D-A003-01	2	7237774	12241022	3692	-0.05
44	TCGA-AA-A00D-01A-01D-A003-01	2	12242734	23941348	8500	-0.0998
45	TCGA-AA-A00D-01A-01D-A003-01	2	23944839	29474502	2891	-0.0012
46	TCGA-AA-A00D-01A-01D-A003-01	2	29474991	37034632	5552	-0.0745
47	TCGA-AA-A00D-01A-01D-A003-01	2	37034702	49175082	8744	-0.0208
