	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-CA-5256-01A-01D-1405-02	1	10001	72804412	0	-0.2275
1	TCGA-CA-5256-01A-01D-1405-02	1	72804413	83071412	0	-0.2715
2	TCGA-CA-5256-01A-01D-1405-02	1	83071413	119515477	0	-0.2402
4	TCGA-CA-5256-01A-01D-1405-02	1	142954478	249233096	0	-0.2402
5	TCGA-CA-5256-01A-01D-1405-02	2	10001	92281273	0	0.0857
6	TCGA-CA-5256-01A-01D-1405-02	2	92281274	92302273	0	0.5591
7	TCGA-CA-5256-01A-01D-1405-02	2	92302274	92306273	0	-0.2515
8	TCGA-CA-5256-01A-01D-1405-02	2	92306274	92315273	0	0.4798
9	TCGA-CA-5256-01A-01D-1405-02	2	92315274	92319273	0	-0.1547
10	TCGA-CA-5256-01A-01D-1405-02	2	92319274	92323273	0	0.4653
11	TCGA-CA-5256-01A-01D-1405-02	2	92323274	133011530	0	0.0901
12	TCGA-CA-5256-01A-01D-1405-02	2	133011531	133036530	0	-0.3357
13	TCGA-CA-5256-01A-01D-1405-02	2	133036531	133146530	0	0.3616
14	TCGA-CA-5256-01A-01D-1405-02	2	133146531	243102327	0	0.0882
15	TCGA-CA-5256-01A-01D-1405-02	3	60001	197961603	0	0.0076
16	TCGA-CA-5256-01A-01D-1405-02	4	10001	13424902	0	-0.218
17	TCGA-CA-5256-01A-01D-1405-02	4	13424903	46811243	0	-0.2652
18	TCGA-CA-5256-01A-01D-1405-02	4	46811244	49124243	0	-0.2101
19	TCGA-CA-5256-01A-01D-1405-02	4	49124244	49655243	0	-0.0533
20	TCGA-CA-5256-01A-01D-1405-02	4	49655244	191029082	0	-0.253
21	TCGA-CA-5256-01A-01D-1405-02	5	10001	110446101	0	0.051
22	TCGA-CA-5256-01A-01D-1405-02	5	110446102	114237101	0	-0.7122
23	TCGA-CA-5256-01A-01D-1405-02	5	114237102	180905260	0	0.0698
24	TCGA-CA-5256-01A-01D-1405-02	6	66001	58745041	0	-0.179
26	TCGA-CA-5256-01A-01D-1405-02	6	61959042	171054075	0	-0.1965
