 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AY-4071-01A-01D-1427-01	1	1737357	50274787	27824	-0.0505
1	TCGA-AY-4071-01A-01D-1427-01	1	50278296	50457468	67	-0.4066
2	TCGA-AY-4071-01A-01D-1427-01	1	50477950	249201800	116171	-0.0327
3	TCGA-AY-4071-01A-01D-1427-01	2	12784	132250966	82688	-0.0289
4	TCGA-AY-4071-01A-01D-1427-01	2	133051972	133117260	28	0.623
5	TCGA-AY-4071-01A-01D-1427-01	2	133121946	242719805	68583	-0.0258
6	TCGA-AY-4071-01A-01D-1427-01	3	242241	97566573	63535	0.1728
7	TCGA-AY-4071-01A-01D-1427-01	3	97576135	97787849	139	-0.087
8	TCGA-AY-4071-01A-01D-1427-01	3	97791024	116085820	11159	0.1888
9	TCGA-AY-4071-01A-01D-1427-01	3	116096210	116540479	426	-0.905
10	TCGA-AY-4071-01A-01D-1427-01	3	116542296	197764233	50661	0.1841
11	TCGA-AY-4071-01A-01D-1427-01	4	193054	10529224	6107	-0.4193
12	TCGA-AY-4071-01A-01D-1427-01	4	10542160	178118531	103303	-0.3754
13	TCGA-AY-4071-01A-01D-1427-01	4	178119150	180045582	1358	-0.4031
14	TCGA-AY-4071-01A-01D-1427-01	4	180045846	180049353	10	-1.2571
15	TCGA-AY-4071-01A-01D-1427-01	4	180053234	190451589	7642	-0.3971
16	TCGA-AY-4071-01A-01D-1427-01	5	304462	128292292	79881	-0.0371
17	TCGA-AY-4071-01A-01D-1427-01	5	128294981	128303406	8	-1.3734
18	TCGA-AY-4071-01A-01D-1427-01	5	128307625	180694888	34152	-0.0405
19	TCGA-AY-4071-01A-01D-1427-01	6	421317	49545213	33971	0.0628
20	TCGA-AY-4071-01A-01D-1427-01	6	49545359	49924407	226	-0.2014
21	TCGA-AY-4071-01A-01D-1427-01	6	49928116	162598981	70771	0.0779
22	TCGA-AY-4071-01A-01D-1427-01	6	162599646	162651797	48	-0.2647
23	TCGA-AY-4071-01A-01D-1427-01	6	162659048	162754606	84	0.0646
24	TCGA-AY-4071-01A-01D-1427-01	6	162757005	162994752	191	-0.2371
25	TCGA-AY-4071-01A-01D-1427-01	6	162994890	170903916	5745	0.0554
26	TCGA-AY-4071-01A-01D-1427-01	7	704573	708864	4	0.0085
27	TCGA-AY-4071-01A-01D-1427-01	7	712096	57577292	40831	0.4772
28	TCGA-AY-4071-01A-01D-1427-01	7	62641533	64112628	579	0.2234
29	TCGA-AY-4071-01A-01D-1427-01	7	64113101	65319337	501	0.4365
30	TCGA-AY-4071-01A-01D-1427-01	7	65326716	65521184	77	0.2654
31	TCGA-AY-4071-01A-01D-1427-01	7	65522783	66352209	298	0.6676
32	TCGA-AY-4071-01A-01D-1427-01	7	66353629	77311276	5391	0.4588
33	TCGA-AY-4071-01A-01D-1427-01	7	77312474	97752132	13372	0.6809
34	TCGA-AY-4071-01A-01D-1427-01	7	97752917	97951772	95	0.4973
35	TCGA-AY-4071-01A-01D-1427-01	7	97953762	158927795	37881	0.2463
36	TCGA-AY-4071-01A-01D-1427-01	8	562629	19539732	17882	-0.0425
37	TCGA-AY-4071-01A-01D-1427-01	8	19543788	19574953	23	-0.585
38	TCGA-AY-4071-01A-01D-1427-01	8	19574969	146288316	78667	-0.026
39	TCGA-AY-4071-01A-01D-1427-01	9	334524	71050695	32154	-0.0315
40	TCGA-AY-4071-01A-01D-1427-01	9	71052456	113630130	30817	-0.3867
41	TCGA-AY-4071-01A-01D-1427-01	9	113630692	113812986	168	-0.8687
42	TCGA-AY-4071-01A-01D-1427-01	9	113815164	140952916	17505	-0.3995
43	TCGA-AY-4071-01A-01D-1427-01	10	111148	96853825	65125	-0.037
44	TCGA-AY-4071-01A-01D-1427-01	10	97078980	97367724	249	-0.9158
45	TCGA-AY-4071-01A-01D-1427-01	10	97369512	124248520	18621	-0.0364
46	TCGA-AY-4071-01A-01D-1427-01	10	124250384	135206873	7912	-0.0734
47	TCGA-AY-4071-01A-01D-1427-01	11	198510	47995299	33523	0.0924
48	TCGA-AY-4071-01A-01D-1427-01	11	47995566	81274488	16248	-0.2308
49	TCGA-AY-4071-01A-01D-1427-01	11	81275458	113038430	21998	-0.215
50	TCGA-AY-4071-01A-01D-1427-01	11	113039164	134809090	16348	-0.2371
51	TCGA-AY-4071-01A-01D-1427-01	12	362522	5788775	4111	-0.0595
52	TCGA-AY-4071-01A-01D-1427-01	12	5792805	107300714	63906	-0.0323
53	TCGA-AY-4071-01A-01D-1427-01	12	107300921	133625276	17877	-0.0617
54	TCGA-AY-4071-01A-01D-1427-01	13	19418531	86369403	45026	0.552
55	TCGA-AY-4071-01A-01D-1427-01	13	86369549	90895083	2571	0.7282
56	TCGA-AY-4071-01A-01D-1427-01	13	90895421	114945972	17433	0.5557
57	TCGA-AY-4071-01A-01D-1427-01	14	20516291	103979543	54686	-0.3945
58	TCGA-AY-4071-01A-01D-1427-01	15	23222284	44073467	13107	-0.5447
59	TCGA-AY-4071-01A-01D-1427-01	15	44074416	55590605	7374	0.1585
60	TCGA-AY-4071-01A-01D-1427-01	15	55596703	56287783	362	0.0234
61	TCGA-AY-4071-01A-01D-1427-01	15	56290020	56291968	5	-0.596
62	TCGA-AY-4071-01A-01D-1427-01	15	56293701	56960277	397	0.0591
63	TCGA-AY-4071-01A-01D-1427-01	15	56960626	101935302	30395	-0.4062
64	TCGA-AY-4071-01A-01D-1427-01	16	2315245	5572640	1813	0.1857
65	TCGA-AY-4071-01A-01D-1427-01	16	5574357	5580646	5	-0.5134
66	TCGA-AY-4071-01A-01D-1427-01	16	5581698	6266525	840	0.175
67	TCGA-AY-4071-01A-01D-1427-01	16	6267057	7025028	967	0.0667
68	TCGA-AY-4071-01A-01D-1427-01	16	7026212	79792370	39818	0.1896
69	TCGA-AY-4071-01A-01D-1427-01	16	79792809	90158838	9036	-0.1125
70	TCGA-AY-4071-01A-01D-1427-01	17	193188	18668909	11617	-0.196
71	TCGA-AY-4071-01A-01D-1427-01	17	18676590	80943416	34205	-0.0517
72	TCGA-AY-4071-01A-01D-1427-01	17	80943486	81027417	45	-0.2695
73	TCGA-AY-4071-01A-01D-1427-01	18	234058	31190814	18464	-0.3956
74	TCGA-AY-4071-01A-01D-1427-01	18	31192554	76726929	32214	-0.0344
75	TCGA-AY-4071-01A-01D-1427-01	18	76730771	76735252	5	-1.3844
76	TCGA-AY-4071-01A-01D-1427-01	18	76736062	77859855	575	-0.0593
77	TCGA-AY-4071-01A-01D-1427-01	19	3123738	58866674	28911	-0.0438
78	TCGA-AY-4071-01A-01D-1427-01	20	69283	3793613	2818	0.2186
79	TCGA-AY-4071-01A-01D-1427-01	20	3796516	9421783	4441	0.633
80	TCGA-AY-4071-01A-01D-1427-01	20	9423753	16046525	5238	0.2291
81	TCGA-AY-4071-01A-01D-1427-01	20	16046771	19127416	2640	0.6433
82	TCGA-AY-4071-01A-01D-1427-01	20	19135172	21672691	1937	-0.3969
83	TCGA-AY-4071-01A-01D-1427-01	20	21675273	22765816	818	0.6211
84	TCGA-AY-4071-01A-01D-1427-01	20	22766828	53881828	18593	1.0247
85	TCGA-AY-4071-01A-01D-1427-01	20	53882594	56265780	1949	1.1431
86	TCGA-AY-4071-01A-01D-1427-01	20	56269937	62912463	4544	1.0137
87	TCGA-AY-4071-01A-01D-1427-01	21	15425304	22076519	4799	-0.3897
88	TCGA-AY-4071-01A-01D-1427-01	21	22077644	47970581	19266	0.2078
89	TCGA-AY-4071-01A-01D-1427-01	22	17305614	18556496	902	-0.0408
90	TCGA-AY-4071-01A-01D-1427-01	22	18557119	21431054	1678	0.3313
91	TCGA-AY-4071-01A-01D-1427-01	22	21928641	47060625	17689	-0.0687
