 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A024-01A-02D-A008-01	1	1737357	249201800	144062	-0.0009
1	TCGA-AA-A024-01A-02D-A008-01	2	12784	242719805	151578	-0.0141
2	TCGA-AA-A024-01A-02D-A008-01	3	242241	197764233	125924	0.0026
3	TCGA-AA-A024-01A-02D-A008-01	4	193054	115382408	70995	0.0089
4	TCGA-AA-A024-01A-02D-A008-01	4	115384090	115467384	54	-0.9618
5	TCGA-AA-A024-01A-02D-A008-01	4	115468252	190451589	47371	0.0049
6	TCGA-AA-A024-01A-02D-A008-01	5	304462	180694888	114041	0.0001
7	TCGA-AA-A024-01A-02D-A008-01	6	421317	170903916	111036	0.0003
8	TCGA-AA-A024-01A-02D-A008-01	7	704573	158927795	99463	0.0055
9	TCGA-AA-A024-01A-02D-A008-01	8	562629	146288316	96572	0.0047
10	TCGA-AA-A024-01A-02D-A008-01	9	334524	140952916	80644	0.0018
11	TCGA-AA-A024-01A-02D-A008-01	10	111148	114756041	76969	0.0038
12	TCGA-AA-A024-01A-02D-A008-01	10	114756285	115380311	495	-0.6744
13	TCGA-AA-A024-01A-02D-A008-01	10	115438204	135206873	14546	-0.0112
14	TCGA-AA-A024-01A-02D-A008-01	11	198510	134809090	88117	-0.0013
15	TCGA-AA-A024-01A-02D-A008-01	12	362522	115514213	73284	0.0058
16	TCGA-AA-A024-01A-02D-A008-01	12	115516797	115532034	14	-0.7944
17	TCGA-AA-A024-01A-02D-A008-01	12	115535403	133625276	12596	-0.0144
18	TCGA-AA-A024-01A-02D-A008-01	13	19418531	114945972	65030	0.0041
19	TCGA-AA-A024-01A-02D-A008-01	14	20516291	103979543	54686	-0.0046
20	TCGA-AA-A024-01A-02D-A008-01	15	23222284	101935302	51640	-0.0005
21	TCGA-AA-A024-01A-02D-A008-01	16	2315245	23510194	14910	-0.0012
22	TCGA-AA-A024-01A-02D-A008-01	16	23512592	24443107	658	-0.703
23	TCGA-AA-A024-01A-02D-A008-01	16	24443423	90158838	36911	0.0034
24	TCGA-AA-A024-01A-02D-A008-01	17	193188	81027417	45867	0.0048
25	TCGA-AA-A024-01A-02D-A008-01	18	234058	77859855	51258	0.0003
26	TCGA-AA-A024-01A-02D-A008-01	19	3123738	58866674	28911	0.008
27	TCGA-AA-A024-01A-02D-A008-01	20	69283	62912463	42978	-0.0037
28	TCGA-AA-A024-01A-02D-A008-01	21	15425304	47970581	24065	0.0058
29	TCGA-AA-A024-01A-02D-A008-01	22	17305614	47060625	20395	0.0039
