	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A00Z-01A-01D-A077-02	1	10001	1559137	0	-0.0113
1	TCGA-AA-A00Z-01A-01D-A077-02	1	1559138	7746413	0	0.2441
2	TCGA-AA-A00Z-01A-01D-A077-02	1	7746414	10584413	0	0.4159
3	TCGA-AA-A00Z-01A-01D-A077-02	1	10584414	17305413	0	0.3418
4	TCGA-AA-A00Z-01A-01D-A077-02	1	17305414	29560413	0	-0.0279
5	TCGA-AA-A00Z-01A-01D-A077-02	1	29560414	31376413	0	-0.1485
6	TCGA-AA-A00Z-01A-01D-A077-02	1	31376414	41861413	0	-0.0353
7	TCGA-AA-A00Z-01A-01D-A077-02	1	41861414	42083413	0	-0.2613
8	TCGA-AA-A00Z-01A-01D-A077-02	1	42083414	49640413	0	-0.0334
9	TCGA-AA-A00Z-01A-01D-A077-02	1	49640414	49892413	0	-0.6417
10	TCGA-AA-A00Z-01A-01D-A077-02	1	49892414	110194477	0	-0.0343
11	TCGA-AA-A00Z-01A-01D-A077-02	1	110194478	110319477	0	-0.6375
12	TCGA-AA-A00Z-01A-01D-A077-02	1	110319478	121100477	0	-0.0336
13	TCGA-AA-A00Z-01A-01D-A077-02	1	121100478	121350477	0	-0.6105
15	TCGA-AA-A00Z-01A-01D-A077-02	1	142545478	143270477	0	-0.1331
16	TCGA-AA-A00Z-01A-01D-A077-02	1	143270478	143472477	0	-0.4669
17	TCGA-AA-A00Z-01A-01D-A077-02	1	143472478	177125377	0	-0.0272
18	TCGA-AA-A00Z-01A-01D-A077-02	1	177125378	177147377	0	-0.6618
19	TCGA-AA-A00Z-01A-01D-A077-02	1	177147378	206955377	0	-0.0442
20	TCGA-AA-A00Z-01A-01D-A077-02	1	206955378	207292377	0	0.4125
21	TCGA-AA-A00Z-01A-01D-A077-02	1	207292378	211602377	0	-0.0407
22	TCGA-AA-A00Z-01A-01D-A077-02	1	211602378	211662377	0	0.302
23	TCGA-AA-A00Z-01A-01D-A077-02	1	211662378	211749377	0	0.6991
24	TCGA-AA-A00Z-01A-01D-A077-02	1	211749378	227880377	0	-0.0343
25	TCGA-AA-A00Z-01A-01D-A077-02	1	227880378	228701377	0	-0.2117
26	TCGA-AA-A00Z-01A-01D-A077-02	1	228701378	247079377	0	-0.0619
27	TCGA-AA-A00Z-01A-01D-A077-02	1	247079378	249233096	0	-0.2003
28	TCGA-AA-A00Z-01A-01D-A077-02	2	10001	282000	0	-0.327
29	TCGA-AA-A00Z-01A-01D-A077-02	2	282001	674000	0	-0.5449
30	TCGA-AA-A00Z-01A-01D-A077-02	2	674001	2200993	0	-0.2736
31	TCGA-AA-A00Z-01A-01D-A077-02	2	2200994	7712549	0	-0.1502
32	TCGA-AA-A00Z-01A-01D-A077-02	2	7712550	15777549	0	-0.0709
33	TCGA-AA-A00Z-01A-01D-A077-02	2	15777550	15935549	0	-0.279
34	TCGA-AA-A00Z-01A-01D-A077-02	2	15935550	23422495	0	-0.0341
35	TCGA-AA-A00Z-01A-01D-A077-02	2	23422496	23940496	0	-0.1784
36	TCGA-AA-A00Z-01A-01D-A077-02	2	23940497	89132885	0	-0.0369
37	TCGA-AA-A00Z-01A-01D-A077-02	2	89132886	89543885	0	3.037
38	TCGA-AA-A00Z-01A-01D-A077-02	2	89543886	89620885	0	0.2823
39	TCGA-AA-A00Z-01A-01D-A077-02	2	89620886	90212695	0	-0.1504
40	TCGA-AA-A00Z-01A-01D-A077-02	2	90212696	90258695	0	0.7415
42	TCGA-AA-A00Z-01A-01D-A077-02	2	91629274	92280273	0	-0.1298
43	TCGA-AA-A00Z-01A-01D-A077-02	2	92280274	92302273	0	0.2977
44	TCGA-AA-A00Z-01A-01D-A077-02	2	92302274	92306273	0	-0.1527
45	TCGA-AA-A00Z-01A-01D-A077-02	2	92306274	92315273	0	0.343
46	TCGA-AA-A00Z-01A-01D-A077-02	2	92315274	92316273	0	-0.3297
47	TCGA-AA-A00Z-01A-01D-A077-02	2	92316274	92320273	0	0.022
48	TCGA-AA-A00Z-01A-01D-A077-02	2	92320274	92323273	0	0.4615
49	TCGA-AA-A00Z-01A-01D-A077-02	2	92323274	109506568	0	-0.0522
50	TCGA-AA-A00Z-01A-01D-A077-02	2	109506569	111406528	0	-0.1477
51	TCGA-AA-A00Z-01A-01D-A077-02	2	111406529	120904530	0	-0.0491
52	TCGA-AA-A00Z-01A-01D-A077-02	2	120904531	121880530	0	-0.1893
53	TCGA-AA-A00Z-01A-01D-A077-02	2	121880531	130074530	0	-0.0608
54	TCGA-AA-A00Z-01A-01D-A077-02	2	130074531	133046530	0	-0.1681
55	TCGA-AA-A00Z-01A-01D-A077-02	2	133046531	133106530	0	0.3555
56	TCGA-AA-A00Z-01A-01D-A077-02	2	133106531	157815754	0	-0.0517
57	TCGA-AA-A00Z-01A-01D-A077-02	2	157815755	157862754	0	-0.5412
58	TCGA-AA-A00Z-01A-01D-A077-02	2	157862755	162134754	0	-0.0077
59	TCGA-AA-A00Z-01A-01D-A077-02	2	162134755	162151754	0	-0.5108
60	TCGA-AA-A00Z-01A-01D-A077-02	2	162151755	177013754	0	-0.0231
61	TCGA-AA-A00Z-01A-01D-A077-02	2	177013755	177057754	0	-0.7445
62	TCGA-AA-A00Z-01A-01D-A077-02	2	177057755	236220261	0	-0.0337
63	TCGA-AA-A00Z-01A-01D-A077-02	2	236220262	239679261	0	-0.1238
64	TCGA-AA-A00Z-01A-01D-A077-02	2	239679262	242466327	0	-0.2184
65	TCGA-AA-A00Z-01A-01D-A077-02	2	242466328	243102327	0	-0.4148
66	TCGA-AA-A00Z-01A-01D-A077-02	3	60001	831000	0	-0.3578
67	TCGA-AA-A00Z-01A-01D-A077-02	3	831001	2143000	0	-0.1405
68	TCGA-AA-A00Z-01A-01D-A077-02	3	2143001	12282000	0	-0.0615
69	TCGA-AA-A00Z-01A-01D-A077-02	3	12282001	12477000	0	0.1293
70	TCGA-AA-A00Z-01A-01D-A077-02	3	12477001	14969996	0	-0.1224
71	TCGA-AA-A00Z-01A-01D-A077-02	3	14969997	20522996	0	-0.0289
72	TCGA-AA-A00Z-01A-01D-A077-02	3	20522997	20661996	0	-0.6804
73	TCGA-AA-A00Z-01A-01D-A077-02	3	20661997	30287996	0	-0.0406
74	TCGA-AA-A00Z-01A-01D-A077-02	3	30287997	30508996	0	0.2502
75	TCGA-AA-A00Z-01A-01D-A077-02	3	30508997	46697996	0	-0.0212
76	TCGA-AA-A00Z-01A-01D-A077-02	3	46697997	46936996	0	-0.1948
77	TCGA-AA-A00Z-01A-01D-A077-02	3	46936997	49019996	0	0.0307
78	TCGA-AA-A00Z-01A-01D-A077-02	3	49019997	49226996	0	-0.1801
79	TCGA-AA-A00Z-01A-01D-A077-02	3	49226997	49546996	0	0.1493
80	TCGA-AA-A00Z-01A-01D-A077-02	3	49546997	60268960	0	-0.0504
81	TCGA-AA-A00Z-01A-01D-A077-02	3	60268961	60376960	0	-0.4853
82	TCGA-AA-A00Z-01A-01D-A077-02	3	60376961	125770310	0	-0.0514
83	TCGA-AA-A00Z-01A-01D-A077-02	3	125770311	128248310	0	-0.1799
84	TCGA-AA-A00Z-01A-01D-A077-02	3	128248311	197066603	0	-0.0384
85	TCGA-AA-A00Z-01A-01D-A077-02	3	197066604	197961603	0	-0.2201
86	TCGA-AA-A00Z-01A-01D-A077-02	4	10001	1022000	0	-0.3091
87	TCGA-AA-A00Z-01A-01D-A077-02	4	1022001	3363202	0	-0.0745
88	TCGA-AA-A00Z-01A-01D-A077-02	4	3363203	3978104	0	-0.2682
89	TCGA-AA-A00Z-01A-01D-A077-02	4	3978105	10180902	0	-0.1441
90	TCGA-AA-A00Z-01A-01D-A077-02	4	10180903	37986605	0	-0.0391
91	TCGA-AA-A00Z-01A-01D-A077-02	4	37986606	38412605	0	0.437
92	TCGA-AA-A00Z-01A-01D-A077-02	4	38412606	49269243	0	-0.0256
93	TCGA-AA-A00Z-01A-01D-A077-02	4	49269244	49634243	0	-0.3978
94	TCGA-AA-A00Z-01A-01D-A077-02	4	49634244	68264405	0	-0.0668
95	TCGA-AA-A00Z-01A-01D-A077-02	4	68264406	68265405	0	0.7267
96	TCGA-AA-A00Z-01A-01D-A077-02	4	68265406	80272976	0	0.0068
97	TCGA-AA-A00Z-01A-01D-A077-02	4	80272977	80276976	0	-0.592
98	TCGA-AA-A00Z-01A-01D-A077-02	4	80276977	126109550	0	-0.0228
99	TCGA-AA-A00Z-01A-01D-A077-02	4	126109551	126157550	0	-0.4496
100	TCGA-AA-A00Z-01A-01D-A077-02	4	126157551	178109006	0	-0.0474
101	TCGA-AA-A00Z-01A-01D-A077-02	4	178109007	183341006	0	-0.135
102	TCGA-AA-A00Z-01A-01D-A077-02	4	183341007	188398006	0	-0.0672
103	TCGA-AA-A00Z-01A-01D-A077-02	4	188398007	190268006	0	-0.1822
104	TCGA-AA-A00Z-01A-01D-A077-02	4	190268007	191029082	0	-0.3671
105	TCGA-AA-A00Z-01A-01D-A077-02	5	10001	938000	0	-0.0234
106	TCGA-AA-A00Z-01A-01D-A077-02	5	938001	3550000	0	0.1129
107	TCGA-AA-A00Z-01A-01D-A077-02	5	3550001	8355000	0	0.2211
108	TCGA-AA-A00Z-01A-01D-A077-02	5	8355001	18989243	0	0.3121
109	TCGA-AA-A00Z-01A-01D-A077-02	5	18989244	26790243	0	0.2393
110	TCGA-AA-A00Z-01A-01D-A077-02	5	26790244	27065243	0	-0.6004
111	TCGA-AA-A00Z-01A-01D-A077-02	5	27065244	38876243	0	0.3117
112	TCGA-AA-A00Z-01A-01D-A077-02	5	38876244	45886243	0	0.3752
113	TCGA-AA-A00Z-01A-01D-A077-02	5	45886244	46384243	0	-0.5316
114	TCGA-AA-A00Z-01A-01D-A077-02	5	46384244	73220244	0	-0.0485
115	TCGA-AA-A00Z-01A-01D-A077-02	5	73220245	73335244	0	-1.6116
116	TCGA-AA-A00Z-01A-01D-A077-02	5	73335245	87882244	0	-0.0642
117	TCGA-AA-A00Z-01A-01D-A077-02	5	87882245	88065244	0	-0.2891
118	TCGA-AA-A00Z-01A-01D-A077-02	5	88065245	114813101	0	-0.0582
119	TCGA-AA-A00Z-01A-01D-A077-02	5	114813102	114832101	0	0.5584
120	TCGA-AA-A00Z-01A-01D-A077-02	5	114832102	127104101	0	-0.0301
121	TCGA-AA-A00Z-01A-01D-A077-02	5	127104102	127390101	0	0.8221
122	TCGA-AA-A00Z-01A-01D-A077-02	5	127390102	176800394	0	-0.0633
123	TCGA-AA-A00Z-01A-01D-A077-02	5	176800395	180399394	0	-0.1692
124	TCGA-AA-A00Z-01A-01D-A077-02	5	180404395	180431394	0	-1.926
125	TCGA-AA-A00Z-01A-01D-A077-02	5	180431395	180905260	0	-0.3566
126	TCGA-AA-A00Z-01A-01D-A077-02	6	62001	809000	0	-0.3823
