 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A00N-01A-02D-A008-01	1	1737357	147344261	75651	-0.0155
1	TCGA-AA-A00N-01A-02D-A008-01	1	147344380	172748828	16015	0.0497
2	TCGA-AA-A00N-01A-02D-A008-01	1	172764752	174377361	888	0.3683
3	TCGA-AA-A00N-01A-02D-A008-01	1	174377385	247789919	50763	0.05
4	TCGA-AA-A00N-01A-02D-A008-01	1	247792688	249201800	741	-0.0039
5	TCGA-AA-A00N-01A-02D-A008-01	2	12784	7881046	6169	-0.0651
6	TCGA-AA-A00N-01A-02D-A008-01	2	7881176	232873890	139031	-0.023
7	TCGA-AA-A00N-01A-02D-A008-01	2	232873937	242719805	6378	-0.0613
8	TCGA-AA-A00N-01A-02D-A008-01	3	242241	197764233	125924	0.0037
9	TCGA-AA-A00N-01A-02D-A008-01	4	193054	127205400	78166	-0.0059
10	TCGA-AA-A00N-01A-02D-A008-01	4	127207716	190451589	40254	0.0484
11	TCGA-AA-A00N-01A-02D-A008-01	5	304462	16092086	12451	-0.0188
12	TCGA-AA-A00N-01A-02D-A008-01	5	16093098	148520029	79784	0.0134
13	TCGA-AA-A00N-01A-02D-A008-01	5	148520669	180694888	21806	-0.0104
14	TCGA-AA-A00N-01A-02D-A008-01	6	421317	170903916	111036	-0.0122
15	TCGA-AA-A00N-01A-02D-A008-01	7	704573	26444412	19116	0.0555
16	TCGA-AA-A00N-01A-02D-A008-01	7	26446465	26455611	10	-1.342
17	TCGA-AA-A00N-01A-02D-A008-01	7	26455770	158927795	80337	0.0539
18	TCGA-AA-A00N-01A-02D-A008-01	8	562629	146288316	96572	0.0122
19	TCGA-AA-A00N-01A-02D-A008-01	9	334524	140952916	80644	-0.0164
20	TCGA-AA-A00N-01A-02D-A008-01	10	111148	1379736	786	-0.0121
21	TCGA-AA-A00N-01A-02D-A008-01	10	1383133	1722488	351	-0.1696
22	TCGA-AA-A00N-01A-02D-A008-01	10	1723464	28603435	21338	-0.0181
23	TCGA-AA-A00N-01A-02D-A008-01	10	28607696	28615608	10	-1.1248
24	TCGA-AA-A00N-01A-02D-A008-01	10	28615890	54380429	13571	-0.0131
25	TCGA-AA-A00N-01A-02D-A008-01	10	54387162	58828141	3345	0.1255
26	TCGA-AA-A00N-01A-02D-A008-01	10	58828931	135206873	52661	-0.0185
27	TCGA-AA-A00N-01A-02D-A008-01	11	198510	134809090	88117	-0.019
28	TCGA-AA-A00N-01A-02D-A008-01	12	362522	133625276	85894	0.0215
29	TCGA-AA-A00N-01A-02D-A008-01	13	19418531	92771133	48805	-0.0101
30	TCGA-AA-A00N-01A-02D-A008-01	13	92775305	92870984	66	-0.4661
31	TCGA-AA-A00N-01A-02D-A008-01	13	92875466	114945972	16159	-0.0244
32	TCGA-AA-A00N-01A-02D-A008-01	14	20516291	103979543	54686	0.0075
33	TCGA-AA-A00N-01A-02D-A008-01	15	23222284	101935302	51640	-0.0185
34	TCGA-AA-A00N-01A-02D-A008-01	16	2315245	6190098	2588	-0.0511
35	TCGA-AA-A00N-01A-02D-A008-01	16	6191062	6530383	391	-0.4703
36	TCGA-AA-A00N-01A-02D-A008-01	16	6530551	90158838	49500	-0.0249
37	TCGA-AA-A00N-01A-02D-A008-01	17	193188	81027417	45867	-0.0248
38	TCGA-AA-A00N-01A-02D-A008-01	18	234058	77859855	51258	-0.0208
39	TCGA-AA-A00N-01A-02D-A008-01	19	3123738	58866674	28911	-0.0241
40	TCGA-AA-A00N-01A-02D-A008-01	20	69283	62912463	42978	0.0629
41	TCGA-AA-A00N-01A-02D-A008-01	21	15425304	47970581	24065	-0.0144
42	TCGA-AA-A00N-01A-02D-A008-01	22	17305614	47060625	20395	-0.0308
