 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A00C-01A-01D-A003-01	1	1737357	1815993	42	0.2596
1	TCGA-AG-A00C-01A-01D-A003-01	1	1820619	7682794	3500	-0.0606
2	TCGA-AG-A00C-01A-01D-A003-01	1	7683898	11278602	1918	0.1006
3	TCGA-AG-A00C-01A-01D-A003-01	1	11278813	17916919	3735	0.0257
4	TCGA-AG-A00C-01A-01D-A003-01	1	17916962	19408135	1130	-0.0606
5	TCGA-AG-A00C-01A-01D-A003-01	1	19408181	20582418	804	0.0697
6	TCGA-AG-A00C-01A-01D-A003-01	1	20582685	20758040	115	-0.099
7	TCGA-AG-A00C-01A-01D-A003-01	1	20758192	22529818	1040	0.0888
8	TCGA-AG-A00C-01A-01D-A003-01	1	22531134	23271432	519	-0.061
9	TCGA-AG-A00C-01A-01D-A003-01	1	23271504	25224010	1032	0.111
10	TCGA-AG-A00C-01A-01D-A003-01	1	25224321	26399630	633	-0.0548
11	TCGA-AG-A00C-01A-01D-A003-01	1	26402023	29803454	1454	0.0981
12	TCGA-AG-A00C-01A-01D-A003-01	1	29810605	31347062	1133	-0.0844
13	TCGA-AG-A00C-01A-01D-A003-01	1	31347212	32082000	375	0.073
14	TCGA-AG-A00C-01A-01D-A003-01	1	32085637	32204063	67	-0.1795
15	TCGA-AG-A00C-01A-01D-A003-01	1	32206138	32392145	87	0.1049
16	TCGA-AG-A00C-01A-01D-A003-01	1	32393058	32414760	5	1.1652
17	TCGA-AG-A00C-01A-01D-A003-01	1	32418095	32650911	90	0.1594
18	TCGA-AG-A00C-01A-01D-A003-01	1	32654393	32675448	7	-0.4407
19	TCGA-AG-A00C-01A-01D-A003-01	1	32677212	32900848	83	0.1369
20	TCGA-AG-A00C-01A-01D-A003-01	1	32901240	32917583	5	-0.6844
21	TCGA-AG-A00C-01A-01D-A003-01	1	32918153	33549955	261	0.1065
22	TCGA-AG-A00C-01A-01D-A003-01	1	33551778	35397975	1309	-0.0173
23	TCGA-AG-A00C-01A-01D-A003-01	1	35399027	36754522	577	0.1089
24	TCGA-AG-A00C-01A-01D-A003-01	1	36754542	37952976	799	-0.0475
25	TCGA-AG-A00C-01A-01D-A003-01	1	37954862	38423588	219	0.1044
26	TCGA-AG-A00C-01A-01D-A003-01	1	38424031	39240865	553	-0.0357
27	TCGA-AG-A00C-01A-01D-A003-01	1	39241283	41154407	986	0.1099
28	TCGA-AG-A00C-01A-01D-A003-01	1	41154550	44878522	2277	0.0115
29	TCGA-AG-A00C-01A-01D-A003-01	1	44878549	46870728	994	0.118
30	TCGA-AG-A00C-01A-01D-A003-01	1	46873903	51032328	2454	-0.0104
31	TCGA-AG-A00C-01A-01D-A003-01	1	51033619	53647908	1248	0.1052
