 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A02X-01A-01D-A008-01	1	1737357	5513691	2129	0.1104
1	TCGA-AG-A02X-01A-01D-A008-01	1	5516548	58101108	30726	0.1953
2	TCGA-AG-A02X-01A-01D-A008-01	1	58102172	61729721	2696	0.2409
3	TCGA-AG-A02X-01A-01D-A008-01	1	61731652	61763639	22	-0.3454
4	TCGA-AG-A02X-01A-01D-A008-01	1	61767070	68652263	5193	0.2446
5	TCGA-AG-A02X-01A-01D-A008-01	1	68653047	82092416	8583	0.1968
6	TCGA-AG-A02X-01A-01D-A008-01	1	82094695	85537890	2351	0.246
7	TCGA-AG-A02X-01A-01D-A008-01	1	85539127	85542620	8	-1.0853
8	TCGA-AG-A02X-01A-01D-A008-01	1	85545680	121300555	22821	0.2332
10	TCGA-AG-A02X-01A-01D-A008-01	1	146101240	236644516	59865	0.2185
11	TCGA-AG-A02X-01A-01D-A008-01	1	236651595	238002435	1191	0.5749
12	TCGA-AG-A02X-01A-01D-A008-01	1	238003774	241432212	2768	0.187
13	TCGA-AG-A02X-01A-01D-A008-01	1	241432576	245675778	2982	0.5835
14	TCGA-AG-A02X-01A-01D-A008-01	1	245683675	248324683	1827	0.1983
15	TCGA-AG-A02X-01A-01D-A008-01	1	248325955	249201800	390	-0.4233
16	TCGA-AG-A02X-01A-01D-A008-01	2	12784	7541002	5918	-0.4083
17	TCGA-AG-A02X-01A-01D-A008-01	2	7541865	117073607	67322	-0.3441
18	TCGA-AG-A02X-01A-01D-A008-01	2	117074104	119920455	1935	-0.409
19	TCGA-AG-A02X-01A-01D-A008-01	2	120009357	126686746	4241	0.1882
20	TCGA-AG-A02X-01A-01D-A008-01	2	126693321	140786028	8659	-0.3562
21	TCGA-AG-A02X-01A-01D-A008-01	2	140786639	141075399	185	0.2606
22	TCGA-AG-A02X-01A-01D-A008-01	2	141075479	179013664	23516	-0.3199
23	TCGA-AG-A02X-01A-01D-A008-01	2	179014350	182017900	1955	0.2101
24	TCGA-AG-A02X-01A-01D-A008-01	2	182018554	214295083	19385	0.2404
25	TCGA-AG-A02X-01A-01D-A008-01	2	214296454	222420711	5299	0.1837
26	TCGA-AG-A02X-01A-01D-A008-01	2	222420748	230040812	5119	0.2316
27	TCGA-AG-A02X-01A-01D-A008-01	2	230040838	241091482	7161	0.1702
28	TCGA-AG-A02X-01A-01D-A008-01	2	241092990	242719805	807	0.5545
29	TCGA-AG-A02X-01A-01D-A008-01	3	242241	905686	542	0.1629
30	TCGA-AG-A02X-01A-01D-A008-01	3	905799	912232	10	-0.6786
31	TCGA-AG-A02X-01A-01D-A008-01	3	912242	1745948	819	0.1682
32	TCGA-AG-A02X-01A-01D-A008-01	3	1746061	1746581	6	1.1803
33	TCGA-AG-A02X-01A-01D-A008-01	3	1746931	4152010	2252	0.1625
34	TCGA-AG-A02X-01A-01D-A008-01	3	4154130	148019200	91118	0.2153
35	TCGA-AG-A02X-01A-01D-A008-01	3	148020546	178365840	18923	0.2466
36	TCGA-AG-A02X-01A-01D-A008-01	3	178365896	197764233	12254	0.2192
37	TCGA-AG-A02X-01A-01D-A008-01	4	193054	320257	59	-0.2517
38	TCGA-AG-A02X-01A-01D-A008-01	4	320377	9883801	5355	-0.4098
39	TCGA-AG-A02X-01A-01D-A008-01	4	9884057	12469305	2295	-0.2866
40	TCGA-AG-A02X-01A-01D-A008-01	4	12469507	35623290	15839	-0.3386
41	TCGA-AG-A02X-01A-01D-A008-01	4	35630574	40665693	3388	-0.2806
42	TCGA-AG-A02X-01A-01D-A008-01	4	40671298	69112419	15690	-0.3375
43	TCGA-AG-A02X-01A-01D-A008-01	4	69112715	121063683	31802	-0.2998
44	TCGA-AG-A02X-01A-01D-A008-01	4	121067686	121456142	287	-1.1546
45	TCGA-AG-A02X-01A-01D-A008-01	4	121458665	121581769	79	-0.3136
46	TCGA-AG-A02X-01A-01D-A008-01	4	121583679	121586018	6	-1.7872
47	TCGA-AG-A02X-01A-01D-A008-01	4	121588841	121882637	197	-0.301
48	TCGA-AG-A02X-01A-01D-A008-01	4	121882666	122189226	176	-1.1362
49	TCGA-AG-A02X-01A-01D-A008-01	4	122190326	122201508	15	-1.8452
50	TCGA-AG-A02X-01A-01D-A008-01	4	122208038	122244597	28	-1.1276
51	TCGA-AG-A02X-01A-01D-A008-01	4	122248581	175511025	32577	-0.3257
52	TCGA-AG-A02X-01A-01D-A008-01	4	175518624	176244846	445	-1.1405
53	TCGA-AG-A02X-01A-01D-A008-01	4	176251665	187315657	7941	-0.3638
54	TCGA-AG-A02X-01A-01D-A008-01	4	187316147	188307103	724	-0.2489
55	TCGA-AG-A02X-01A-01D-A008-01	4	188308129	190451589	1517	-0.3596
56	TCGA-AG-A02X-01A-01D-A008-01	5	304462	5289388	3961	1.3044
57	TCGA-AG-A02X-01A-01D-A008-01	5	5289835	5290942	8	-0.3851
58	TCGA-AG-A02X-01A-01D-A008-01	5	5292910	7548894	2019	1.3229
59	TCGA-AG-A02X-01A-01D-A008-01	5	7552882	14262868	5236	1.3781
60	TCGA-AG-A02X-01A-01D-A008-01	5	14263802	15331400	765	1.5014
61	TCGA-AG-A02X-01A-01D-A008-01	5	15332569	15332706	6	0.2942
62	TCGA-AG-A02X-01A-01D-A008-01	5	15333012	16458971	724	1.492
63	TCGA-AG-A02X-01A-01D-A008-01	5	16460157	37761769	13381	1.3937
