	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-CM-4747-01A-01D-1405-02	1	10001	567137	0	0.1523
1	TCGA-CM-4747-01A-01D-1405-02	1	567138	611137	0	1.3119
2	TCGA-CM-4747-01A-01D-1405-02	1	611138	836137	0	-0.3172
3	TCGA-CM-4747-01A-01D-1405-02	1	836138	4233140	0	-0.5422
4	TCGA-CM-4747-01A-01D-1405-02	1	4233141	25597413	0	-0.4646
5	TCGA-CM-4747-01A-01D-1405-02	1	25597414	25662413	0	-1.7898
6	TCGA-CM-4747-01A-01D-1405-02	1	25662414	37746413	0	-0.4627
7	TCGA-CM-4747-01A-01D-1405-02	1	37746414	50949412	0	-0.0828
8	TCGA-CM-4747-01A-01D-1405-02	1	50949413	51196412	0	-0.4094
9	TCGA-CM-4747-01A-01D-1405-02	1	51196413	53650412	0	-0.083
10	TCGA-CM-4747-01A-01D-1405-02	1	53650413	53712412	0	-0.3743
11	TCGA-CM-4747-01A-01D-1405-02	1	53712413	120923477	0	-0.055
12	TCGA-CM-4747-01A-01D-1405-02	1	120923478	121298477	0	0.1575
13	TCGA-CM-4747-01A-01D-1405-02	1	121298478	121479477	0	-0.0446
15	TCGA-CM-4747-01A-01D-1405-02	1	142536478	143720477	0	-0.1344
16	TCGA-CM-4747-01A-01D-1405-02	1	143720478	146035643	0	0.0419
17	TCGA-CM-4747-01A-01D-1405-02	1	146035644	147995376	0	0.3497
18	TCGA-CM-4747-01A-01D-1405-02	1	147995377	149783376	0	0.0729
19	TCGA-CM-4747-01A-01D-1405-02	1	149783377	156183376	0	0.321
20	TCGA-CM-4747-01A-01D-1405-02	1	156183377	156187376	0	-0.4779
21	TCGA-CM-4747-01A-01D-1405-02	1	156187377	234912377	0	0.3464
22	TCGA-CM-4747-01A-01D-1405-02	1	234912378	234919377	0	-0.4216
23	TCGA-CM-4747-01A-01D-1405-02	1	234919378	249233096	0	0.34
24	TCGA-CM-4747-01A-01D-1405-02	2	10001	92275273	0	-0.0609
25	TCGA-CM-4747-01A-01D-1405-02	2	92275274	92276273	0	-0.3773
26	TCGA-CM-4747-01A-01D-1405-02	2	92276274	92302273	0	0.1181
27	TCGA-CM-4747-01A-01D-1405-02	2	92302274	92304273	0	-1.0131
28	TCGA-CM-4747-01A-01D-1405-02	2	92304274	92307273	0	-0.164
29	TCGA-CM-4747-01A-01D-1405-02	2	92307274	92314273	0	0.2116
30	TCGA-CM-4747-01A-01D-1405-02	2	92314274	92319273	0	-0.228
31	TCGA-CM-4747-01A-01D-1405-02	2	92319274	92323273	0	0.2288
33	TCGA-CM-4747-01A-01D-1405-02	2	97889278	98490568	0	-0.4499
34	TCGA-CM-4747-01A-01D-1405-02	2	98490569	132544530	0	-0.0602
35	TCGA-CM-4747-01A-01D-1405-02	2	132544531	133038530	0	-0.1328
36	TCGA-CM-4747-01A-01D-1405-02	2	133038531	133127530	0	0.1612
37	TCGA-CM-4747-01A-01D-1405-02	2	133127531	199288755	0	-0.0442
38	TCGA-CM-4747-01A-01D-1405-02	2	199288756	199479755	0	-0.4043
39	TCGA-CM-4747-01A-01D-1405-02	2	199479756	237242261	0	-0.0608
40	TCGA-CM-4747-01A-01D-1405-02	2	237242262	243102327	0	-0.4779
41	TCGA-CM-4747-01A-01D-1405-02	3	60001	75425310	0	-0.0651
42	TCGA-CM-4747-01A-01D-1405-02	3	75425311	75637310	0	0.2608
43	TCGA-CM-4747-01A-01D-1405-02	3	75637311	162516306	0	-0.045
44	TCGA-CM-4747-01A-01D-1405-02	3	162516307	162629306	0	-0.4153
45	TCGA-CM-4747-01A-01D-1405-02	3	162629307	197959603	0	-0.0488
46	TCGA-CM-4747-01A-01D-1405-02	4	10001	9951902	0	-0.1039
47	TCGA-CM-4747-01A-01D-1405-02	4	9951903	78588976	0	-0.0534
48	TCGA-CM-4747-01A-01D-1405-02	4	78588977	78772976	0	-0.4317
49	TCGA-CM-4747-01A-01D-1405-02	4	78772977	97282977	0	-0.046
50	TCGA-CM-4747-01A-01D-1405-02	4	97282978	97393977	0	-0.4392
