 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A00F-01A-01D-A003-01	1	1737357	1781960	26	-0.1366
1	TCGA-AA-A00F-01A-01D-A003-01	1	1782062	7684413	3522	-0.4066
2	TCGA-AA-A00F-01A-01D-A003-01	1	7745804	71844108	39100	-0.3193
3	TCGA-AA-A00F-01A-01D-A003-01	1	71845083	84200856	8053	-0.3751
4	TCGA-AA-A00F-01A-01D-A003-01	1	84201610	95666821	7627	-0.3091
5	TCGA-AA-A00F-01A-01D-A003-01	1	95667618	108557103	8005	-0.3577
6	TCGA-AA-A00F-01A-01D-A003-01	1	108557705	110525630	1100	-0.2748
7	TCGA-AA-A00F-01A-01D-A003-01	1	110526596	111084543	406	-0.421
8	TCGA-AA-A00F-01A-01D-A003-01	1	111085609	186499536	32845	0.0278
9	TCGA-AA-A00F-01A-01D-A003-01	1	186499926	198929359	8245	-0.0433
10	TCGA-AA-A00F-01A-01D-A003-01	1	198940275	215009976	11058	0.0204
11	TCGA-AA-A00F-01A-01D-A003-01	1	215010659	222266899	5227	-0.0366
12	TCGA-AA-A00F-01A-01D-A003-01	1	222269224	249201800	18821	0.0213
13	TCGA-AA-A00F-01A-01D-A003-01	2	12784	7163194	5558	-0.0773
14	TCGA-AA-A00F-01A-01D-A003-01	2	7166110	21229003	10459	-0.0102
15	TCGA-AA-A00F-01A-01D-A003-01	2	21229860	23973603	1835	-0.0762
16	TCGA-AA-A00F-01A-01D-A003-01	2	23974732	29304270	2719	0.0556
17	TCGA-AA-A00F-01A-01D-A003-01	2	29304322	32030708	2036	-0.0383
18	TCGA-AA-A00F-01A-01D-A003-01	2	32038354	33210329	583	0.1085
19	TCGA-AA-A00F-01A-01D-A003-01	2	33210570	36700580	2766	-0.0326
20	TCGA-AA-A00F-01A-01D-A003-01	2	36700639	39799268	2150	0.0403
21	TCGA-AA-A00F-01A-01D-A003-01	2	39800033	42017974	1855	-0.0315
22	TCGA-AA-A00F-01A-01D-A003-01	2	42018118	48772202	4765	0.0412
23	TCGA-AA-A00F-01A-01D-A003-01	2	48775409	53474974	3509	-0.0802
24	TCGA-AA-A00F-01A-01D-A003-01	2	53475338	56409931	2105	0.0194
25	TCGA-AA-A00F-01A-01D-A003-01	2	56413345	60962317	3127	-0.0598
26	TCGA-AA-A00F-01A-01D-A003-01	2	60965747	65848136	2608	0.0393
27	TCGA-AA-A00F-01A-01D-A003-01	2	65848359	69446251	2757	-0.0246
28	TCGA-AA-A00F-01A-01D-A003-01	2	69455680	76046953	4007	0.0292
29	TCGA-AA-A00F-01A-01D-A003-01	2	76049770	84264365	5386	-0.055
30	TCGA-AA-A00F-01A-01D-A003-01	2	84267041	102302013	6285	0.0233
31	TCGA-AA-A00F-01A-01D-A003-01	2	102303064	105730810	2158	-0.0611
32	TCGA-AA-A00F-01A-01D-A003-01	2	105730875	114788076	5163	0.0045
33	TCGA-AA-A00F-01A-01D-A003-01	2	114788583	137087590	13831	-0.0399
34	TCGA-AA-A00F-01A-01D-A003-01	2	137091269	148453079	7142	-0.0867
35	TCGA-AA-A00F-01A-01D-A003-01	2	148453805	210158117	37684	-0.0045
36	TCGA-AA-A00F-01A-01D-A003-01	2	210161224	216101432	3807	-0.0669
37	TCGA-AA-A00F-01A-01D-A003-01	2	216101677	239899665	15666	-0.0059
38	TCGA-AA-A00F-01A-01D-A003-01	2	239900139	241309135	955	-0.1068
39	TCGA-AA-A00F-01A-01D-A003-01	2	241313115	242719805	661	0.0496
40	TCGA-AA-A00F-01A-01D-A003-01	3	242241	2980840	2441	0.191
41	TCGA-AA-A00F-01A-01D-A003-01	3	2985142	8908383	5324	0.2593
42	TCGA-AA-A00F-01A-01D-A003-01	3	8908800	15907705	4923	0.3072
43	TCGA-AA-A00F-01A-01D-A003-01	3	15907946	20651945	2867	0.2587
44	TCGA-AA-A00F-01A-01D-A003-01	3	20652449	23302649	2017	0.1898
45	TCGA-AA-A00F-01A-01D-A003-01	3	23302757	29975438	4912	0.2596
46	TCGA-AA-A00F-01A-01D-A003-01	3	29975701	34239711	2797	0.3338
47	TCGA-AA-A00F-01A-01D-A003-01	3	34240238	36670504	1688	0.2473
48	TCGA-AA-A00F-01A-01D-A003-01	3	36671314	47133692	6638	0.3108
49	TCGA-AA-A00F-01A-01D-A003-01	3	47134392	50762472	1407	0.4016
50	TCGA-AA-A00F-01A-01D-A003-01	3	50763034	54053635	1680	0.3304
51	TCGA-AA-A00F-01A-01D-A003-01	3	54053981	56405169	1893	0.2338
52	TCGA-AA-A00F-01A-01D-A003-01	3	56405510	59179780	1576	0.3533
53	TCGA-AA-A00F-01A-01D-A003-01	3	59181411	74065292	12160	0.2707
54	TCGA-AA-A00F-01A-01D-A003-01	3	74065372	74405726	244	0.1466
55	TCGA-AA-A00F-01A-01D-A003-01	3	74411564	78809698	2576	0.0663
56	TCGA-AA-A00F-01A-01D-A003-01	3	78810319	82960458	2323	0.1982
57	TCGA-AA-A00F-01A-01D-A003-01	3	82960823	83611608	287	-0.1341
58	TCGA-AA-A00F-01A-01D-A003-01	3	83614665	86665427	1695	0.1569
59	TCGA-AA-A00F-01A-01D-A003-01	3	86665658	88772667	1113	0.2642
61	TCGA-AA-A00F-01A-01D-A003-01	3	93527459	97720484	2137	-0.0689
62	TCGA-AA-A00F-01A-01D-A003-01	3	97724103	162246345	40062	0.0011
63	TCGA-AA-A00F-01A-01D-A003-01	3	162248219	166878768	2628	-0.0924
64	TCGA-AA-A00F-01A-01D-A003-01	3	166879070	173119882	3907	0.0392
65	TCGA-AA-A00F-01A-01D-A003-01	3	173120103	175596530	1753	-0.0278
66	TCGA-AA-A00F-01A-01D-A003-01	3	175597693	175628940	19	-0.7332
67	TCGA-AA-A00F-01A-01D-A003-01	3	175634629	197764233	13944	0.0131
68	TCGA-AA-A00F-01A-01D-A003-01	4	193054	2906957	1029	-0.3002
69	TCGA-AA-A00F-01A-01D-A003-01	4	2907059	24609942	15410	-0.3615
70	TCGA-AA-A00F-01A-01D-A003-01	4	24610820	25285913	505	-0.3114
71	TCGA-AA-A00F-01A-01D-A003-01	4	25286460	25295257	5	0.8514
72	TCGA-AA-A00F-01A-01D-A003-01	4	25295270	26918129	1067	-0.2914
73	TCGA-AA-A00F-01A-01D-A003-01	4	26919613	36341751	6017	-0.4005
74	TCGA-AA-A00F-01A-01D-A003-01	4	36342073	37527705	855	-0.3425
75	TCGA-AA-A00F-01A-01D-A003-01	4	37528035	41422613	2575	-0.2716
76	TCGA-AA-A00F-01A-01D-A003-01	4	41426454	47500664	3622	-0.3802
