	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-CK-4951-01A-01D-1405-02	1	10001	569137	0	0.0124
1	TCGA-CK-4951-01A-01D-1405-02	1	569138	572137	0	1.8321
2	TCGA-CK-4951-01A-01D-1405-02	1	572138	13685413	0	-0.0406
3	TCGA-CK-4951-01A-01D-1405-02	1	13686414	13864413	0	-0.6006
4	TCGA-CK-4951-01A-01D-1405-02	1	13864414	16320413	0	-0.034
5	TCGA-CK-4951-01A-01D-1405-02	1	16320414	16842413	0	-0.5918
6	TCGA-CK-4951-01A-01D-1405-02	1	16842414	91846412	0	-0.0188
7	TCGA-CK-4951-01A-01D-1405-02	1	91846413	91855412	0	-0.3701
8	TCGA-CK-4951-01A-01D-1405-02	1	91855413	202737377	0	-0.0118
9	TCGA-CK-4951-01A-01D-1405-02	1	202737378	202809377	0	0.5049
10	TCGA-CK-4951-01A-01D-1405-02	1	202809378	249233096	0	-0.0211
11	TCGA-CK-4951-01A-01D-1405-02	2	10001	23745495	0	-0.0224
12	TCGA-CK-4951-01A-01D-1405-02	2	23745496	23835495	0	-0.6777
13	TCGA-CK-4951-01A-01D-1405-02	2	23835496	92268273	0	-0.019
14	TCGA-CK-4951-01A-01D-1405-02	2	92268274	92271273	0	-0.305
15	TCGA-CK-4951-01A-01D-1405-02	2	92271274	133007530	0	-0.021
16	TCGA-CK-4951-01A-01D-1405-02	2	133007531	133065530	0	-0.3158
17	TCGA-CK-4951-01A-01D-1405-02	2	133065531	186474755	0	-0.0148
18	TCGA-CK-4951-01A-01D-1405-02	2	186474756	186946755	0	-0.5551
19	TCGA-CK-4951-01A-01D-1405-02	2	186946756	236551261	0	-0.0111
20	TCGA-CK-4951-01A-01D-1405-02	2	236551262	236765261	0	-0.5634
21	TCGA-CK-4951-01A-01D-1405-02	2	236765262	236824261	0	-0.1458
22	TCGA-CK-4951-01A-01D-1405-02	2	236824262	236842261	0	-0.7571
23	TCGA-CK-4951-01A-01D-1405-02	2	236842262	243102327	0	-0.0411
24	TCGA-CK-4951-01A-01D-1405-02	3	60001	60355960	0	-0.0152
25	TCGA-CK-4951-01A-01D-1405-02	3	60355961	60390960	0	-0.5951
26	TCGA-CK-4951-01A-01D-1405-02	3	60390961	157961306	0	-0.0167
27	TCGA-CK-4951-01A-01D-1405-02	3	157961307	158137306	0	-0.5385
28	TCGA-CK-4951-01A-01D-1405-02	3	158137307	197962430	0	-0.0157
29	TCGA-CK-4951-01A-01D-1405-02	4	10001	49090243	0	-0.0236
31	TCGA-CK-4951-01A-01D-1405-02	4	52669244	95910977	0	-0.0109
32	TCGA-CK-4951-01A-01D-1405-02	4	95910978	96457977	0	-0.5755
33	TCGA-CK-4951-01A-01D-1405-02	4	96457978	97109977	0	-0.021
34	TCGA-CK-4951-01A-01D-1405-02	4	97109978	98971977	0	-0.5535
35	TCGA-CK-4951-01A-01D-1405-02	4	98971978	111400551	0	1e-04
36	TCGA-CK-4951-01A-01D-1405-02	4	111400552	113261551	0	-0.5293
37	TCGA-CK-4951-01A-01D-1405-02	4	113261552	141221550	0	-0.0202
38	TCGA-CK-4951-01A-01D-1405-02	4	141221551	142045550	0	-0.5484
39	TCGA-CK-4951-01A-01D-1405-02	4	142045551	180159006	0	-0.0165
40	TCGA-CK-4951-01A-01D-1405-02	4	180159007	180271006	0	-0.5323
41	TCGA-CK-4951-01A-01D-1405-02	4	180271007	191029082	0	-0.0376
42	TCGA-CK-4951-01A-01D-1405-02	5	10000	36912243	0	-0.0306
43	TCGA-CK-4951-01A-01D-1405-02	5	36912244	37075243	0	-0.5007
44	TCGA-CK-4951-01A-01D-1405-02	5	37075244	134259101	0	-0.0088
45	TCGA-CK-4951-01A-01D-1405-02	5	134259102	134263101	0	0.9184
46	TCGA-CK-4951-01A-01D-1405-02	5	134263102	180905260	0	-0.0203
47	TCGA-CK-4951-01A-01D-1405-02	6	62001	147796307	0	-0.0125
48	TCGA-CK-4951-01A-01D-1405-02	6	147796308	147839307	0	0.4741
49	TCGA-CK-4951-01A-01D-1405-02	6	147839308	171055000	0	-0.0308
50	TCGA-CK-4951-01A-01D-1405-02	7	10238	159128663	0	-0.0172
51	TCGA-CK-4951-01A-01D-1405-02	8	10001	6508592	0	-0.0567
52	TCGA-CK-4951-01A-01D-1405-02	8	6508593	6538592	0	-0.6177
53	TCGA-CK-4951-01A-01D-1405-02	8	6538593	146304022	0	-0.0231
54	TCGA-CK-4951-01A-01D-1405-02	9	10001	141151179	0	-0.0223
55	TCGA-CK-4951-01A-01D-1405-02	10	60001	39149994	0	-0.0333
57	TCGA-CK-4951-01A-01D-1405-02	10	42383995	42393994	0	-0.2747
58	TCGA-CK-4951-01A-01D-1405-02	10	42393995	42394994	0	-0.0041
59	TCGA-CK-4951-01A-01D-1405-02	10	42394995	42397994	0	-0.301
60	TCGA-CK-4951-01A-01D-1405-02	10	42397995	42544994	0	-0.0016
62	TCGA-CK-4951-01A-01D-1405-02	10	42601995	98561010	0	-0.0177
63	TCGA-CK-4951-01A-01D-1405-02	10	98561011	98563010	0	-0.4142
64	TCGA-CK-4951-01A-01D-1405-02	10	98563011	135524747	0	-0.0228
65	TCGA-CK-4951-01A-01D-1405-02	11	67001	108248790	0	-0.0139
66	TCGA-CK-4951-01A-01D-1405-02	11	108248791	108320790	0	-0.5006
67	TCGA-CK-4951-01A-01D-1405-02	11	108320791	134946516	0	-0.0304
68	TCGA-CK-4951-01A-01D-1405-02	12	145740	12414733	0	-0.0257
69	TCGA-CK-4951-01A-01D-1405-02	12	12414734	12459733	0	0.5155
70	TCGA-CK-4951-01A-01D-1405-02	12	12459734	75928733	0	-0.0113
71	TCGA-CK-4951-01A-01D-1405-02	12	75928734	76226733	0	0.3845
72	TCGA-CK-4951-01A-01D-1405-02	12	76226734	133779461	0	-0.025
73	TCGA-CK-4951-01A-01D-1405-02	13	19020000	99260999	0	-0.0238
74	TCGA-CK-4951-01A-01D-1405-02	13	99261000	99352999	0	0.2477
75	TCGA-CK-4951-01A-01D-1405-02	13	99353000	115109878	0	-0.0211
