 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-A6-2680-01A-01D-1549-01	1	1737357	121338948	74540	-0.3327
1	TCGA-A6-2680-01A-01D-1549-01	1	121340237	249201800	69522	0.2748
2	TCGA-A6-2680-01A-01D-1549-01	2	12784	242719805	151578	0.0083
3	TCGA-A6-2680-01A-01D-1549-01	3	242241	97488018	63492	-0.0115
4	TCGA-A6-2680-01A-01D-1549-01	3	97488576	197764233	62432	0.0074
5	TCGA-A6-2680-01A-01D-1549-01	4	193054	190451589	118420	-0.3421
6	TCGA-A6-2680-01A-01D-1549-01	5	304462	180694888	114041	-0.0002
7	TCGA-A6-2680-01A-01D-1549-01	6	421317	58296648	39403	0.0006
8	TCGA-A6-2680-01A-01D-1549-01	6	58301597	58306258	5	-2.5862
9	TCGA-A6-2680-01A-01D-1549-01	6	58508614	101735112	25499	0.0027
10	TCGA-A6-2680-01A-01D-1549-01	6	101735887	101904442	125	-0.2089
11	TCGA-A6-2680-01A-01D-1549-01	6	101904945	152301693	32527	0.0025
12	TCGA-A6-2680-01A-01D-1549-01	6	152304232	152310821	10	-0.9055
13	TCGA-A6-2680-01A-01D-1549-01	6	152311893	170903916	13369	-0.0103
14	TCGA-A6-2680-01A-01D-1549-01	7	704573	125435694	77711	0.2759
15	TCGA-A6-2680-01A-01D-1549-01	7	125435852	125580793	98	-0.3676
16	TCGA-A6-2680-01A-01D-1549-01	7	125584367	158927795	21654	0.2739
17	TCGA-A6-2680-01A-01D-1549-01	8	562629	5192891	5331	-0.5871
18	TCGA-A6-2680-01A-01D-1549-01	8	5192930	5193997	5	-2.9906
19	TCGA-A6-2680-01A-01D-1549-01	8	5194198	40696404	26760	-0.5392
20	TCGA-A6-2680-01A-01D-1549-01	8	40698232	146288316	64476	0.1394
21	TCGA-A6-2680-01A-01D-1549-01	9	334524	140952916	80644	0.0015
22	TCGA-A6-2680-01A-01D-1549-01	10	111148	29781883	23415	-0.1347
23	TCGA-A6-2680-01A-01D-1549-01	10	29785191	29787438	5	-2.8246
24	TCGA-A6-2680-01A-01D-1549-01	10	29791718	135206873	68646	-0.1273
25	TCGA-A6-2680-01A-01D-1549-01	11	198510	134809090	88117	-0.0339
26	TCGA-A6-2680-01A-01D-1549-01	12	362522	113289070	71616	-0.0244
27	TCGA-A6-2680-01A-01D-1549-01	12	113289954	125641614	7995	-0.0525
28	TCGA-A6-2680-01A-01D-1549-01	12	125642887	125652159	10	-0.9501
29	TCGA-A6-2680-01A-01D-1549-01	12	125661053	133625276	6273	-0.0612
30	TCGA-A6-2680-01A-01D-1549-01	13	19418531	66051433	31340	0.8367
31	TCGA-A6-2680-01A-01D-1549-01	13	66053315	66058684	5	-0.7018
32	TCGA-A6-2680-01A-01D-1549-01	13	66061553	71277340	3456	0.8134
33	TCGA-A6-2680-01A-01D-1549-01	13	71277509	71280539	5	-0.3584
34	TCGA-A6-2680-01A-01D-1549-01	13	71281237	82117532	7493	0.8447
35	TCGA-A6-2680-01A-01D-1549-01	13	82117637	83083927	548	0.6727
36	TCGA-A6-2680-01A-01D-1549-01	13	83085241	114945972	22183	0.8285
37	TCGA-A6-2680-01A-01D-1549-01	14	20516291	103979543	54686	-0.3393
38	TCGA-A6-2680-01A-01D-1549-01	15	23222284	101935302	51640	-0.0154
39	TCGA-A6-2680-01A-01D-1549-01	16	2315245	90158838	52479	0.2217
40	TCGA-A6-2680-01A-01D-1549-01	17	193188	21066831	12689	-0.3693
41	TCGA-A6-2680-01A-01D-1549-01	17	21067306	81027417	33178	-0.0039
42	TCGA-A6-2680-01A-01D-1549-01	18	234058	77859855	51258	-0.3564
43	TCGA-A6-2680-01A-01D-1549-01	19	3123738	58866674	28911	-0.024
44	TCGA-A6-2680-01A-01D-1549-01	20	69283	62912463	42978	0.4865
45	TCGA-A6-2680-01A-01D-1549-01	21	15425304	47970581	24065	-0.0379
46	TCGA-A6-2680-01A-01D-1549-01	22	17305614	21982249	2731	-0.3652
47	TCGA-A6-2680-01A-01D-1549-01	22	21982340	21989621	6	-2.444
48	TCGA-A6-2680-01A-01D-1549-01	22	21990823	47060625	17658	-0.3653
