 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A01P-01A-21D-A080-01	1	1737357	249201800	144062	0.0021
1	TCGA-AA-A01P-01A-21D-A080-01	2	12784	242719805	151578	0.0016
2	TCGA-AA-A01P-01A-21D-A080-01	3	242241	59425650	40347	0.0023
3	TCGA-AA-A01P-01A-21D-A080-01	3	59428249	60016773	678	0.2579
4	TCGA-AA-A01P-01A-21D-A080-01	3	60016799	60284894	314	-0.0511
5	TCGA-AA-A01P-01A-21D-A080-01	3	60286386	60354626	71	-0.3585
6	TCGA-AA-A01P-01A-21D-A080-01	3	60359241	60388322	36	-0.8419
7	TCGA-AA-A01P-01A-21D-A080-01	3	60391557	60434122	53	-0.4528
8	TCGA-AA-A01P-01A-21D-A080-01	3	60434444	60509645	97	-0.7801
9	TCGA-AA-A01P-01A-21D-A080-01	3	60569048	60598617	39	-0.4435
10	TCGA-AA-A01P-01A-21D-A080-01	3	60604489	60817248	224	-0.0453
11	TCGA-AA-A01P-01A-21D-A080-01	3	60817322	61027076	204	-0.2822
12	TCGA-AA-A01P-01A-21D-A080-01	3	61027857	65692007	4029	-0.018
13	TCGA-AA-A01P-01A-21D-A080-01	3	65696380	65901999	186	-0.2239
14	TCGA-AA-A01P-01A-21D-A080-01	3	65902417	107116139	22926	-0.0137
15	TCGA-AA-A01P-01A-21D-A080-01	3	107117408	197764233	56654	0.0081
16	TCGA-AA-A01P-01A-21D-A080-01	4	193054	190451589	118420	-0.0055
17	TCGA-AA-A01P-01A-21D-A080-01	5	304462	180694888	114041	0.0005
18	TCGA-AA-A01P-01A-21D-A080-01	6	421317	1701626	1164	0.0621
19	TCGA-AA-A01P-01A-21D-A080-01	6	1701717	2124586	297	-0.3636
20	TCGA-AA-A01P-01A-21D-A080-01	6	2124999	54180961	35734	0.0111
21	TCGA-AA-A01P-01A-21D-A080-01	6	54181096	102408632	28243	-0.0112
22	TCGA-AA-A01P-01A-21D-A080-01	6	102409302	102417713	11	-0.8246
23	TCGA-AA-A01P-01A-21D-A080-01	6	102419313	105196719	1779	-0.029
24	TCGA-AA-A01P-01A-21D-A080-01	6	105198863	170903916	43805	0.0116
25	TCGA-AA-A01P-01A-21D-A080-01	7	704573	36867930	26528	0.0219
26	TCGA-AA-A01P-01A-21D-A080-01	7	36868010	152502886	68399	-0.0006
27	TCGA-AA-A01P-01A-21D-A080-01	7	152508064	158927795	4536	0.0323
28	TCGA-AA-A01P-01A-21D-A080-01	8	562629	146288316	96572	-0.0003
29	TCGA-AA-A01P-01A-21D-A080-01	9	334524	140952916	80644	-0.0004
30	TCGA-AA-A01P-01A-21D-A080-01	10	111148	135206873	92066	0.0038
31	TCGA-AA-A01P-01A-21D-A080-01	11	198510	134809090	88117	-0.0009
32	TCGA-AA-A01P-01A-21D-A080-01	12	362522	133625276	85894	0.0004
33	TCGA-AA-A01P-01A-21D-A080-01	13	19418531	53527461	23980	0.0126
34	TCGA-AA-A01P-01A-21D-A080-01	13	53527973	94929214	26391	-0.018
35	TCGA-AA-A01P-01A-21D-A080-01	13	94929371	114945972	14659	0.0146
36	TCGA-AA-A01P-01A-21D-A080-01	14	20516291	103979543	54686	-0.0024
37	TCGA-AA-A01P-01A-21D-A080-01	15	23222284	101935302	51640	0.0029
38	TCGA-AA-A01P-01A-21D-A080-01	16	2315245	6112470	2474	-0.0069
39	TCGA-AA-A01P-01A-21D-A080-01	16	6114873	6115507	5	-1.7932
40	TCGA-AA-A01P-01A-21D-A080-01	16	6115551	6306931	228	-0.0204
41	TCGA-AA-A01P-01A-21D-A080-01	16	6306989	6334991	28	-0.4309
42	TCGA-AA-A01P-01A-21D-A080-01	16	6335331	6762751	566	-0.8213
43	TCGA-AA-A01P-01A-21D-A080-01	16	6763141	6911441	210	-0.3706
44	TCGA-AA-A01P-01A-21D-A080-01	16	6914358	7009582	100	-0.7801
45	TCGA-AA-A01P-01A-21D-A080-01	16	7010776	7113413	115	-0.3774
46	TCGA-AA-A01P-01A-21D-A080-01	16	7113622	7519844	561	-0.0463
47	TCGA-AA-A01P-01A-21D-A080-01	16	7520235	7665388	184	0.2482
48	TCGA-AA-A01P-01A-21D-A080-01	16	7665891	63582686	27450	-0.0065
49	TCGA-AA-A01P-01A-21D-A080-01	16	63583652	63618245	28	-0.7612
50	TCGA-AA-A01P-01A-21D-A080-01	16	63619510	78442098	9815	0.0014
51	TCGA-AA-A01P-01A-21D-A080-01	16	78443832	78682507	319	-0.3362
52	TCGA-AA-A01P-01A-21D-A080-01	16	78687653	90158838	10396	0.0114
53	TCGA-AA-A01P-01A-21D-A080-01	17	193188	81027417	45867	-0.0028
54	TCGA-AA-A01P-01A-21D-A080-01	18	234058	77859855	51258	-0.0062
55	TCGA-AA-A01P-01A-21D-A080-01	19	3123738	58866674	28911	-0.0167
56	TCGA-AA-A01P-01A-21D-A080-01	20	69283	62912463	42978	0.0017
57	TCGA-AA-A01P-01A-21D-A080-01	21	15425304	47970581	24065	0.0055
58	TCGA-AA-A01P-01A-21D-A080-01	22	17305614	47060625	20395	0.0023
