 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-CA-5256-01A-01D-1406-01	1	1737357	41498308	22691	-0.244
1	TCGA-CA-5256-01A-01D-1406-01	1	41500611	236077026	111810	-0.2225
2	TCGA-CA-5256-01A-01D-1406-01	1	236077778	249201800	9561	-0.2419
3	TCGA-CA-5256-01A-01D-1406-01	2	12784	156019170	97551	0.1154
4	TCGA-CA-5256-01A-01D-1406-01	2	156019459	210026288	32854	0.1351
5	TCGA-CA-5256-01A-01D-1406-01	2	210026471	242719805	21173	0.1159
6	TCGA-CA-5256-01A-01D-1406-01	3	242241	60280255	41334	0.038
7	TCGA-CA-5256-01A-01D-1406-01	3	60280550	60323684	48	-0.3297
8	TCGA-CA-5256-01A-01D-1406-01	3	60325264	60370637	43	-0.0814
9	TCGA-CA-5256-01A-01D-1406-01	3	60372144	60409159	43	-0.3875
10	TCGA-CA-5256-01A-01D-1406-01	3	60410027	86498842	17889	0.0387
11	TCGA-CA-5256-01A-01D-1406-01	3	86502137	86621431	76	-0.9629
12	TCGA-CA-5256-01A-01D-1406-01	3	86627668	154493381	39474	0.0391
13	TCGA-CA-5256-01A-01D-1406-01	3	154494952	154495953	5	-1.8268
14	TCGA-CA-5256-01A-01D-1406-01	3	154496091	197764233	27012	0.0451
15	TCGA-CA-5256-01A-01D-1406-01	4	193054	190451589	118420	-0.2271
16	TCGA-CA-5256-01A-01D-1406-01	5	304462	1928889	850	0.1021
17	TCGA-CA-5256-01A-01D-1406-01	5	1930367	6392452	4145	0.0602
18	TCGA-CA-5256-01A-01D-1406-01	5	6392602	16503911	7759	0.1017
19	TCGA-CA-5256-01A-01D-1406-01	5	16507530	38798289	14209	0.0852
20	TCGA-CA-5256-01A-01D-1406-01	5	38798749	110416590	40504	0.1045
21	TCGA-CA-5256-01A-01D-1406-01	5	110454956	114237328	2872	-0.6706
22	TCGA-CA-5256-01A-01D-1406-01	5	114239278	180694888	43669	0.1014
23	TCGA-CA-5256-01A-01D-1406-01	6	421317	170903916	111036	-0.1627
24	TCGA-CA-5256-01A-01D-1406-01	7	704573	55300905	39709	0.3837
25	TCGA-CA-5256-01A-01D-1406-01	7	55302440	76046040	7749	0.339
26	TCGA-CA-5256-01A-01D-1406-01	7	76046324	158927795	52005	0.387
27	TCGA-CA-5256-01A-01D-1406-01	8	562629	115886433	75479	0.4359
28	TCGA-CA-5256-01A-01D-1406-01	8	115891626	116281314	274	0.1634
29	TCGA-CA-5256-01A-01D-1406-01	8	116283512	146288316	20819	0.4423
30	TCGA-CA-5256-01A-01D-1406-01	9	334524	140952916	80644	0.1134
31	TCGA-CA-5256-01A-01D-1406-01	10	111148	29310947	23000	0.1012
32	TCGA-CA-5256-01A-01D-1406-01	10	29311208	29316035	5	-1.4242
33	TCGA-CA-5256-01A-01D-1406-01	10	29317749	50436199	10631	0.0912
34	TCGA-CA-5256-01A-01D-1406-01	10	50436863	125182983	51197	0.115
35	TCGA-CA-5256-01A-01D-1406-01	10	125184436	135206873	7233	0.0912
36	TCGA-CA-5256-01A-01D-1406-01	11	198510	134809090	88117	-0.2208
37	TCGA-CA-5256-01A-01D-1406-01	12	362522	9033712	5839	-0.2359
38	TCGA-CA-5256-01A-01D-1406-01	12	9035849	102842552	58915	-0.2169
39	TCGA-CA-5256-01A-01D-1406-01	12	102844181	133625276	21140	-0.2411
40	TCGA-CA-5256-01A-01D-1406-01	13	19418531	114945972	65030	0.1185
41	TCGA-CA-5256-01A-01D-1406-01	14	20516291	56181518	22829	-0.2253
42	TCGA-CA-5256-01A-01D-1406-01	14	56185836	56272717	80	0.1679
43	TCGA-CA-5256-01A-01D-1406-01	14	56272831	103979543	31777	-0.233
44	TCGA-CA-5256-01A-01D-1406-01	15	23222284	101935302	51640	-0.2326
45	TCGA-CA-5256-01A-01D-1406-01	16	2315245	90158838	52479	0.1013
46	TCGA-CA-5256-01A-01D-1406-01	17	193188	22201452	13139	-0.7103
47	TCGA-CA-5256-01A-01D-1406-01	17	25301016	81027417	32699	0.1091
48	TCGA-CA-5256-01A-01D-1406-01	18	234058	3466304	2387	-0.3185
49	TCGA-CA-5256-01A-01D-1406-01	18	3478221	3693772	153	-0.6907
50	TCGA-CA-5256-01A-01D-1406-01	18	3694219	6852627	2327	-0.3142
51	TCGA-CA-5256-01A-01D-1406-01	18	6852653	9094400	1831	-0.3809
52	TCGA-CA-5256-01A-01D-1406-01	18	9095860	9585312	261	-0.2581
53	TCGA-CA-5256-01A-01D-1406-01	18	9589382	43559000	19666	-0.6755
54	TCGA-CA-5256-01A-01D-1406-01	18	43559997	45657767	1477	-1.1443
55	TCGA-CA-5256-01A-01D-1406-01	18	45657983	46296834	486	-0.7022
56	TCGA-CA-5256-01A-01D-1406-01	18	46297115	46839206	302	-1.1099
57	TCGA-CA-5256-01A-01D-1406-01	18	46842187	48441487	1201	-0.6741
58	TCGA-CA-5256-01A-01D-1406-01	18	48442563	51678343	2342	-1.1121
59	TCGA-CA-5256-01A-01D-1406-01	18	51680221	56064485	2807	-0.673
60	TCGA-CA-5256-01A-01D-1406-01	18	56065066	68050509	8772	-0.3377
61	TCGA-CA-5256-01A-01D-1406-01	18	68050814	71116863	2301	-0.6814
62	TCGA-CA-5256-01A-01D-1406-01	18	71118785	77082286	4587	-0.3423
63	TCGA-CA-5256-01A-01D-1406-01	18	77085473	77504098	180	-0.7327
64	TCGA-CA-5256-01A-01D-1406-01	18	77504861	77859855	178	-1.1814
65	TCGA-CA-5256-01A-01D-1406-01	19	3123738	58866674	28911	0.0858
66	TCGA-CA-5256-01A-01D-1406-01	20	69283	62912463	42978	0.8344
67	TCGA-CA-5256-01A-01D-1406-01	21	15425304	47970581	24065	-0.2288
68	TCGA-CA-5256-01A-01D-1406-01	22	17305614	47060625	20395	0.0759
