	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A02O-01A-21D-A079-02	1	10001	566137	0	-0.1967
1	TCGA-AA-A02O-01A-21D-A079-02	1	566138	570137	0	-1.5832
2	TCGA-AA-A02O-01A-21D-A079-02	1	570138	4019140	0	-0.0763
3	TCGA-AA-A02O-01A-21D-A079-02	1	4019141	57372412	0	-0.1293
4	TCGA-AA-A02O-01A-21D-A079-02	1	57372413	107268477	0	-0.1783
5	TCGA-AA-A02O-01A-21D-A079-02	1	107268478	121351477	0	-0.1478
6	TCGA-AA-A02O-01A-21D-A079-02	1	121351478	121357477	0	0.603
8	TCGA-AA-A02O-01A-21D-A079-02	1	142542478	158072376	0	-0.1313
9	TCGA-AA-A02O-01A-21D-A079-02	1	158072377	190293377	0	-0.162
10	TCGA-AA-A02O-01A-21D-A079-02	1	190293378	200999377	0	-0.1974
11	TCGA-AA-A02O-01A-21D-A079-02	1	200999378	208960377	0	-0.1269
12	TCGA-AA-A02O-01A-21D-A079-02	1	208960378	249233096	0	-0.1615
13	TCGA-AA-A02O-01A-21D-A079-02	2	10001	76507492	0	-0.16
14	TCGA-AA-A02O-01A-21D-A079-02	2	76507493	83917489	0	-0.2058
15	TCGA-AA-A02O-01A-21D-A079-02	2	83917490	92270273	0	-0.1435
16	TCGA-AA-A02O-01A-21D-A079-02	2	92270274	92315273	0	0.1727
17	TCGA-AA-A02O-01A-21D-A079-02	2	92315274	92319273	0	-0.0482
18	TCGA-AA-A02O-01A-21D-A079-02	2	92319274	92323273	0	0.2341
19	TCGA-AA-A02O-01A-21D-A079-02	2	92323274	139043530	0	-0.161
20	TCGA-AA-A02O-01A-21D-A079-02	2	139043531	148293530	0	-0.2113
21	TCGA-AA-A02O-01A-21D-A079-02	2	148293531	227391756	0	-0.1694
22	TCGA-AA-A02O-01A-21D-A079-02	2	227391757	243102327	0	-0.136
23	TCGA-AA-A02O-01A-21D-A079-02	3	60001	8886000	0	-0.1905
24	TCGA-AA-A02O-01A-21D-A079-02	3	8886001	13778999	0	-0.1346
25	TCGA-AA-A02O-01A-21D-A079-02	3	13779000	31440996	0	-0.1806
26	TCGA-AA-A02O-01A-21D-A079-02	3	31440997	47154996	0	-0.1532
27	TCGA-AA-A02O-01A-21D-A079-02	3	47154997	54469960	0	-0.116
28	TCGA-AA-A02O-01A-21D-A079-02	3	54469961	60231960	0	-0.1628
29	TCGA-AA-A02O-01A-21D-A079-02	3	60231961	60701960	0	-0.5864
30	TCGA-AA-A02O-01A-21D-A079-02	3	60701961	75687310	0	-0.1792
31	TCGA-AA-A02O-01A-21D-A079-02	3	75687311	75806310	0	-0.0026
32	TCGA-AA-A02O-01A-21D-A079-02	3	75806311	120561310	0	-0.1869
33	TCGA-AA-A02O-01A-21D-A079-02	3	120561311	142541310	0	-0.1496
34	TCGA-AA-A02O-01A-21D-A079-02	3	142541311	193066306	0	-0.175
35	TCGA-AA-A02O-01A-21D-A079-02	3	193066307	197959603	0	-0.1249
36	TCGA-AA-A02O-01A-21D-A079-02	4	10001	10251902	0	-0.1232
37	TCGA-AA-A02O-01A-21D-A079-02	4	10251903	17663902	0	-0.1583
38	TCGA-AA-A02O-01A-21D-A079-02	4	17663903	36770605	0	-0.1966
39	TCGA-AA-A02O-01A-21D-A079-02	4	36770606	41393243	0	-0.1361
40	TCGA-AA-A02O-01A-21D-A079-02	4	41393244	49088243	0	-0.1819
41	TCGA-AA-A02O-01A-21D-A079-02	4	49088244	49255243	0	0.0615
44	TCGA-AA-A02O-01A-21D-A079-02	4	52702244	68263405	0	-0.1832
45	TCGA-AA-A02O-01A-21D-A079-02	4	68263406	68268405	0	0.1507
46	TCGA-AA-A02O-01A-21D-A079-02	4	68268406	85660976	0	-0.1676
47	TCGA-AA-A02O-01A-21D-A079-02	4	85660977	85691976	0	-0.8953
48	TCGA-AA-A02O-01A-21D-A079-02	4	85691977	185348006	0	-0.1835
