 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A01T-01A-21D-A080-01	1	1737357	79685209	47650	-0.1485
1	TCGA-AA-A01T-01A-21D-A080-01	1	79687112	83982487	2903	-0.2183
2	TCGA-AA-A01T-01A-21D-A080-01	1	83983252	96189730	8179	-0.141
3	TCGA-AA-A01T-01A-21D-A080-01	1	96190467	107728297	6972	-0.1855
4	TCGA-AA-A01T-01A-21D-A080-01	1	107728631	186281957	34898	-0.1394
5	TCGA-AA-A01T-01A-21D-A080-01	1	186283822	200311343	9353	-0.1825
6	TCGA-AA-A01T-01A-21D-A080-01	1	200314618	211582319	7701	-0.1465
7	TCGA-AA-A01T-01A-21D-A080-01	1	211587254	211621615	19	0.0919
8	TCGA-AA-A01T-01A-21D-A080-01	1	211626437	215009374	2337	0.4329
9	TCGA-AA-A01T-01A-21D-A080-01	1	215009432	219690937	3411	0.1143
10	TCGA-AA-A01T-01A-21D-A080-01	1	219691711	229640911	6293	0.1732
11	TCGA-AA-A01T-01A-21D-A080-01	1	229645707	238579228	6859	0.1079
12	TCGA-AA-A01T-01A-21D-A080-01	1	238579304	238582573	5	-1.1568
13	TCGA-AA-A01T-01A-21D-A080-01	1	238582765	249201800	7482	0.0987
14	TCGA-AA-A01T-01A-21D-A080-01	2	12784	7715663	6058	0.0459
15	TCGA-AA-A01T-01A-21D-A080-01	2	7715804	36175700	19394	0.1043
16	TCGA-AA-A01T-01A-21D-A080-01	2	36177955	48269251	9010	0.1339
17	TCGA-AA-A01T-01A-21D-A080-01	2	48271125	116284103	38315	0.1033
18	TCGA-AA-A01T-01A-21D-A080-01	2	116284135	140675850	15295	0.0779
19	TCGA-AA-A01T-01A-21D-A080-01	2	140678237	148932898	4956	0.0244
20	TCGA-AA-A01T-01A-21D-A080-01	2	148934281	158007037	5617	0.0579
21	TCGA-AA-A01T-01A-21D-A080-01	2	158008003	209403185	31362	0.0859
22	TCGA-AA-A01T-01A-21D-A080-01	2	209406341	222978550	8865	0.0488
23	TCGA-AA-A01T-01A-21D-A080-01	2	222978780	234997631	7715	0.0862
24	TCGA-AA-A01T-01A-21D-A080-01	2	234998036	242719805	4991	0.0468
25	TCGA-AA-A01T-01A-21D-A080-01	3	242241	4319728	3747	0.0931
26	TCGA-AA-A01T-01A-21D-A080-01	3	4319797	16640941	9526	0.151
27	TCGA-AA-A01T-01A-21D-A080-01	3	16645330	29617267	8960	0.1239
28	TCGA-AA-A01T-01A-21D-A080-01	3	29618369	54548918	14823	0.1629
29	TCGA-AA-A01T-01A-21D-A080-01	3	54550146	56206591	1406	0.0955
30	TCGA-AA-A01T-01A-21D-A080-01	3	56206638	59757136	2223	0.1693
31	TCGA-AA-A01T-01A-21D-A080-01	3	59757241	60306891	666	0.0872
32	TCGA-AA-A01T-01A-21D-A080-01	3	60307263	60354626	59	-0.2566
33	TCGA-AA-A01T-01A-21D-A080-01	3	60359241	60488694	154	-1.0932
34	TCGA-AA-A01T-01A-21D-A080-01	3	60488758	60492926	6	-0.4778
35	TCGA-AA-A01T-01A-21D-A080-01	3	60493442	60586803	111	-0.863
36	TCGA-AA-A01T-01A-21D-A080-01	3	60586834	60593142	14	-0.4848
37	TCGA-AA-A01T-01A-21D-A080-01	3	60596343	60723910	146	-0.1828
38	TCGA-AA-A01T-01A-21D-A080-01	3	60723969	65897689	4501	0.1638
39	TCGA-AA-A01T-01A-21D-A080-01	3	65898103	113446837	26925	0.3868
40	TCGA-AA-A01T-01A-21D-A080-01	3	113448139	174659364	37991	0.1356
41	TCGA-AA-A01T-01A-21D-A080-01	3	174663877	174749965	62	-0.2359
42	TCGA-AA-A01T-01A-21D-A080-01	3	174750160	174804968	34	-0.5808
43	TCGA-AA-A01T-01A-21D-A080-01	3	174807929	174889683	53	-0.2283
44	TCGA-AA-A01T-01A-21D-A080-01	3	174889887	174952260	81	-0.7224
45	TCGA-AA-A01T-01A-21D-A080-01	3	174953789	175146427	194	-0.2045
46	TCGA-AA-A01T-01A-21D-A080-01	3	175147306	197764233	14242	0.1409
47	TCGA-AA-A01T-01A-21D-A080-01	4	193054	69657899	42855	-0.2306
48	TCGA-AA-A01T-01A-21D-A080-01	4	69658642	72660813	1795	0.1369
49	TCGA-AA-A01T-01A-21D-A080-01	4	72662666	73172049	297	-0.0368
50	TCGA-AA-A01T-01A-21D-A080-01	4	73173019	91619018	11676	0.1283
51	TCGA-AA-A01T-01A-21D-A080-01	4	91619034	98428678	4097	0.0665
52	TCGA-AA-A01T-01A-21D-A080-01	4	98431397	130627172	19402	0.1075
53	TCGA-AA-A01T-01A-21D-A080-01	4	130627361	138345307	4382	0.0564
54	TCGA-AA-A01T-01A-21D-A080-01	4	138348719	149209876	6779	0.1116
55	TCGA-AA-A01T-01A-21D-A080-01	4	149210464	149337699	92	-0.2493
56	TCGA-AA-A01T-01A-21D-A080-01	4	149339637	161517137	7534	0.114
57	TCGA-AA-A01T-01A-21D-A080-01	4	161517474	183862738	14904	0.0699
58	TCGA-AA-A01T-01A-21D-A080-01	4	183863027	190451589	4607	0.1107
