 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A01Y-01A-41D-A080-01	1	1737357	2014680	85	-0.671
1	TCGA-AG-A01Y-01A-41D-A080-01	1	2015354	4847594	1491	-0.8679
2	TCGA-AG-A01Y-01A-41D-A080-01	1	4847946	34383662	17039	-0.7503
3	TCGA-AG-A01Y-01A-41D-A080-01	1	34384470	58931706	14967	0.0176
4	TCGA-AG-A01Y-01A-41D-A080-01	1	58932578	110134774	33619	0.06
6	TCGA-AG-A01Y-01A-41D-A080-01	1	150286434	150637711	141	0.5593
7	TCGA-AG-A01Y-01A-41D-A080-01	1	150643880	212227287	41659	0.0497
8	TCGA-AG-A01Y-01A-41D-A080-01	1	212227622	212526172	185	-0.6331
9	TCGA-AG-A01Y-01A-41D-A080-01	1	212526288	234838565	15604	0.0385
10	TCGA-AG-A01Y-01A-41D-A080-01	1	234838606	235273150	276	1.9898
11	TCGA-AG-A01Y-01A-41D-A080-01	1	235273179	235567787	118	0.8959
12	TCGA-AG-A01Y-01A-41D-A080-01	1	235568577	249201800	9835	0.5164
13	TCGA-AG-A01Y-01A-41D-A080-01	2	12784	3344258	2386	-0.0273
14	TCGA-AG-A01Y-01A-41D-A080-01	2	3344347	5444440	1601	0.0539
15	TCGA-AG-A01Y-01A-41D-A080-01	2	5449582	5486721	37	-0.0324
16	TCGA-AG-A01Y-01A-41D-A080-01	2	5488456	5501506	16	-0.4294
17	TCGA-AG-A01Y-01A-41D-A080-01	2	5502314	7238223	1607	-0.0264
18	TCGA-AG-A01Y-01A-41D-A080-01	2	7238284	29393262	14971	0.0405
19	TCGA-AG-A01Y-01A-41D-A080-01	2	29401465	31575422	1790	-0.0033
20	TCGA-AG-A01Y-01A-41D-A080-01	2	31576634	35345507	2422	0.0535
21	TCGA-AG-A01Y-01A-41D-A080-01	2	35351260	44773485	7059	0.084
22	TCGA-AG-A01Y-01A-41D-A080-01	2	44773832	75720664	20673	0.0557
23	TCGA-AG-A01Y-01A-41D-A080-01	2	75721165	135554559	32332	0.0321
24	TCGA-AG-A01Y-01A-41D-A080-01	2	135554990	152762241	10614	0.0572
25	TCGA-AG-A01Y-01A-41D-A080-01	2	152762540	155566922	1800	0.0377
26	TCGA-AG-A01Y-01A-41D-A080-01	2	155570067	181919053	16456	0.08
27	TCGA-AG-A01Y-01A-41D-A080-01	2	181920338	201449148	11364	0.0988
28	TCGA-AG-A01Y-01A-41D-A080-01	2	201449442	217057371	9832	0.0676
29	TCGA-AG-A01Y-01A-41D-A080-01	2	217059254	224010244	4587	0.0335
30	TCGA-AG-A01Y-01A-41D-A080-01	2	224010452	230265524	4223	0.0739
31	TCGA-AG-A01Y-01A-41D-A080-01	2	230267912	233805499	1975	0.0416
32	TCGA-AG-A01Y-01A-41D-A080-01	2	233810846	242719805	5833	-0.0041
33	TCGA-AG-A01Y-01A-41D-A080-01	3	242241	17182931	13626	0.0252
34	TCGA-AG-A01Y-01A-41D-A080-01	3	17184640	18589151	733	0.103
35	TCGA-AG-A01Y-01A-41D-A080-01	3	18591559	29511045	7798	0.0495
36	TCGA-AG-A01Y-01A-41D-A080-01	3	29512221	31084868	1217	0.1089
37	TCGA-AG-A01Y-01A-41D-A080-01	3	31085564	41810364	7041	0.0505
38	TCGA-AG-A01Y-01A-41D-A080-01	3	41810481	79174627	24917	0.0289
39	TCGA-AG-A01Y-01A-41D-A080-01	3	79175867	122611380	23595	0.0683
40	TCGA-AG-A01Y-01A-41D-A080-01	3	122611592	129133463	4078	0.0178
41	TCGA-AG-A01Y-01A-41D-A080-01	3	129134410	134537888	3461	0.061
42	TCGA-AG-A01Y-01A-41D-A080-01	3	134543661	134859834	277	-0.0505
43	TCGA-AG-A01Y-01A-41D-A080-01	3	134860100	138981318	2168	0.052
44	TCGA-AG-A01Y-01A-41D-A080-01	3	138981458	140477809	1201	-0.0087
45	TCGA-AG-A01Y-01A-41D-A080-01	3	140477828	167596899	16559	0.0658
46	TCGA-AG-A01Y-01A-41D-A080-01	3	167597616	177370098	6413	0.0968
47	TCGA-AG-A01Y-01A-41D-A080-01	3	177372108	188904109	7286	0.0557
48	TCGA-AG-A01Y-01A-41D-A080-01	3	188907495	190714918	1347	0.1113
49	TCGA-AG-A01Y-01A-41D-A080-01	3	190715554	193468654	1960	0.0595
50	TCGA-AG-A01Y-01A-41D-A080-01	3	193470638	197764233	2247	0.0312
51	TCGA-AG-A01Y-01A-41D-A080-01	4	193054	4638578	1992	0.0111
52	TCGA-AG-A01Y-01A-41D-A080-01	4	4639398	10470655	4064	-0.0293
