	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A01W-01A-21D-A079-02	1	10001	567137	0	0.028
1	TCGA-AG-A01W-01A-21D-A079-02	1	567138	571137	0	-1.0855
2	TCGA-AG-A01W-01A-21D-A079-02	1	571138	825137	0	-0.0983
3	TCGA-AG-A01W-01A-21D-A079-02	1	825138	5598413	0	-0.4235
4	TCGA-AG-A01W-01A-21D-A079-02	1	5598414	121478477	0	-0.3707
6	TCGA-AG-A01W-01A-21D-A079-02	1	142680478	145096643	0	0.0557
7	TCGA-AG-A01W-01A-21D-A079-02	1	145096644	152555376	0	0.325
8	TCGA-AG-A01W-01A-21D-A079-02	1	152555377	152587376	0	-0.5536
9	TCGA-AG-A01W-01A-21D-A079-02	1	152587377	156185376	0	0.3278
10	TCGA-AG-A01W-01A-21D-A079-02	1	156185377	156187376	0	-0.342
11	TCGA-AG-A01W-01A-21D-A079-02	1	156187377	179893377	0	0.3083
12	TCGA-AG-A01W-01A-21D-A079-02	1	179893378	180207377	0	-0.8397
13	TCGA-AG-A01W-01A-21D-A079-02	1	180207378	189394377	0	0.2834
14	TCGA-AG-A01W-01A-21D-A079-02	1	189394378	189487377	0	-0.384
15	TCGA-AG-A01W-01A-21D-A079-02	1	189487378	197575377	0	0.2698
16	TCGA-AG-A01W-01A-21D-A079-02	1	197575378	205472377	0	0.3059
17	TCGA-AG-A01W-01A-21D-A079-02	1	205472378	226051377	0	0.0889
18	TCGA-AG-A01W-01A-21D-A079-02	1	226051378	233388377	0	0.2991
19	TCGA-AG-A01W-01A-21D-A079-02	1	233388378	236442377	0	-0.8957
20	TCGA-AG-A01W-01A-21D-A079-02	1	236442378	244054377	0	0.2646
21	TCGA-AG-A01W-01A-21D-A079-02	1	244054378	249233096	0	0.3164
22	TCGA-AG-A01W-01A-21D-A079-02	2	10001	6704549	0	-0.0334
23	TCGA-AG-A01W-01A-21D-A079-02	2	6704550	7574549	0	-0.3771
24	TCGA-AG-A01W-01A-21D-A079-02	2	7574550	82651489	0	0.0081
25	TCGA-AG-A01W-01A-21D-A079-02	2	82651490	83104489	0	-0.3685
26	TCGA-AG-A01W-01A-21D-A079-02	2	83104490	89603885	0	0.0184
28	TCGA-AG-A01W-01A-21D-A079-02	2	91679274	92167273	0	-0.0244
29	TCGA-AG-A01W-01A-21D-A079-02	2	92167274	92270273	0	0.2377
31	TCGA-AG-A01W-01A-21D-A079-02	2	95329274	115011530	0	0.3181
32	TCGA-AG-A01W-01A-21D-A079-02	2	115011531	129897530	0	0.2821
33	TCGA-AG-A01W-01A-21D-A079-02	2	129897531	130261530	0	0.0636
34	TCGA-AG-A01W-01A-21D-A079-02	2	130261531	132933530	0	0.3021
35	TCGA-AG-A01W-01A-21D-A079-02	2	132933531	133045530	0	-0.0222
36	TCGA-AG-A01W-01A-21D-A079-02	2	133045531	160756754	0	0.2992
37	TCGA-AG-A01W-01A-21D-A079-02	2	160756755	161049754	0	-0.361
38	TCGA-AG-A01W-01A-21D-A079-02	2	161049755	175266754	0	0.3343
39	TCGA-AG-A01W-01A-21D-A079-02	2	175266755	175422754	0	-0.3442
