	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A01N-01A-01D-A077-02	1	10132	2472231	0	-0.928090838392335
1	TCGA-AG-A01N-01A-01D-A077-02	1	2472232	121350946	0	-0.244054382713384
2	TCGA-AG-A01N-01A-01D-A077-02	1	144850070	249233082	0	0.317557592680448
3	TCGA-AG-A01N-01A-01D-A077-02	2	10001	243102462	0	0.0975454712944067
4	TCGA-AG-A01N-01A-01D-A077-02	3	60174	90313937	0	-0.184342588011401
6	TCGA-AG-A01N-01A-01D-A077-02	3	93527876	197962416	0	-0.190750501254035
7	TCGA-AG-A01N-01A-01D-A077-02	4	68789	191029068	0	-0.188476669543514
8	TCGA-AG-A01N-01A-01D-A077-02	5	11769	45909151	0	0.0907435488449416
9	TCGA-AG-A01N-01A-01D-A077-02	5	45909152	46309708	0	-0.855876230392079
10	TCGA-AG-A01N-01A-01D-A077-02	5	49558972	180905246	0	0.108573025318848
11	TCGA-AG-A01N-01A-01D-A077-02	6	63814	171050932	0	0.0912402608727643
12	TCGA-AG-A01N-01A-01D-A077-02	7	10238	159128554	0	0.304429901174446
13	TCGA-AG-A01N-01A-01D-A077-02	8	16292	31580253	0	-1.04898392727881
14	TCGA-AG-A01N-01A-01D-A077-02	8	31580254	31837277	0	0.553646921564646
15	TCGA-AG-A01N-01A-01D-A077-02	8	31837278	36316679	0	-1.02835475598387
16	TCGA-AG-A01N-01A-01D-A077-02	8	36316680	48181428	0	0.299418583377741
17	TCGA-AG-A01N-01A-01D-A077-02	8	48181429	145561549	0	0.734240140387178
18	TCGA-AG-A01N-01A-01D-A077-02	9	10001	66341798	0	-0.121364774883049
19	TCGA-AG-A01N-01A-01D-A077-02	9	67363109	141148894	0	-0.352728996255759
20	TCGA-AG-A01N-01A-01D-A077-02	10	61818	135524618	0	-0.206788416819021
21	TCGA-AG-A01N-01A-01D-A077-02	11	61356	48659226	0	0.00607566279051169
22	TCGA-AG-A01N-01A-01D-A077-02	11	48659227	48963943	0	-1.42228416093854
23	TCGA-AG-A01N-01A-01D-A077-02	11	48963944	50475543	0	-0.246508043116452
25	TCGA-AG-A01N-01A-01D-A077-02	11	55026534	134946515	0	0.00248052797579403
26	TCGA-AG-A01N-01A-01D-A077-02	12	146650	34372518	0	-0.207146545147212
28	TCGA-AG-A01N-01A-01D-A077-02	12	38449507	133779447	0	-0.235502119475135
29	TCGA-AG-A01N-01A-01D-A077-02	13	19020028	115109864	0	-0.163367691737345
30	TCGA-AG-A01N-01A-01D-A077-02	14	19059929	107289526	0	-0.224809102245911
31	TCGA-AG-A01N-01A-01D-A077-02	15	22589469	102521216	0	-0.222084577819642
32	TCGA-AG-A01N-01A-01D-A077-02	16	60001	90294729	0	0.253341387206015
33	TCGA-AG-A01N-01A-01D-A077-02	17	1	22262206	0	-0.708943193989823
34	TCGA-AG-A01N-01A-01D-A077-02	17	25300636	81060000	0	-0.0146470910239212
35	TCGA-AG-A01N-01A-01D-A077-02	18	10064	78016133	0	-0.556865172023898
36	TCGA-AG-A01N-01A-01D-A077-02	19	70880	24513715	0	-0.386043481590843
37	TCGA-AG-A01N-01A-01D-A077-02	19	27893296	28125140	0	-0.96584608301814
38	TCGA-AG-A01N-01A-01D-A077-02	19	28125141	59114825	0	-0.200603808343134
39	TCGA-AG-A01N-01A-01D-A077-02	20	60001	25736283	0	-0.550142213763322
40	TCGA-AG-A01N-01A-01D-A077-02	20	25736284	50913970	0	1.15166960008727
41	TCGA-AG-A01N-01A-01D-A077-02	20	50913971	60597637	0	0.887865290262554
42	TCGA-AG-A01N-01A-01D-A077-02	21	14382473	48119754	0	-0.563559525557893
43	TCGA-AG-A01N-01A-01D-A077-02	22	16051206	51244552	0	-0.376943317304752
44	TCGA-AG-A01N-01A-01D-A077-02	X	2699503	66552229	0	0.754447375097294
45	TCGA-AG-A01N-01A-01D-A077-02	X	66552230	74933698	0	-0.262471291380384
46	TCGA-AG-A01N-01A-01D-A077-02	X	74933699	76732929	0	-0.694283342867366
47	TCGA-AG-A01N-01A-01D-A077-02	X	76732930	154930285	0	-0.178682373123353
48	TCGA-AG-A01N-01A-01D-A077-02	Y	2649474	28783863	0	-1.09948545544576
