 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A020-01A-21D-A080-01	1	1737357	5562108	2165	-0.0415
1	TCGA-AG-A020-01A-21D-A080-01	1	5562369	58931706	31417	0.0076
2	TCGA-AG-A020-01A-21D-A080-01	1	58932578	235443504	100594	0.0307
3	TCGA-AG-A020-01A-21D-A080-01	1	235444022	249201800	9886	0.0058
4	TCGA-AG-A020-01A-21D-A080-01	2	12784	370464	240	0.0976
5	TCGA-AG-A020-01A-21D-A080-01	2	370778	6658248	4898	0.0226
6	TCGA-AG-A020-01A-21D-A080-01	2	6658380	35393434	19710	0.0669
7	TCGA-AG-A020-01A-21D-A080-01	2	35395844	49464907	10394	0.0936
8	TCGA-AG-A020-01A-21D-A080-01	2	49465361	53765866	3244	0.0568
9	TCGA-AG-A020-01A-21D-A080-01	2	53770943	56241297	1718	0.1156
10	TCGA-AG-A020-01A-21D-A080-01	2	56245554	62883868	4213	0.0493
11	TCGA-AG-A020-01A-21D-A080-01	2	62883920	70935600	5354	0.0897
12	TCGA-AG-A020-01A-21D-A080-01	2	70936861	132243941	32912	0.0609
13	TCGA-AG-A020-01A-21D-A080-01	2	132250966	133117260	308	0.574
14	TCGA-AG-A020-01A-21D-A080-01	2	133121946	147383718	9241	0.0654
15	TCGA-AG-A020-01A-21D-A080-01	2	147384544	211790821	39205	0.0924
16	TCGA-AG-A020-01A-21D-A080-01	2	211790928	222022592	6740	0.0513
17	TCGA-AG-A020-01A-21D-A080-01	2	222023421	235016742	8431	0.0888
18	TCGA-AG-A020-01A-21D-A080-01	2	235019845	242719805	4966	0.0556
19	TCGA-AG-A020-01A-21D-A080-01	3	242241	1606011	1222	0.0824
20	TCGA-AG-A020-01A-21D-A080-01	3	1609737	1624929	26	-0.7034
21	TCGA-AG-A020-01A-21D-A080-01	3	1626006	118188090	75171	0.1197
22	TCGA-AG-A020-01A-21D-A080-01	3	118191694	118677344	309	0.5891
23	TCGA-AG-A020-01A-21D-A080-01	3	118681862	134502092	9714	0.1269
24	TCGA-AG-A020-01A-21D-A080-01	3	134502419	134933616	368	0.0402
25	TCGA-AG-A020-01A-21D-A080-01	3	134934533	139759383	2672	0.1084
26	TCGA-AG-A020-01A-21D-A080-01	3	139760721	140463340	620	0.0505
27	TCGA-AG-A020-01A-21D-A080-01	3	140463991	156528447	10030	0.1312
