 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A01G-01A-01D-A003-01	1	1737357	1870315	52	0.0066
1	TCGA-AA-A01G-01A-01D-A003-01	1	1871320	5597230	2143	-0.2224
2	TCGA-AA-A01G-01A-01D-A003-01	1	5597755	7611606	1294	-0.1393
3	TCGA-AA-A01G-01A-01D-A003-01	1	7612284	11118144	1898	-0.0521
4	TCGA-AA-A01G-01A-01D-A003-01	1	11128075	23289304	7427	-0.1277
5	TCGA-AA-A01G-01A-01D-A003-01	1	23291582	25216419	1018	-0.0235
6	TCGA-AA-A01G-01A-01D-A003-01	1	25220541	26205438	526	-0.2123
7	TCGA-AA-A01G-01A-01D-A003-01	1	26207244	29387649	1328	-0.0282
8	TCGA-AA-A01G-01A-01D-A003-01	1	29388689	58910694	17869	-0.1128
9	TCGA-AA-A01G-01A-01D-A003-01	1	58912438	68491019	7064	-0.0475
10	TCGA-AA-A01G-01A-01D-A003-01	1	68491726	198821238	68265	-0.0827
11	TCGA-AA-A01G-01A-01D-A003-01	1	198822435	200980698	1456	-0.0188
12	TCGA-AA-A01G-01A-01D-A003-01	1	200980721	217172392	11266	-0.0998
13	TCGA-AA-A01G-01A-01D-A003-01	1	217173290	217180260	5	-1.6656
14	TCGA-AA-A01G-01A-01D-A003-01	1	217180432	249201800	22451	-0.0923
15	TCGA-AA-A01G-01A-01D-A003-01	2	12784	7244085	5659	-0.1747
16	TCGA-AA-A01G-01A-01D-A003-01	2	7244100	41801381	24087	-0.0915
17	TCGA-AA-A01G-01A-01D-A003-01	2	41801834	44938318	2242	-0.0266
18	TCGA-AA-A01G-01A-01D-A003-01	2	44938350	52924478	5775	-0.1009
19	TCGA-AA-A01G-01A-01D-A003-01	2	52928305	52970265	45	-1.3168
20	TCGA-AA-A01G-01A-01D-A003-01	2	52972586	77419061	15997	-0.0821
21	TCGA-AA-A01G-01A-01D-A003-01	2	77419075	77860609	270	-0.7374
22	TCGA-AA-A01G-01A-01D-A003-01	2	77861804	78132757	197	-0.1503
23	TCGA-AA-A01G-01A-01D-A003-01	2	78134981	78396267	166	-0.3793
24	TCGA-AA-A01G-01A-01D-A003-01	2	78399695	83136642	3155	-0.1108
25	TCGA-AA-A01G-01A-01D-A003-01	2	83136823	103395388	7699	-0.0684
26	TCGA-AA-A01G-01A-01D-A003-01	2	103397801	132250966	17396	-0.1145
27	TCGA-AA-A01G-01A-01D-A003-01	2	133051972	133114639	26	0.5374
28	TCGA-AA-A01G-01A-01D-A003-01	2	133115037	148578445	9887	-0.1096
29	TCGA-AA-A01G-01A-01D-A003-01	2	148579646	210118492	37582	-0.059
30	TCGA-AA-A01G-01A-01D-A003-01	2	210118574	237169045	17701	-0.0943
31	TCGA-AA-A01G-01A-01D-A003-01	2	237169806	241960613	3070	-0.1856
32	TCGA-AA-A01G-01A-01D-A003-01	2	241960749	242719805	345	-0.0882
33	TCGA-AA-A01G-01A-01D-A003-01	3	242241	177314359	113042	-0.094
34	TCGA-AA-A01G-01A-01D-A003-01	3	177314408	177406327	63	0.4411
35	TCGA-AA-A01G-01A-01D-A003-01	3	177408279	197764233	12819	-0.0811
36	TCGA-AA-A01G-01A-01D-A003-01	4	193054	4802288	2120	-0.1023
37	TCGA-AA-A01G-01A-01D-A003-01	4	4803304	6448727	1449	-0.206
38	TCGA-AA-A01G-01A-01D-A003-01	4	6456178	35636227	19983	-0.1066
39	TCGA-AA-A01G-01A-01D-A003-01	4	35638736	57897072	12024	-0.0776
40	TCGA-AA-A01G-01A-01D-A003-01	4	57897864	68011953	6391	-0.1214
41	TCGA-AA-A01G-01A-01D-A003-01	4	68016579	73927823	3490	-0.0834
42	TCGA-AA-A01G-01A-01D-A003-01	4	73931526	78101054	2621	-0.0203
43	TCGA-AA-A01G-01A-01D-A003-01	4	78102083	175791328	59898	-0.0783
44	TCGA-AA-A01G-01A-01D-A003-01	4	175792520	183824984	5811	-0.1303
45	TCGA-AA-A01G-01A-01D-A003-01	4	183825476	188399034	3169	-0.0618
46	TCGA-AA-A01G-01A-01D-A003-01	4	188400337	190451589	1464	-0.1624
47	TCGA-AA-A01G-01A-01D-A003-01	5	304462	8291120	6573	-0.1951
48	TCGA-AA-A01G-01A-01D-A003-01	5	8291230	31751813	15621	-0.11
49	TCGA-AA-A01G-01A-01D-A003-01	5	31753135	150382372	71265	-0.0809
50	TCGA-AA-A01G-01A-01D-A003-01	5	150384335	168444993	12528	-0.1112
51	TCGA-AA-A01G-01A-01D-A003-01	5	168446349	170021816	1372	-0.1992
52	TCGA-AA-A01G-01A-01D-A003-01	5	170022668	177616112	4762	-0.1072
53	TCGA-AA-A01G-01A-01D-A003-01	5	177616209	180694888	1920	-0.152
54	TCGA-AA-A01G-01A-01D-A003-01	6	421317	33624157	23671	-0.0828
55	TCGA-AA-A01G-01A-01D-A003-01	6	33624221	34137652	394	-0.2641
56	TCGA-AA-A01G-01A-01D-A003-01	6	34138089	39727536	3541	-0.0781
57	TCGA-AA-A01G-01A-01D-A003-01	6	39727593	40785567	932	-0.2168
58	TCGA-AA-A01G-01A-01D-A003-01	6	40786064	88789228	28206	-0.0764
59	TCGA-AA-A01G-01A-01D-A003-01	6	88793442	105811336	10836	-0.1079
60	TCGA-AA-A01G-01A-01D-A003-01	6	105811507	161255432	36242	-0.0727
61	TCGA-AA-A01G-01A-01D-A003-01	6	161255544	162533732	1095	-0.1651
62	TCGA-AA-A01G-01A-01D-A003-01	6	162537103	162705860	126	-0.5267
63	TCGA-AA-A01G-01A-01D-A003-01	6	162706581	170903916	5993	-0.1573
64	TCGA-AA-A01G-01A-01D-A003-01	7	704573	4501762	2271	-0.1529
65	TCGA-AA-A01G-01A-01D-A003-01	7	4502285	16130019	8723	-0.079
66	TCGA-AA-A01G-01A-01D-A003-01	7	16136350	17437720	1018	0.0154
67	TCGA-AA-A01G-01A-01D-A003-01	7	17438101	30694319	10201	-0.0681
68	TCGA-AA-A01G-01A-01D-A003-01	7	30695244	72770759	24305	-0.1187
69	TCGA-AA-A01G-01A-01D-A003-01	7	72774306	109595209	21608	-0.074
70	TCGA-AA-A01G-01A-01D-A003-01	7	109597744	110743342	781	-0.2119
71	TCGA-AA-A01G-01A-01D-A003-01	7	110743984	131317755	12252	-0.067
72	TCGA-AA-A01G-01A-01D-A003-01	7	131317893	137578897	4407	-0.1189
