 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AA-A02H-01A-01D-A008-01	1	1737357	11763152	5737	-0.5063
1	TCGA-AA-A02H-01A-01D-A008-01	1	11763666	11770653	5	-2.8768
2	TCGA-AA-A02H-01A-01D-A008-01	1	11771126	36862254	14233	-0.4867
3	TCGA-AA-A02H-01A-01D-A008-01	1	36867234	36873318	5	-3.1856
4	TCGA-AA-A02H-01A-01D-A008-01	1	36874242	55548189	10763	-0.4737
5	TCGA-AA-A02H-01A-01D-A008-01	1	55552207	59542541	3303	-0.4312
6	TCGA-AA-A02H-01A-01D-A008-01	1	59542933	59546039	5	-2.1608
7	TCGA-AA-A02H-01A-01D-A008-01	1	59547655	119810406	39761	-0.3935
8	TCGA-AA-A02H-01A-01D-A008-01	1	119818923	119868715	46	-0.6208
9	TCGA-AA-A02H-01A-01D-A008-01	1	119875105	185563418	26314	0.0425
10	TCGA-AA-A02H-01A-01D-A008-01	1	185563814	199193727	8963	0.085
11	TCGA-AA-A02H-01A-01D-A008-01	1	199193889	249201800	34927	0.0319
12	TCGA-AA-A02H-01A-01D-A008-01	2	12784	3680866	2550	-0.0149
13	TCGA-AA-A02H-01A-01D-A008-01	2	3682031	18122198	11118	0.0381
14	TCGA-AA-A02H-01A-01D-A008-01	2	18123412	18125437	5	-1.9272
15	TCGA-AA-A02H-01A-01D-A008-01	2	18129169	38491993	13699	0.0449
16	TCGA-AA-A02H-01A-01D-A008-01	2	38492587	38577286	52	0.7798
17	TCGA-AA-A02H-01A-01D-A008-01	2	38587992	49331292	7727	0.0601
18	TCGA-AA-A02H-01A-01D-A008-01	2	49340661	49431384	73	0.7336
19	TCGA-AA-A02H-01A-01D-A008-01	2	49432726	84865356	23372	0.0624
20	TCGA-AA-A02H-01A-01D-A008-01	2	84865926	132250966	24088	0.0323
21	TCGA-AA-A02H-01A-01D-A008-01	2	133051972	133117260	28	0.8408
22	TCGA-AA-A02H-01A-01D-A008-01	2	133121946	137922988	3363	0.0347
23	TCGA-AA-A02H-01A-01D-A008-01	2	137923761	215510389	47568	0.0627
24	TCGA-AA-A02H-01A-01D-A008-01	2	215512471	230079962	9705	0.0258
25	TCGA-AA-A02H-01A-01D-A008-01	2	230080452	242719805	7947	-0.0285
26	TCGA-AA-A02H-01A-01D-A008-01	3	242241	12826932	10609	-0.4289
27	TCGA-AA-A02H-01A-01D-A008-01	3	12829315	13941390	811	-0.5871
28	TCGA-AA-A02H-01A-01D-A008-01	3	13944838	17281330	2263	-0.4702
29	TCGA-AA-A02H-01A-01D-A008-01	3	17281364	36592962	13237	-0.4082
30	TCGA-AA-A02H-01A-01D-A008-01	3	36593471	60572764	14746	-0.4562
