 	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-AG-A02G-01A-01D-A008-01	1	1737357	78118536	46777	-0.4293
1	TCGA-AG-A02G-01A-01D-A008-01	1	78136295	78409911	108	-0.902
2	TCGA-AG-A02G-01A-01D-A008-01	1	78413357	111401889	21300	-0.4152
3	TCGA-AG-A02G-01A-01D-A008-01	1	111403495	113389363	1555	1.7508
4	TCGA-AG-A02G-01A-01D-A008-01	1	113395162	115554303	1262	1.5011
5	TCGA-AG-A02G-01A-01D-A008-01	1	116128030	193720225	34175	0.3829
6	TCGA-AG-A02G-01A-01D-A008-01	1	193722284	193735519	5	2.065
7	TCGA-AG-A02G-01A-01D-A008-01	1	193737458	249201800	38442	0.3785
8	TCGA-AG-A02G-01A-01D-A008-01	2	12784	8786605	6934	0.0338
9	TCGA-AG-A02G-01A-01D-A008-01	2	8788419	132250966	75754	0.0712
10	TCGA-AG-A02G-01A-01D-A008-01	2	133051972	133117260	28	0.9839
11	TCGA-AG-A02G-01A-01D-A008-01	2	133121946	153631232	13097	0.0663
12	TCGA-AG-A02G-01A-01D-A008-01	2	153631799	197696244	26799	-0.4374
13	TCGA-AG-A02G-01A-01D-A008-01	2	197710126	236285645	24700	0.0703
14	TCGA-AG-A02G-01A-01D-A008-01	2	236288562	242719805	3983	0.0218
15	TCGA-AG-A02G-01A-01D-A008-01	3	242241	31669151	23780	-0.0192
16	TCGA-AG-A02G-01A-01D-A008-01	3	31677989	31799254	83	-0.4535
17	TCGA-AG-A02G-01A-01D-A008-01	3	31799657	61005263	18245	-0.0149
18	TCGA-AG-A02G-01A-01D-A008-01	3	61011409	61293686	266	-1.1184
19	TCGA-AG-A02G-01A-01D-A008-01	3	61297328	165755958	63322	-0.0116
20	TCGA-AG-A02G-01A-01D-A008-01	3	165762898	165790022	25	-1.3333
21	TCGA-AG-A02G-01A-01D-A008-01	3	165791692	173663702	4886	-0.0049
22	TCGA-AG-A02G-01A-01D-A008-01	3	173666046	175190425	1111	-0.5051
23	TCGA-AG-A02G-01A-01D-A008-01	3	175190505	175969120	481	0.3403
24	TCGA-AG-A02G-01A-01D-A008-01	3	175969460	176369232	257	-0.4751
25	TCGA-AG-A02G-01A-01D-A008-01	3	176380744	197764233	13467	-0.0091
26	TCGA-AG-A02G-01A-01D-A008-01	4	193054	23784838	15817	-0.4466
27	TCGA-AG-A02G-01A-01D-A008-01	4	23790132	29517930	3969	0.0223
28	TCGA-AG-A02G-01A-01D-A008-01	4	29518751	29923749	281	-0.4262
29	TCGA-AG-A02G-01A-01D-A008-01	4	29926241	32382349	1547	0.0352
30	TCGA-AG-A02G-01A-01D-A008-01	4	32385518	43166741	7029	-0.4206
31	TCGA-AG-A02G-01A-01D-A008-01	4	43172730	45072206	1142	0.0334
32	TCGA-AG-A02G-01A-01D-A008-01	4	45072796	49065981	2284	-0.4178
33	TCGA-AG-A02G-01A-01D-A008-01	4	49081013	59325252	4578	0.0367
34	TCGA-AG-A02G-01A-01D-A008-01	4	59332918	59996783	366	-0.4335
35	TCGA-AG-A02G-01A-01D-A008-01	4	59997812	98139312	23549	0.0238
36	TCGA-AG-A02G-01A-01D-A008-01	4	98139647	98767906	295	0.7415
37	TCGA-AG-A02G-01A-01D-A008-01	4	98887167	190424031	57510	0.0219
38	TCGA-AG-A02G-01A-01D-A008-01	4	190424212	190451589	17	-0.2124
39	TCGA-AG-A02G-01A-01D-A008-01	5	304462	14321785	11296	0.3335
40	TCGA-AG-A02G-01A-01D-A008-01	5	14326506	14385176	63	0.0194
41	TCGA-AG-A02G-01A-01D-A008-01	5	14385399	14551784	151	0.3075
42	TCGA-AG-A02G-01A-01D-A008-01	5	14554934	45167521	19114	0.3694
44	TCGA-AG-A02G-01A-01D-A008-01	5	50124856	180694888	82747	-0.4378
45	TCGA-AG-A02G-01A-01D-A008-01	6	421317	16087649	12521	0.0763
46	TCGA-AG-A02G-01A-01D-A008-01	6	16088268	16089051	5	-1.4536
47	TCGA-AG-A02G-01A-01D-A008-01	6	16089085	147881001	81866	0.0852
48	TCGA-AG-A02G-01A-01D-A008-01	6	147881171	147993176	95	-0.3598
49	TCGA-AG-A02G-01A-01D-A008-01	6	147995850	170903916	16549	0.0601
50	TCGA-AG-A02G-01A-01D-A008-01	7	704573	157037592	98270	0.2892
51	TCGA-AG-A02G-01A-01D-A008-01	7	157038803	157069219	16	-1.8367
52	TCGA-AG-A02G-01A-01D-A008-01	7	157075656	158927795	1177	0.2448
53	TCGA-AG-A02G-01A-01D-A008-01	8	562629	34149465	28247	-1.1806
54	TCGA-AG-A02G-01A-01D-A008-01	8	34150757	40483270	3702	-0.3616
55	TCGA-AG-A02G-01A-01D-A008-01	8	40486216	40921577	294	0.7463
56	TCGA-AG-A02G-01A-01D-A008-01	8	40921633	41947493	626	0.4072
57	TCGA-AG-A02G-01A-01D-A008-01	8	41947770	42162003	181	0.1448
59	TCGA-AG-A02G-01A-01D-A008-01	8	47224394	49623096	1083	-1.0089
60	TCGA-AG-A02G-01A-01D-A008-01	8	49624392	54782543	3318	0.0989
61	TCGA-AG-A02G-01A-01D-A008-01	8	54796025	54919891	73	0.8571
62	TCGA-AG-A02G-01A-01D-A008-01	8	54930954	54966135	17	0.2369
63	TCGA-AG-A02G-01A-01D-A008-01	8	54979779	55107176	60	0.8554
64	TCGA-AG-A02G-01A-01D-A008-01	8	55111470	78336858	14795	0.09
65	TCGA-AG-A02G-01A-01D-A008-01	8	78339764	78970934	358	-0.9879
66	TCGA-AG-A02G-01A-01D-A008-01	8	78971292	91922030	7456	0.0934
67	TCGA-AG-A02G-01A-01D-A008-01	8	91938805	97380144	3487	-1.0269
68	TCGA-AG-A02G-01A-01D-A008-01	8	97381497	117706479	12183	0.0852
69	TCGA-AG-A02G-01A-01D-A008-01	8	117708821	117823255	79	-0.3408
70	TCGA-AG-A02G-01A-01D-A008-01	8	117823356	141656155	17882	0.0793
71	TCGA-AG-A02G-01A-01D-A008-01	8	141656708	141910867	117	-0.5468
72	TCGA-AG-A02G-01A-01D-A008-01	8	141916614	146288316	1884	0.0461
73	TCGA-AG-A02G-01A-01D-A008-01	9	334524	140952916	80644	-0.3461
74	TCGA-AG-A02G-01A-01D-A008-01	10	111148	135206873	92066	0.0208
75	TCGA-AG-A02G-01A-01D-A008-01	11	198510	2997485	1150	-0.0414
76	TCGA-AG-A02G-01A-01D-A008-01	11	2997698	131637799	84468	0.0358
77	TCGA-AG-A02G-01A-01D-A008-01	11	131639115	134809090	2499	-0.02
78	TCGA-AG-A02G-01A-01D-A008-01	12	362522	133625276	85894	0.3856
