	ID	chrom	loc.start	loc.end	num.mark	seg.mean
0	TCGA-A6-3807-01A-01D-1167-02	1	10001	15269413	0	0.0273
1	TCGA-A6-3807-01A-01D-1167-02	1	15269414	15362413	0	-0.2971
2	TCGA-A6-3807-01A-01D-1167-02	1	15362414	91852412	0	-0.0184
3	TCGA-A6-3807-01A-01D-1167-02	1	91852413	91853412	0	-0.4996
4	TCGA-A6-3807-01A-01D-1167-02	1	91853413	121478477	0	-0.0435
5	TCGA-A6-3807-01A-01D-1167-02	1	121478478	121483477	0	-0.2827
7	TCGA-A6-3807-01A-01D-1167-02	1	142574478	143651477	0	-0.4215
8	TCGA-A6-3807-01A-01D-1167-02	1	143652478	145125643	0	0.1015
9	TCGA-A6-3807-01A-01D-1167-02	1	145125644	155911376	0	0.2659
10	TCGA-A6-3807-01A-01D-1167-02	1	155911377	166546376	0	-0.0102
11	TCGA-A6-3807-01A-01D-1167-02	1	166546377	166963376	0	0.2707
12	TCGA-A6-3807-01A-01D-1167-02	1	166963377	171432376	0	-0.0299
13	TCGA-A6-3807-01A-01D-1167-02	1	171432377	171675377	0	0.2293
14	TCGA-A6-3807-01A-01D-1167-02	1	171675378	173918377	0	-0.0144
15	TCGA-A6-3807-01A-01D-1167-02	1	173918378	176154377	0	0.2225
16	TCGA-A6-3807-01A-01D-1167-02	1	176154378	176553377	0	-0.063
17	TCGA-A6-3807-01A-01D-1167-02	1	176553378	176837377	0	0.2262
18	TCGA-A6-3807-01A-01D-1167-02	1	176837378	184476377	0	-0.0192
19	TCGA-A6-3807-01A-01D-1167-02	1	184476378	184564377	0	-0.3867
20	TCGA-A6-3807-01A-01D-1167-02	1	184564378	186689377	0	-0.0485
21	TCGA-A6-3807-01A-01D-1167-02	1	186689378	192479377	0	-0.1067
22	TCGA-A6-3807-01A-01D-1167-02	1	192479378	193277377	0	-0.4674
23	TCGA-A6-3807-01A-01D-1167-02	1	193277378	249233096	0	-0.0214
24	TCGA-A6-3807-01A-01D-1167-02	2	10001	33140496	0	-0.0232
25	TCGA-A6-3807-01A-01D-1167-02	2	33140497	33144496	0	1.4378
26	TCGA-A6-3807-01A-01D-1167-02	2	33144497	37958496	0	-0.0484
27	TCGA-A6-3807-01A-01D-1167-02	2	37958497	38012496	0	-0.3855
28	TCGA-A6-3807-01A-01D-1167-02	2	38012497	92275273	0	-0.0349
29	TCGA-A6-3807-01A-01D-1167-02	2	92275274	92276273	0	-0.3257
30	TCGA-A6-3807-01A-01D-1167-02	2	92276274	92315273	0	0.1474
31	TCGA-A6-3807-01A-01D-1167-02	2	92315274	92319273	0	-0.115
33	TCGA-A6-3807-01A-01D-1167-02	2	95329274	99046568	0	-0.001
34	TCGA-A6-3807-01A-01D-1167-02	2	99046569	107657568	0	0.232
35	TCGA-A6-3807-01A-01D-1167-02	2	107657569	108818568	0	0.1471
36	TCGA-A6-3807-01A-01D-1167-02	2	108818569	116038530	0	0.2427
37	TCGA-A6-3807-01A-01D-1167-02	2	116038531	117512530	0	0.1544
38	TCGA-A6-3807-01A-01D-1167-02	2	117512531	117611530	0	-0.1575
39	TCGA-A6-3807-01A-01D-1167-02	2	117611531	121067530	0	0.2289
40	TCGA-A6-3807-01A-01D-1167-02	2	121067531	122072530	0	0.3197
41	TCGA-A6-3807-01A-01D-1167-02	2	122072531	127193530	0	0.1948
42	TCGA-A6-3807-01A-01D-1167-02	2	127193531	132995530	0	0.2476
43	TCGA-A6-3807-01A-01D-1167-02	2	132995531	133041530	0	-0.3111
44	TCGA-A6-3807-01A-01D-1167-02	2	133041531	162134754	0	0.1886
45	TCGA-A6-3807-01A-01D-1167-02	2	162134755	162139754	0	-0.4857
46	TCGA-A6-3807-01A-01D-1167-02	2	162139755	191181755	0	0.1939
47	TCGA-A6-3807-01A-01D-1167-02	2	191181756	193279755	0	0.2509
48	TCGA-A6-3807-01A-01D-1167-02	2	193279756	196301755	0	0.1523
